campaign_id,pair_key,model_id,inference_seed,shared_status,shared_inclusion_status,dedicated_status,dedicated_inclusion_status,pair_reportable,initial_provider_request_match,exposure_qualified,shared_adoption,dedicated_adoption,transition
datacenter_counteroffer_action_schema_v2,mistral32_deepinfra__seed_312701,mistral32_deepinfra,312701,operational_failure,excluded,operational_failure,excluded,False,True,False,,,missing_pair
datacenter_counteroffer_action_schema_v2,mistral32_deepinfra__seed_312702,mistral32_deepinfra,312702,operational_failure,excluded,completed,included,False,True,False,,,missing_pair
datacenter_counteroffer_action_schema_v2,mistral32_deepinfra__seed_312703,mistral32_deepinfra,312703,operational_failure,excluded,completed,included,False,True,False,,,missing_pair
datacenter_counteroffer_action_schema_v2,mistral32_deepinfra__seed_312704,mistral32_deepinfra,312704,completed,included,completed,included,True,True,True,1.0,1.0,both_adopted
datacenter_counteroffer_action_schema_v2,mistral32_deepinfra__seed_312705,mistral32_deepinfra,312705,operational_failure,excluded,operational_failure,excluded,False,True,False,,,missing_pair
datacenter_counteroffer_action_schema_v2,qwen3_235b_novita__seed_312701,qwen3_235b_novita,312701,completed,included,completed,included,True,True,True,1.0,1.0,both_adopted
datacenter_counteroffer_action_schema_v2,qwen3_235b_novita__seed_312702,qwen3_235b_novita,312702,completed,included,completed,included,True,True,True,1.0,1.0,both_adopted
datacenter_counteroffer_action_schema_v2,qwen3_235b_novita__seed_312703,qwen3_235b_novita,312703,completed,included,completed,included,True,True,True,1.0,1.0,both_adopted
datacenter_counteroffer_action_schema_v2,qwen3_235b_novita__seed_312704,qwen3_235b_novita,312704,completed,included,completed,included,True,True,True,1.0,1.0,both_adopted
datacenter_counteroffer_action_schema_v2,qwen3_235b_novita__seed_312705,qwen3_235b_novita,312705,completed,included,completed,included,True,True,True,1.0,1.0,both_adopted
