campaign_id,cell_key,pair_key,condition,run_plan_id,run_plan_sha256,model_id,profile_id,inference_seed,provider,requested_model,canonical_model,harness,max_action_attempts,sdk_retries,response_cache
datacenter_counteroffer_affordance_v1,accept_by_reference__mistral32_deepinfra__seed_312501,mistral32_deepinfra__seed_312501,accept_by_reference,runplan_a451d2aa6753fc25,a451d2aa6753fc251fc01fea6919f50e7f9a0bf0ebc1f1ebd35b9ceca1a3d7c8,mistral32_deepinfra,datacenter_affordance_mistral32_deepinfra_v1,312501,DeepInfra,mistralai/mistral-small-3.2-24b-instruct,mistralai/mistral-small-3.2-24b-instruct-2506,minimal_chat/1.0,1,0,False
datacenter_counteroffer_affordance_v1,accept_by_reference__mistral32_deepinfra__seed_312502,mistral32_deepinfra__seed_312502,accept_by_reference,runplan_4e704e248713b43b,4e704e248713b43b5991c3ac9feaba2bca61dbbfc86b8933d164063bf79674a2,mistral32_deepinfra,datacenter_affordance_mistral32_deepinfra_v1,312502,DeepInfra,mistralai/mistral-small-3.2-24b-instruct,mistralai/mistral-small-3.2-24b-instruct-2506,minimal_chat/1.0,1,0,False
datacenter_counteroffer_affordance_v1,accept_by_reference__mistral32_deepinfra__seed_312503,mistral32_deepinfra__seed_312503,accept_by_reference,runplan_366d5819a6205cff,366d5819a6205cff55ef2cec23e00677bf6cbdc9a36b4a1ed8ea2d0d54183d26,mistral32_deepinfra,datacenter_affordance_mistral32_deepinfra_v1,312503,DeepInfra,mistralai/mistral-small-3.2-24b-instruct,mistralai/mistral-small-3.2-24b-instruct-2506,minimal_chat/1.0,1,0,False
datacenter_counteroffer_affordance_v1,accept_by_reference__mistral32_deepinfra__seed_312504,mistral32_deepinfra__seed_312504,accept_by_reference,runplan_0f5fb3b40abf53c0,0f5fb3b40abf53c082d6d18719f64cde903ade64bd86decf254a9dce90e4abf9,mistral32_deepinfra,datacenter_affordance_mistral32_deepinfra_v1,312504,DeepInfra,mistralai/mistral-small-3.2-24b-instruct,mistralai/mistral-small-3.2-24b-instruct-2506,minimal_chat/1.0,1,0,False
datacenter_counteroffer_affordance_v1,accept_by_reference__mistral32_deepinfra__seed_312505,mistral32_deepinfra__seed_312505,accept_by_reference,runplan_407bf382da6bf775,407bf382da6bf775c8da22e9f7257bbb18091a8c8e775eaef4207e8a0a85d226,mistral32_deepinfra,datacenter_affordance_mistral32_deepinfra_v1,312505,DeepInfra,mistralai/mistral-small-3.2-24b-instruct,mistralai/mistral-small-3.2-24b-instruct-2506,minimal_chat/1.0,1,0,False
datacenter_counteroffer_affordance_v1,accept_by_reference__qwen3_235b_novita__seed_312501,qwen3_235b_novita__seed_312501,accept_by_reference,runplan_ff50ab2fe879cc4e,ff50ab2fe879cc4ee32271a342eacba9f0ffe860ea63ada52b2c44d46edf83cd,qwen3_235b_novita,datacenter_affordance_qwen3_235b_novita_v1,312501,Novita,qwen/qwen3-235b-a22b-2507,qwen/qwen3-235b-a22b-07-25,minimal_chat/1.0,1,0,False
datacenter_counteroffer_affordance_v1,accept_by_reference__qwen3_235b_novita__seed_312502,qwen3_235b_novita__seed_312502,accept_by_reference,runplan_4ee55aa3319cf711,4ee55aa3319cf71139973bc5e317b2205ccac9fbf073d5e5f70c83ca48623e1f,qwen3_235b_novita,datacenter_affordance_qwen3_235b_novita_v1,312502,Novita,qwen/qwen3-235b-a22b-2507,qwen/qwen3-235b-a22b-07-25,minimal_chat/1.0,1,0,False
datacenter_counteroffer_affordance_v1,accept_by_reference__qwen3_235b_novita__seed_312503,qwen3_235b_novita__seed_312503,accept_by_reference,runplan_ab184c50bbf5e1ab,ab184c50bbf5e1ab9eff42d672d02eef35e44ebf06df54ede8c1337911e95356,qwen3_235b_novita,datacenter_affordance_qwen3_235b_novita_v1,312503,Novita,qwen/qwen3-235b-a22b-2507,qwen/qwen3-235b-a22b-07-25,minimal_chat/1.0,1,0,False
datacenter_counteroffer_affordance_v1,accept_by_reference__qwen3_235b_novita__seed_312504,qwen3_235b_novita__seed_312504,accept_by_reference,runplan_c87d5345f2cb5af3,c87d5345f2cb5af351ff5854ec4ce1ab50de9f5a4294951ff9a42ab7b251126f,qwen3_235b_novita,datacenter_affordance_qwen3_235b_novita_v1,312504,Novita,qwen/qwen3-235b-a22b-2507,qwen/qwen3-235b-a22b-07-25,minimal_chat/1.0,1,0,False
datacenter_counteroffer_affordance_v1,accept_by_reference__qwen3_235b_novita__seed_312505,qwen3_235b_novita__seed_312505,accept_by_reference,runplan_052aa8fa33c4cede,052aa8fa33c4ceded4a895c47d05aa89fc2c4cd0d6565ec39cd989a693bf9fc9,qwen3_235b_novita,datacenter_affordance_qwen3_235b_novita_v1,312505,Novita,qwen/qwen3-235b-a22b-2507,qwen/qwen3-235b-a22b-07-25,minimal_chat/1.0,1,0,False
datacenter_counteroffer_affordance_v1,reemit_package__mistral32_deepinfra__seed_312501,mistral32_deepinfra__seed_312501,reemit_package,runplan_6f20760194b4456a,6f20760194b4456a69dcdbe034e233fa175bbf70464eb790c20be242e2e2c6e5,mistral32_deepinfra,datacenter_affordance_mistral32_deepinfra_v1,312501,DeepInfra,mistralai/mistral-small-3.2-24b-instruct,mistralai/mistral-small-3.2-24b-instruct-2506,minimal_chat/1.0,1,0,False
datacenter_counteroffer_affordance_v1,reemit_package__mistral32_deepinfra__seed_312502,mistral32_deepinfra__seed_312502,reemit_package,runplan_a9c356e5199d7195,a9c356e5199d71951af5ba495d9054e50f5c9359425e8275335e89147a9c4e40,mistral32_deepinfra,datacenter_affordance_mistral32_deepinfra_v1,312502,DeepInfra,mistralai/mistral-small-3.2-24b-instruct,mistralai/mistral-small-3.2-24b-instruct-2506,minimal_chat/1.0,1,0,False
datacenter_counteroffer_affordance_v1,reemit_package__mistral32_deepinfra__seed_312503,mistral32_deepinfra__seed_312503,reemit_package,runplan_6c3ca58581fb98cc,6c3ca58581fb98ccbcad63efe8b0942230447ca1df785c2935a6325a11e0e448,mistral32_deepinfra,datacenter_affordance_mistral32_deepinfra_v1,312503,DeepInfra,mistralai/mistral-small-3.2-24b-instruct,mistralai/mistral-small-3.2-24b-instruct-2506,minimal_chat/1.0,1,0,False
