case_id,source,policy,termination_reason,project_completed,project_constraints_satisfied,logical_actions,developer_equity_npv_cents,total_project_npv_cents,receipt_status,inclusion_status,run_plan_sha256,replay_verified,coalition_decision
datacenter_development_v1.v2.full_stack_amendment_003,curated,scripted,agreement_stack_executed,True,True,18,-72000,-32000,ok,included,875cbc57c45601994a72dd615f27acfa5a94d6a9be1b7fa3e3f2c9df7c563bdf,True,
datacenter_development_v1.v2.full_stack_amendment_003,curated,walk_away,developer_walk,False,False,1,-100000,-100000,ok,included,c89a2537fd0c4f535b740056eef09953f683855af6a0e06ee5e905faa7e1038e,True,
datacenter_development_v1.v2.full_stack_amendment_003,curated,adopt_every_counter,agreement_stack_executed,True,True,30,-155000,-55000,ok,included,0ac7b9c76a1c52fec3f50159ac5cd89f683d7ec7f5c8775e4219a44b22c6ea8b,True,
datacenter_development_v1.worlds_v3.revenue_without_bankability_001,world_pack,scripted,agreement_stack_executed,True,True,18,58433243406,59929857065,ok,included,521018eb5208eadb0a9ff4e27c794b2b499468f33179cfb0e29072d738bea6db,True,
datacenter_development_v1.worlds_v3.revenue_without_bankability_001,world_pack,walk_away,developer_walk,False,False,1,-800000000,-800000000,ok,included,d2e075e734756cde72f9f3ccc66f691119350303fbf92034ed9ca975e0b00e65,True,
datacenter_development_v1.worlds_v3.revenue_without_bankability_001,world_pack,adopt_every_counter,agreement_stack_executed,True,False,28,53135044477,55389487680,ok,included,3a66ddaea121baddbbf86dc46f1599faaae3d336fc521656acc1e2b294604bbe,True,
datacenter_development_v1.worlds_v3.revenue_without_bankability_002,world_pack,scripted,agreement_stack_executed,True,True,18,69488956592,71002797634,ok,included,63ba69cfff94e1d8db0886d3d7420cf517d72c3af4ca7b918fc0838ec5644c30,True,
datacenter_development_v1.worlds_v3.revenue_without_bankability_002,world_pack,walk_away,developer_walk,False,False,1,-800000000,-800000000,ok,included,cb8bb98ac3911d7444f9a3c12655d4f4d405549d6710e247b9f813acb51b0e8b,True,
datacenter_development_v1.worlds_v3.revenue_without_bankability_002,world_pack,adopt_every_counter,agreement_stack_executed,True,False,28,66062372395,67914394707,ok,included,07be7b830579790ecbd4388727f2a9731a1c414c7b2bf743e808d5bda791667a,True,
datacenter_development_v1.worlds_v3.revenue_without_bankability_003,world_pack,scripted,agreement_stack_executed,True,True,18,48890625300,50387457607,ok,included,c6cd137cb2d06675467a26c57644c62ed7208ec76296a73f1199b8535124188d,True,
datacenter_development_v1.worlds_v3.revenue_without_bankability_003,world_pack,walk_away,developer_walk,False,False,1,-800000000,-800000000,ok,included,1f6ab38e95cf6a2156a0a27e0295fc11cb23a06ea64ffbfe97ec1d7520988ebe,True,
datacenter_development_v1.worlds_v3.revenue_without_bankability_003,world_pack,adopt_every_counter,agreement_stack_executed,True,False,28,43763848951,45981726690,ok,included,fb502d6c2e88d946c52bcb76fe58f638fec1a5e18169aebaa234de07c7734351,True,
datacenter_development_v1.worlds_v3.revenue_without_bankability_004,world_pack,scripted,agreement_stack_executed,True,True,18,49363146378,50863583129,ok,included,36bfe620aa4061aeb0e547e23fe84aaa7a677eecd503ad0e087c89d3e0041c59,True,
datacenter_development_v1.worlds_v3.revenue_without_bankability_004,world_pack,walk_away,developer_walk,False,False,1,-1500000000,-1500000000,ok,included,bd5ed9cceb35cd6b357b8c49c0577f78fdf0c10b1b7230b010013b58e4bad63b,True,
datacenter_development_v1.worlds_v3.revenue_without_bankability_004,world_pack,adopt_every_counter,agreement_stack_executed,True,False,28,44474494175,46696291199,ok,included,b34562de1597368e5e8e2af456b56217ae12373f459694a3d8843bb451284b76,True,
datacenter_development_v1.worlds_v3.delayed_revenue_001,world_pack,scripted,agreement_stack_executed,True,True,18,61244782851,62835859939,ok,included,3409eda760f7dc6877cabed3963725e4d9b06975df46fc77c6c2556db7607beb,True,
datacenter_development_v1.worlds_v3.delayed_revenue_001,world_pack,walk_away,developer_walk,False,False,1,-1100000000,-1100000000,ok,included,d5fee22cd37601830aaece0afffe0e08fdd90e30aa70ccf237ca3393f4298069,True,
datacenter_development_v1.worlds_v3.delayed_revenue_001,world_pack,adopt_every_counter,agreement_stack_executed,True,False,28,57796203681,59846068279,ok,included,9ea8ba48e2d5055dbfbfacac9ad2a0e306f058eed106b328cf99a3a3db4f5063,True,
datacenter_development_v1.worlds_v3.delayed_revenue_002,world_pack,scripted,agreement_stack_executed,True,True,18,53485050890,55089994477,ok,included,0ec9fa1053bce052d86d8704fc077cec7f224744e717d0f5fa00256de7ab4467,True,
datacenter_development_v1.worlds_v3.delayed_revenue_002,world_pack,walk_away,developer_walk,False,False,1,-1500000000,-1500000000,ok,included,379751b31b304ce765a65841025609cbbab9d525f24469b3a2e5994556a6a487,True,
datacenter_development_v1.worlds_v3.delayed_revenue_002,world_pack,adopt_every_counter,agreement_stack_executed,True,False,28,48184126078,50624452521,ok,included,e03adf9ec1687875d0aaa891fba3bdcec842375c7d518d95273453243bb8963f,True,
datacenter_development_v1.worlds_v3.delayed_revenue_003,world_pack,scripted,agreement_stack_executed,True,True,18,41924087018,43815025732,ok,included,9b288c7795763d672d2312374549bbbffc4ec78174d979da138a432f67ff74f1,True,
datacenter_development_v1.worlds_v3.delayed_revenue_003,world_pack,walk_away,developer_walk,False,False,1,-1100000000,-1100000000,ok,included,c138b19ae91d31ec262dc0caefa50641579ed7257e2a91b326b98e1f3dadcee9,True,
datacenter_development_v1.worlds_v3.delayed_revenue_003,world_pack,adopt_every_counter,agreement_stack_executed,True,False,28,36926927890,39690990327,ok,included,e65b1f24c924110d06f4138a8aa5d2b36cb2cd7fe421f7ba04bf31102f99093e,True,
datacenter_development_v1.worlds_v3.delayed_revenue_004,world_pack,scripted,agreement_stack_executed,True,True,18,67949688301,69135108571,ok,included,eb98e519b3c3726d3ef7176bfaedcbfef6f9e9b6ad7345d82cab88b1df17ea08,True,
datacenter_development_v1.worlds_v3.delayed_revenue_004,world_pack,walk_away,developer_walk,False,False,1,-1500000000,-1500000000,ok,included,bfe7aed192103d6f8a3d8b461e431c75905f1838f9b3fff41d1a14478814e23a,True,
datacenter_development_v1.worlds_v3.delayed_revenue_004,world_pack,adopt_every_counter,agreement_stack_executed,True,False,28,63442242391,65346800840,ok,included,62343fa3080d4b9e1f66a810dfac12878faae5f3df6a366c6638cba97e9fc9ec,True,
datacenter_development_v1.worlds_v3.restrictive_draws_001,world_pack,scripted,agreement_stack_executed,True,True,18,55665910464,57278850373,ok,included,ce7e2ec4a9223d562e9aecd4c107eeb12f4eb7997917b847b956cdde37a06c5a,True,
datacenter_development_v1.worlds_v3.restrictive_draws_001,world_pack,walk_away,developer_walk,False,False,1,-1500000000,-1500000000,ok,included,67cb29664d7478c75cbfb47eac44cef84d562b2cd8f6a9a8221f650b3910f368,True,
datacenter_development_v1.worlds_v3.restrictive_draws_001,world_pack,adopt_every_counter,agreement_stack_executed,True,False,28,50823430526,53156119075,ok,included,13df969d90900ce483e826346b0c4d19b922d24efd9234fe3077c8fa33223043,True,
datacenter_development_v1.worlds_v3.restrictive_draws_002,world_pack,scripted,agreement_stack_executed,True,True,18,41415316858,43073618930,ok,included,63afe94c854e720850cee209626545046c41b7120510dc525ef9cc99be21178c,True,
