case_id,source,policy,termination_reason,project_completed,project_constraints_satisfied,logical_actions,developer_equity_npv_cents,total_project_npv_cents,receipt_status,inclusion_status,run_plan_sha256,replay_verified,coalition_decision
datacenter_development_v1.v2.full_stack_amendment_002,curated,scripted,agreement_stack_executed,True,True,18,-72000,-32000,ok,included,b20c97ec4e28287c3ed2a0175d25189a9bcdbb0aec37cdcde7f9152dc604c494,True,
datacenter_development_v1.v2.full_stack_amendment_002,curated,walk_away,developer_walk,False,False,1,-100000,-100000,ok,included,49e58d13a1bebec96f30950aed931c3b7402565fd194ed7436021e509dd5e8c9,True,
datacenter_development_v1.v2.full_stack_amendment_002,curated,adopt_every_counter,agreement_stack_executed,True,True,30,-155000,-55000,ok,included,94e7dfba70a6ec1d3f4923753e932eedc422a69628b7990f8985a1a8af2396bd,True,
datacenter_development_v1.worlds_v2.revenue_without_bankability_001,world_pack,scripted,agreement_stack_executed,True,True,18,58433243406,59929857065,ok,included,f8644e924dae59e332373c2ea70a8513be6292b2dfb1368441bb1f3909bc150e,True,
datacenter_development_v1.worlds_v2.revenue_without_bankability_001,world_pack,walk_away,developer_walk,False,False,1,-800000000,-800000000,ok,included,dad51032f5a2e1914b82dd8ddb87622ec0737b05b55de6bad9ec9f2973455dd7,True,
datacenter_development_v1.worlds_v2.revenue_without_bankability_001,world_pack,adopt_every_counter,developer_walk,False,False,23,-800000000,-800000000,ok,included,ea192ae43f3ec60763844be4faf7257e7a550ef8673d2052b236e5f0690da11c,True,
datacenter_development_v1.worlds_v2.revenue_without_bankability_002,world_pack,scripted,agreement_stack_executed,True,True,18,69488956592,71002797634,ok,included,cceb496c1d42cfaf64d41c66d029dc5bb5e16e06fcb2ca2d46f7624a2abe8509,True,
datacenter_development_v1.worlds_v2.revenue_without_bankability_002,world_pack,walk_away,developer_walk,False,False,1,-800000000,-800000000,ok,included,c5ec486de895a01c21d69cdbc32b4a0d912990015f252e6dbe306b989295196f,True,
datacenter_development_v1.worlds_v2.revenue_without_bankability_002,world_pack,adopt_every_counter,developer_walk,False,False,23,-800000000,-800000000,ok,included,dc283a5b28a53cacc585529d0b0bee7abd84b913acb0ecd8fea3fa59db736a39,True,
datacenter_development_v1.worlds_v2.revenue_without_bankability_003,world_pack,scripted,agreement_stack_executed,True,True,18,48890625300,50387457607,ok,included,6d21a0b94c365bad2c69c3ff7944562c5be793dfa75c4492eeefa0851e41e9a9,True,
datacenter_development_v1.worlds_v2.revenue_without_bankability_003,world_pack,walk_away,developer_walk,False,False,1,-800000000,-800000000,ok,included,a82b81ddc164d2109a2a47510eee8c9723504bd19a33af0b73215755065c3fa8,True,
datacenter_development_v1.worlds_v2.revenue_without_bankability_003,world_pack,adopt_every_counter,developer_walk,False,False,23,-800000000,-800000000,ok,included,5f96a02a440d049755568665a123de2595ef29af8f9bcf26b1f11b94cb6bbb19,True,
datacenter_development_v1.worlds_v2.revenue_without_bankability_004,world_pack,scripted,agreement_stack_executed,True,True,18,49363146378,50863583129,ok,included,1807b62e3a59bdf4def34e1f810a2bb6388a1ae4cb4b61dbce6673c7add8e4c2,True,
datacenter_development_v1.worlds_v2.revenue_without_bankability_004,world_pack,walk_away,developer_walk,False,False,1,-1500000000,-1500000000,ok,included,b8f8f48516890af20ab5b04850986f3901dfc280d31e910dfb34c4f50ff7e6d7,True,
datacenter_development_v1.worlds_v2.revenue_without_bankability_004,world_pack,adopt_every_counter,developer_walk,False,False,23,-1500000000,-1500000000,ok,included,b1991825d829616e1bfd45abd2a5f060dc3008e7db7125dbf8384c7e36417eb1,True,
datacenter_development_v1.worlds_v2.delayed_revenue_001,world_pack,scripted,agreement_stack_executed,True,True,18,61244782851,62835859939,ok,included,7f7ab7ea5e7661f9d8e0ec588c95d22d3303b3fb737fb62f4c7b82c313060b88,True,
datacenter_development_v1.worlds_v2.delayed_revenue_001,world_pack,walk_away,developer_walk,False,False,1,-1100000000,-1100000000,ok,included,e4f1e5b6bed3c55e0eba32f9796a2179eb9b693f268b880b075d326aed13f408,True,
datacenter_development_v1.worlds_v2.delayed_revenue_001,world_pack,adopt_every_counter,developer_walk,False,False,23,-1100000000,-1100000000,ok,included,c59074002d710475beb86426b90bc12b1d893ce7d80530ad51367195ab27e419,True,
datacenter_development_v1.worlds_v2.delayed_revenue_002,world_pack,scripted,agreement_stack_executed,True,True,18,53485050890,55089994477,ok,included,d70877ef69556319f3c7423a72ef016b5be6fb1bf8f61548c418e216c8df954d,True,
datacenter_development_v1.worlds_v2.delayed_revenue_002,world_pack,walk_away,developer_walk,False,False,1,-1500000000,-1500000000,ok,included,015514c82abed330c50c7ab2e8da648f4f88396581898568062d0d9a27c9b370,True,
datacenter_development_v1.worlds_v2.delayed_revenue_002,world_pack,adopt_every_counter,developer_walk,False,False,23,-1500000000,-1500000000,ok,included,c7c11660ae9fc766881abbc11350f5166fffb2762bf36e7156021fbaa1add7f9,True,
datacenter_development_v1.worlds_v2.delayed_revenue_003,world_pack,scripted,agreement_stack_executed,True,True,18,41924087018,43815025732,ok,included,483fb6ceb4532913792a366bcf4f4744117c5dba1987b7f52b5a7a9eaa94820b,True,
datacenter_development_v1.worlds_v2.delayed_revenue_003,world_pack,walk_away,developer_walk,False,False,1,-1100000000,-1100000000,ok,included,2bd29eae1c1436eebbfd79db13f9488df82978a247677bf2b4064772d994cdd4,True,
datacenter_development_v1.worlds_v2.delayed_revenue_003,world_pack,adopt_every_counter,developer_walk,False,False,23,-1100000000,-1100000000,ok,included,9e290e607db1176aca3078f7e31a38b9bfd9c4bed9817ee8f33e351846e6f0d7,True,
datacenter_development_v1.worlds_v2.delayed_revenue_004,world_pack,scripted,agreement_stack_executed,True,True,18,67949688301,69135108571,ok,included,dd0a612fc85f9b83392439239226aafe36aae7592f5583c8a1f434b8ebf4abb2,True,
datacenter_development_v1.worlds_v2.delayed_revenue_004,world_pack,walk_away,developer_walk,False,False,1,-1500000000,-1500000000,ok,included,22b8a778a3196c145d6a33e209b4a2ffea6d4a240d7bf7e2aa2e6417ee2f31a7,True,
datacenter_development_v1.worlds_v2.delayed_revenue_004,world_pack,adopt_every_counter,developer_walk,False,False,23,-1500000000,-1500000000,ok,included,122c16be95fb34ff15a5431cce4aca01b53019953a9a00282bef69a40e53c5a6,True,
datacenter_development_v1.worlds_v2.restrictive_draws_001,world_pack,scripted,agreement_stack_executed,True,True,18,55665910464,57278850373,ok,included,4cd1e41e52f8bb3a6f36c5666465047bcec2f5b3c42c7a76368ee9f26c00f16b,True,
datacenter_development_v1.worlds_v2.restrictive_draws_001,world_pack,walk_away,developer_walk,False,False,1,-1500000000,-1500000000,ok,included,b1c1a7ae618b16df093fdb760b06d32a5dd241c5610a2e9b8b563037376dc70d,True,
datacenter_development_v1.worlds_v2.restrictive_draws_001,world_pack,adopt_every_counter,developer_walk,False,False,23,-1500000000,-1500000000,ok,included,68bca2930938737ac7fb9349e5649643398310ddf959736af05e5957bae57c68,True,
datacenter_development_v1.worlds_v2.restrictive_draws_002,world_pack,scripted,agreement_stack_executed,True,True,18,41415316858,43073618930,ok,included,e23af0226e29bbd8040c6e050f075bffb033125ee1671be20500f4f0e45e4d1e,True,
datacenter_development_v1.worlds_v2.restrictive_draws_002,world_pack,walk_away,developer_walk,False,False,1,-800000000,-800000000,ok,included,d25b4235e8e73ce54322f6f7ba186e999a2fdbae7739f4edb82cef41290710b1,True,
datacenter_development_v1.worlds_v2.restrictive_draws_002,world_pack,adopt_every_counter,developer_walk,False,False,23,-800000000,-800000000,ok,included,ba6a9a4306245c80823a6dcc1479bf4b3685613082b2b0cfe7661b54b29d2df2,True,
datacenter_development_v1.worlds_v2.restrictive_draws_003,world_pack,scripted,agreement_stack_executed,True,True,18,48495585872,50246001660,ok,included,217cc6c7ff197de442533dcd00b8652f875437ebf2eeba790d14702d38923ba8,True,
datacenter_development_v1.worlds_v2.restrictive_draws_003,world_pack,walk_away,developer_walk,False,False,1,-800000000,-800000000,ok,included,3cf4d780dd5e1d1a8d27a571c605747bbe4286c76482e82e75b59002861461a8,True,
datacenter_development_v1.worlds_v2.restrictive_draws_003,world_pack,adopt_every_counter,developer_walk,False,False,23,-800000000,-800000000,ok,included,5b13242ec0af8b1d378f357c628d633690dedfd61c22e022415f6f90b9a39d3a,True,
datacenter_development_v1.worlds_v2.restrictive_draws_004,world_pack,scripted,agreement_stack_executed,True,True,18,43956300679,45654378329,ok,included,ff60358ece4b5bbdddaf689aa9bb29ef71ba02e7864ae73572bf8c4d3b3756b8,True,
datacenter_development_v1.worlds_v2.restrictive_draws_004,world_pack,walk_away,developer_walk,False,False,1,-1100000000,-1100000000,ok,included,ad35dd44921a98184a2da0fb3b583c6f23636f4ec618bc1a0261072af2b465e4,True,
datacenter_development_v1.worlds_v2.restrictive_draws_004,world_pack,adopt_every_counter,developer_walk,False,False,23,-1100000000,-1100000000,ok,included,c2812e200201a6b92b19b3e68d764c8de44032af07bf233d4ddb38c4b4100d78,True,
datacenter_development_v1.worlds_v2.covenant_cliff_001,world_pack,scripted,agreement_stack_executed,True,True,18,47592214595,48878966170,ok,included,0ce7f807fc12cda6ae3f52ae493a9769f93735b43b5002ccd20aae3851ab23c5,True,
datacenter_development_v1.worlds_v2.covenant_cliff_001,world_pack,walk_away,developer_walk,False,False,1,-1100000000,-1100000000,ok,included,9b1637c1cea8fea0bad1f140534d3a264210ba401f321eef27332c51f39867cb,True,
datacenter_development_v1.worlds_v2.covenant_cliff_001,world_pack,adopt_every_counter,developer_walk,False,False,23,-1100000000,-1100000000,ok,included,6b5c19035a522bc52bfe5e6a19b5f951c0cf6e6138c979e507deb7f873b0ad65,True,
datacenter_development_v1.worlds_v2.covenant_cliff_002,world_pack,scripted,agreement_stack_executed,True,True,18,48209920211,49500713533,ok,included,406f30d5fbf79add166ed7dfa36fb179967e3e6f781f810e6fea1c0f8f5851ed,True,
datacenter_development_v1.worlds_v2.covenant_cliff_002,world_pack,walk_away,developer_walk,False,False,1,-1500000000,-1500000000,ok,included,624bd6174302611ddbe681e29bb472a45ac87e6a6502b4005e2f655a05c0da0b,True,
datacenter_development_v1.worlds_v2.covenant_cliff_002,world_pack,adopt_every_counter,developer_walk,False,False,23,-1500000000,-1500000000,ok,included,346de0f607b0ff673cb26bc547fd47e3354b0a2b8f1dfa0cf7e83eece4868c52,True,
datacenter_development_v1.worlds_v2.covenant_cliff_003,world_pack,scripted,agreement_stack_executed,True,True,18,46696825149,47970172423,ok,included,1f208b98dd0b3f9959a436a9b9e8925b0df34f6a94d30ce9a42bf69533c28542,True,
datacenter_development_v1.worlds_v2.covenant_cliff_003,world_pack,walk_away,developer_walk,False,False,1,-1100000000,-1100000000,ok,included,92d333ba0c446b428d8689010f91270c8e19d3fee557d1ade45a82e8f07cfde3,True,
datacenter_development_v1.worlds_v2.covenant_cliff_003,world_pack,adopt_every_counter,developer_walk,False,False,23,-1100000000,-1100000000,ok,included,90096f85b96a47f323b0480d3d22b51f4438e0b0ae131ce0a54c64e413d9503d,True,
datacenter_development_v1.worlds_v2.covenant_cliff_004,world_pack,scripted,agreement_stack_executed,True,True,18,49317686927,50622103191,ok,included,0d7de7312e4445d07b2f9d95e09d863a4c13a9a7ab1d8860005ed6235b6ce647,True,
datacenter_development_v1.worlds_v2.covenant_cliff_004,world_pack,walk_away,developer_walk,False,False,1,-800000000,-800000000,ok,included,7c49a3b65f2cd1981c62cee896d6b3505857a019f6e6f09f2938f17f1f9e8417,True,
datacenter_development_v1.worlds_v2.covenant_cliff_004,world_pack,adopt_every_counter,developer_walk,False,False,23,-800000000,-800000000,ok,included,09c987c1ab7da7d3eadf6396bc0df3207b5d95a44750f090e8f0c3a6d751a22a,True,
datacenter_development_v1.worlds_v2.liability_transfer_001,world_pack,scripted,agreement_stack_executed,True,True,18,52779251735,53868525892,ok,included,64ad9b11723dacc176e273447a593558f857c66ed1502f9f13634c5cd3b0d772,True,
