case_id,source,policy,termination_reason,project_completed,project_constraints_satisfied,logical_actions,developer_equity_npv_cents,total_project_npv_cents,receipt_status,inclusion_status,run_plan_sha256,replay_verified,coalition_decision
datacenter_development_v1.v3.full_stack_jv_001,curated,scripted,agreement_stack_executed,True,True,23,-73000,-33000,ok,included,8f8f55f890247ad15a1bda483c89f35fe3306a47a7624a043623c22364c1d43b,True,best_response
datacenter_development_v1.v3.full_stack_jv_001,curated,walk_away,developer_walk,False,False,1,-100000,-100000,ok,included,733d6fd8830edb98d498857fe984a4315f345b6e8b4b2f05cdda959acaa10017,True,not_reached
datacenter_development_v1.v3.full_stack_jv_001,curated,adopt_every_counter,agreement_stack_executed,True,True,38,-153000,-53000,ok,included,49d4a0f33e8775385a0618a7d41ad34cc2f6b67b46d7ea81a46fa66d8136b0bb,True,best_response
datacenter_development_v1.v3.full_stack_jv_001,curated,free_rider,agreement_stack_executed,True,True,27,-103000,-63000,ok,included,097f832de76a22ca92b3e3c9c20696a74d71aab7dad0db5cf06a59e186f32b66,True,under_funded
datacenter_development_v1.v3.full_stack_jv_001,curated,fair_share,agreement_stack_executed,True,True,23,-73000,-33000,ok,included,ea5c4204101312e99d5dfd350584e2082f34988efae2803548f9a46255861cc0,True,best_response
datacenter_development_v1.v3.full_stack_jv_002,curated,scripted,agreement_stack_executed,True,True,23,-73000,-33000,ok,included,ffe6434d370afbda53b280bcb2b63d1048e52874b9c986670aedaf2ad211d80f,True,best_response
datacenter_development_v1.v3.full_stack_jv_002,curated,walk_away,developer_walk,False,False,1,-100000,-100000,ok,included,4332b6991d311ff61f27c119cc732c8545742a3c774143d1de1d275383873701,True,not_reached
datacenter_development_v1.v3.full_stack_jv_002,curated,adopt_every_counter,agreement_stack_executed,True,True,41,-153000,-53000,ok,included,92e4377cafdc4d59a48a9cd7998c4df8d53dc304170983500217b5a8a578c2b5,True,best_response
datacenter_development_v1.v3.full_stack_jv_002,curated,free_rider,agreement_stack_executed,True,True,27,-103000,-63000,ok,included,e5e415aa8a52b86fc7597f0d266a585be9d28442bc00e11e316e0cb4ee1e9aaf,True,under_funded
datacenter_development_v1.v3.full_stack_jv_002,curated,fair_share,agreement_stack_executed,True,True,23,-73000,-33000,ok,included,9de622d3acf90994f6a6a2b9b23356184fd14d7d5973a2ee2078e4eb0edfa472,True,best_response
