case_id,source,policy,termination_reason,project_completed,project_constraints_satisfied,logical_actions,developer_equity_npv_cents,total_project_npv_cents,receipt_status,inclusion_status,run_plan_sha256,replay_verified,coalition_decision
datacenter_development_v1.worlds_v3_jv.revenue_without_bankability_001,world_pack,scripted,agreement_stack_executed,True,True,23,59972070520,61491471466,ok,included,f69f9adf8e384200f275bd9695d5149b785a97009384dee62c5a39f39327364a,True,best_response
datacenter_development_v1.worlds_v3_jv.revenue_without_bankability_001,world_pack,walk_away,developer_walk,False,False,1,-800000000,-800000000,ok,included,7034e3f3bf3f39bbde1072544715d295788eff49427860ff4b8715bb0e369787,True,not_reached
datacenter_development_v1.worlds_v3_jv.revenue_without_bankability_001,world_pack,adopt_every_counter,agreement_stack_executed,True,False,33,54955742157,57225592590,ok,included,698f8602bd67c6d8da1d45f7ca6c5769668cde10071f3832f7c4e52ca73e8bf0,True,best_response
datacenter_development_v1.worlds_v3_jv.revenue_without_bankability_001,world_pack,free_rider,agreement_stack_executed,True,True,23,59972070520,61491471466,ok,included,c9320a5a07cef72688f26efb3ae2dcb444b7c911bf76d3c9c2c66978b14b5fb6,True,best_response
datacenter_development_v1.worlds_v3_jv.revenue_without_bankability_001,world_pack,fair_share,agreement_stack_executed,True,True,23,58653141802,60153011763,ok,included,09d26e6f871009f9cf69c06048791450a33cd4c48e437df6f7c272e3c11027c3,True,over_funded
datacenter_development_v1.worlds_v3_jv.revenue_without_bankability_002,world_pack,scripted,agreement_stack_executed,True,True,23,71027783692,72564412036,ok,included,1e1b4d0234d7ee9be68a321a00374d82e3a268e5eb43a0b0c1b3fa77f11ec485,True,best_response
datacenter_development_v1.worlds_v3_jv.revenue_without_bankability_002,world_pack,walk_away,developer_walk,False,False,1,-800000000,-800000000,ok,included,ecff4e24dcc14f8ae62c16200152b8ee5b37a27bc641d1e906061277490670e6,True,not_reached
datacenter_development_v1.worlds_v3_jv.revenue_without_bankability_002,world_pack,adopt_every_counter,agreement_stack_executed,True,False,33,67883070061,69750499617,ok,included,f5f2fa974f5cfad8dcb710ee8c2e9817c26cb37362749d638712a3191e68861f,True,best_response
datacenter_development_v1.worlds_v3_jv.revenue_without_bankability_002,world_pack,free_rider,agreement_stack_executed,True,True,23,71027783692,72564412036,ok,included,b91be86088435ed773625fb3c1407fc6ef937a258594b2be7a11452b5348c84d,True,best_response
datacenter_development_v1.worlds_v3_jv.revenue_without_bankability_002,world_pack,fair_share,agreement_stack_executed,True,True,23,69950712430,71471391268,ok,included,28c087453e351e833c4c0b2441fcf6a47712e7eae1c53b98ef64925a40d9d429,True,over_funded
datacenter_development_v1.worlds_v3_jv.revenue_without_bankability_003,world_pack,scripted,agreement_stack_executed,True,True,23,49403670277,50908099847,ok,included,fd178f82d23526efd45fd640694d0dc87ef21cedb25a58cec43d16d365f5d450,True,best_response
datacenter_development_v1.worlds_v3_jv.revenue_without_bankability_003,world_pack,walk_away,developer_walk,False,False,1,-800000000,-800000000,ok,included,94f3feb41018e34cfe9cc1db30a9bd797e80829a13947c41b832560c1ce8c836,True,not_reached
datacenter_development_v1.worlds_v3_jv.revenue_without_bankability_003,world_pack,adopt_every_counter,agreement_stack_executed,True,False,33,45584546627,47817831600,ok,included,38fa077a6569a86c0456e5b3beae477685de0a3c53291f96fa18e1874f1f4e93,True,under_funded
datacenter_development_v1.worlds_v3_jv.revenue_without_bankability_003,world_pack,free_rider,agreement_stack_executed,True,True,23,50429452412,51949072009,ok,included,75830fce55ee175c011b4bd466c3aa16105e76eef6f4cf57452f194ef0c2f3b0,True,under_funded
datacenter_development_v1.worlds_v3_jv.revenue_without_bankability_003,world_pack,fair_share,agreement_stack_executed,True,True,23,49403670277,50908099847,ok,included,870836a3cb057b774ddc01fc692fc5cacc82f4ab216cd3622c5171ee9ad45b20,True,best_response
datacenter_development_v1.worlds_v3_jv.revenue_without_bankability_004,world_pack,scripted,agreement_stack_executed,True,True,23,49927480443,51436273980,ok,included,768a25a5d3e96213d31788259ab619135cbb518d16ffe30949d18217e6c8a968,True,best_response
datacenter_development_v1.worlds_v3_jv.revenue_without_bankability_004,world_pack,walk_away,developer_walk,False,False,1,-1500000000,-1500000000,ok,included,851b4b6e980b5aa695eb24a2b69cab276f3be61e0595bbb573e10586c6744075,True,not_reached
datacenter_development_v1.worlds_v3_jv.revenue_without_bankability_004,world_pack,adopt_every_counter,agreement_stack_executed,True,False,36,45315147617,47544058477,ok,included,100cff44f14da2a9756e3732ffe471d9ea24203a82096c96a250ae4a6896beb5,True,best_response
datacenter_development_v1.worlds_v3_jv.revenue_without_bankability_004,world_pack,free_rider,agreement_stack_executed,True,True,27,49363146378,50863583129,ok,included,b1b4c9a22bd9b36eaf08a3c6f40a54348c6aa37ae80fbb89c883676e8014f4da,True,under_funded
datacenter_development_v1.worlds_v3_jv.revenue_without_bankability_004,world_pack,fair_share,agreement_stack_executed,True,True,23,49927480443,51436273980,ok,included,5e36c7d793b1500c587c3cde6ca0fedcda3d6680800e84768472e20408945dae,True,best_response
datacenter_development_v1.worlds_v3_jv.delayed_revenue_001,world_pack,scripted,agreement_stack_executed,True,True,23,62213073619,63811517280,ok,included,296987db136b2a403415d5930d55556cb7fc4ebd0390c3d5078fe0c32edc83e4,True,best_response
datacenter_development_v1.worlds_v3_jv.delayed_revenue_001,world_pack,walk_away,developer_walk,False,False,1,-1100000000,-1100000000,ok,included,1dca1b9ad892c2e6fcbb6154ef7583c507b13cedb2155848e71904e6f0ae52f2,True,not_reached
datacenter_development_v1.worlds_v3_jv.delayed_revenue_001,world_pack,adopt_every_counter,agreement_stack_executed,True,False,36,59087063390,61136927991,ok,included,0a03125f37f6743d76ca1726c252bfe0a2f1cc4b8bc3c98a64bceb202affdec0,True,best_response
datacenter_development_v1.worlds_v3_jv.delayed_revenue_001,world_pack,free_rider,agreement_stack_executed,True,True,27,61244782851,62835859939,ok,included,85a7e7b7fb16322a304a506ce446fd57d4ab32d10d8cd66e1663ef588451fa40,True,under_funded
datacenter_development_v1.worlds_v3_jv.delayed_revenue_001,world_pack,fair_share,agreement_stack_executed,True,True,23,62213073619,63811517280,ok,included,b03043e0e1ec5884fa4d4708125d32bbd9a3716f3ef484221868d9247af61505,True,best_response
datacenter_development_v1.worlds_v3_jv.delayed_revenue_002,world_pack,scripted,agreement_stack_executed,True,True,23,54220951873,55831494055,ok,included,04c171290d5f9d708040a81a3a87cb5646ebd369566e74c8dfca7968780ea219,True,best_response
datacenter_development_v1.worlds_v3_jv.delayed_revenue_002,world_pack,walk_away,developer_walk,False,False,1,-1500000000,-1500000000,ok,included,55c2fceb516353c2726133b8d01beab0c6447c07e1f71aebb19e0e58b46e259a,True,not_reached
datacenter_development_v1.worlds_v3_jv.delayed_revenue_002,world_pack,adopt_every_counter,agreement_stack_executed,True,False,31,48184126078,50624452521,ok,included,288f4b6214ef9b2fabdd9d7ab341f3dd03e6f905a837167031ae7932c1880876,True,under_funded
datacenter_development_v1.worlds_v3_jv.delayed_revenue_002,world_pack,free_rider,agreement_stack_executed,True,True,21,53485050890,55089994477,ok,included,e16894e351c120e53cba89f28c373d02874aa16586a4233821d122db0dc05647,True,under_funded
datacenter_development_v1.worlds_v3_jv.delayed_revenue_002,world_pack,fair_share,agreement_stack_executed,True,True,23,54220951873,55831494055,ok,included,b38f79403e40b78b1d4a96de717a07f0cddfa5e4545ecde9d6eb901425613ce1,True,best_response
datacenter_development_v1.worlds_v3_jv.delayed_revenue_003,world_pack,scripted,agreement_stack_executed,True,True,23,42742816444,44634030191,ok,included,cc011e8d56701e82ac984ee9d92a6dbacd63bdbb5d3a584aa8a25d6fb83fe980,True,best_response
datacenter_development_v1.worlds_v3_jv.delayed_revenue_003,world_pack,walk_away,developer_walk,False,False,1,-1100000000,-1100000000,ok,included,e38e399c7386012d04f1c61c1a213d412ac770d3258d6e472719f6835e014d41,True,not_reached
datacenter_development_v1.worlds_v3_jv.delayed_revenue_003,world_pack,adopt_every_counter,agreement_stack_executed,True,False,31,36926927890,39690990327,ok,included,eea02746dd1e9a92daa0a50b1b1b8667edb7477d07be6aa019c2a8dad15f0ed2,True,under_funded
datacenter_development_v1.worlds_v3_jv.delayed_revenue_003,world_pack,free_rider,agreement_stack_executed,True,True,21,41924087018,43815025732,ok,included,94eed4a0f41faa1f655de2d0c85dc5242bbdbbd64efea8f9a24b30ed37fabe45,True,under_funded
datacenter_development_v1.worlds_v3_jv.delayed_revenue_003,world_pack,fair_share,agreement_stack_executed,True,True,23,42742816444,44634030191,ok,included,2682a8d373f144b06a188f7273d1c48a98fced7cd34b884eca32ae1c98a6c599,True,best_response
datacenter_development_v1.worlds_v3_jv.delayed_revenue_004,world_pack,scripted,agreement_stack_executed,True,True,23,69489754101,70697961679,ok,included,c0b5505936e89c83d44035947e8aa9cec4871119c08d3443d54ab98555e97cc5,True,best_response
datacenter_development_v1.worlds_v3_jv.delayed_revenue_004,world_pack,walk_away,developer_walk,False,False,1,-1500000000,-1500000000,ok,included,fbfb70cec60e36565d5e6e8033288c21a4c3bc99a8a88c07e7d33830aa847d7c,True,not_reached
datacenter_development_v1.worlds_v3_jv.delayed_revenue_004,world_pack,adopt_every_counter,agreement_stack_executed,True,False,33,65264485334,67184451011,ok,included,ff493ccbfb1950323043e0b2eb76eab97945909d78d5976bbbbde1287652a43d,True,best_response
datacenter_development_v1.worlds_v3_jv.delayed_revenue_004,world_pack,free_rider,agreement_stack_executed,True,True,23,69489754101,70697961679,ok,included,b117db673bd2ac58345e96610b383229c424cc83e10347218105a2980e4ce1ae,True,best_response
datacenter_development_v1.worlds_v3_jv.delayed_revenue_004,world_pack,fair_share,agreement_stack_executed,True,True,23,68600027280,69795070181,ok,included,8175b5c60c635850211bdbeddffc9f61e923ea6afd7062372c002031478308c4,True,over_funded
datacenter_development_v1.worlds_v3_jv.restrictive_draws_001,world_pack,scripted,agreement_stack_executed,True,True,23,57204737576,58840464774,ok,included,f95b0afbf25577a260a1ed7b9ce47eb126979a68c32d6e97ab99dc469aaa39e4,True,best_response
datacenter_development_v1.worlds_v3_jv.restrictive_draws_001,world_pack,walk_away,developer_walk,False,False,1,-1500000000,-1500000000,ok,included,ca366d937c89b3bfdceb5dbe3781030b45ad49aeef55738d636ff908740de435,True,not_reached
datacenter_development_v1.worlds_v3_jv.restrictive_draws_001,world_pack,adopt_every_counter,agreement_stack_executed,True,False,33,52650008870,54998104653,ok,included,f538e679b51f83433696637c515e0556271b92a4dcc309f02300deea60a9310b,True,best_response
datacenter_development_v1.worlds_v3_jv.restrictive_draws_001,world_pack,free_rider,agreement_stack_executed,True,True,23,57204737576,58840464774,ok,included,0e73af7115dbb6370a1ab100cef9b6eeb6dd7ec53c83dd57f33a003c202349a1,True,best_response
datacenter_development_v1.worlds_v3_jv.restrictive_draws_001,world_pack,fair_share,agreement_stack_executed,True,True,23,55358237390,56966621189,ok,included,3b49ec9a88d3c73db87a161f0e67602f7809195e8054fe42338d01897f9b5b2c,True,over_funded
datacenter_development_v1.worlds_v3_jv.restrictive_draws_002,world_pack,scripted,agreement_stack_executed,True,True,23,42300142455,43971547212,ok,included,7bd1f21a2f199cb0df44222607b437f64c840723b10a7bbd72946f02caddc971,True,best_response
datacenter_development_v1.worlds_v3_jv.restrictive_draws_002,world_pack,walk_away,developer_walk,False,False,1,-800000000,-800000000,ok,included,334549e8a768dc0468008b855c75435fa4342f34401a7af8912004dd996142f1,True,not_reached
datacenter_development_v1.worlds_v3_jv.restrictive_draws_002,world_pack,adopt_every_counter,agreement_stack_executed,True,False,31,37885556741,39879376033,ok,included,c7b4c9dfb498844067f52987f1b3bc796f48209da2708142323274c4881d64c0,True,under_funded
datacenter_development_v1.worlds_v3_jv.restrictive_draws_002,world_pack,free_rider,agreement_stack_executed,True,True,21,41415316858,43073618930,ok,included,e37d9b158b155083d59a1ca5a6539e42cd09292436647fd89209fe139e2af776,True,under_funded
datacenter_development_v1.worlds_v3_jv.restrictive_draws_002,world_pack,fair_share,agreement_stack_executed,True,True,23,42300142455,43971547212,ok,included,2f29519145317b383a8e24e53493c68f911e318f489e48c3c1b2709e0370987a,True,best_response
datacenter_development_v1.worlds_v3_jv.restrictive_draws_003,world_pack,scripted,agreement_stack_executed,True,True,23,50034412982,51807616062,ok,included,128e89581e9c243a42d0e0d55937add66c87c54e584efe290ed193b0abaa3c32,True,best_response
datacenter_development_v1.worlds_v3_jv.restrictive_draws_003,world_pack,walk_away,developer_walk,False,False,1,-800000000,-800000000,ok,included,05f92b8516186fec50ba6392c80d51eb42929a8df53e49f7b2ef09e312c41129,True,not_reached
datacenter_development_v1.worlds_v3_jv.restrictive_draws_003,world_pack,adopt_every_counter,agreement_stack_executed,True,False,33,45218837081,47647144122,ok,included,6afd066abfc2beeb74c2cf53b14b18fe85e574e6dcf8e024b715547578ebfb86,True,best_response
datacenter_development_v1.worlds_v3_jv.restrictive_draws_003,world_pack,free_rider,agreement_stack_executed,True,True,23,50034412982,51807616062,ok,included,68f09222d79593c7ccee1744aacc43ed58e043e1bd945309a78d5a6098fb26d8,True,best_response
datacenter_development_v1.worlds_v3_jv.restrictive_draws_003,world_pack,fair_share,agreement_stack_executed,True,True,23,49145401788,50905440190,ok,included,78b14b97201043774837e755b71c286ab6069af554a27af9c5851cd748d289f8,True,over_funded
datacenter_development_v1.worlds_v3_jv.restrictive_draws_004,world_pack,scripted,agreement_stack_executed,True,True,23,44995008984,46708468050,ok,included,6b08cba514df1c846dbff6ecfa139b0467681e97088e813c4f4bf818d734179c,True,best_response
datacenter_development_v1.worlds_v3_jv.restrictive_draws_004,world_pack,walk_away,developer_walk,False,False,1,-1100000000,-1100000000,ok,included,50a5440bea96c2307e9a625844c54bb31dfe4ec8d2edb6d994c52ed2102ea719,True,not_reached
datacenter_development_v1.worlds_v3_jv.restrictive_draws_004,world_pack,adopt_every_counter,agreement_stack_executed,True,False,31,38456975017,40838299894,ok,included,374b64aa98ae6f796fb5f59b8d1aedb51a961743a9a8a3f355da9e76b20f0d82,True,under_funded
datacenter_development_v1.worlds_v3_jv.restrictive_draws_004,world_pack,free_rider,agreement_stack_executed,True,True,21,43956300679,45654378329,ok,included,b5e4e07a6115b7e691872e407309248a4261bec7089e171b82ff44c6dcdc0a07,True,under_funded
datacenter_development_v1.worlds_v3_jv.restrictive_draws_004,world_pack,fair_share,agreement_stack_executed,True,True,23,44995008984,46708468050,ok,included,de8d18858a2cfd66d47117d6ea2aeb086c2e028b362648a5596e42ddda83f1a8,True,best_response
datacenter_development_v1.worlds_v3_jv.covenant_cliff_001,world_pack,scripted,agreement_stack_executed,True,True,23,48323157476,49620733011,ok,included,e50b0456af84f5c9271603ee0b674d77060076c41ce7eed0f34db0b36aceb541,True,best_response
datacenter_development_v1.worlds_v3_jv.covenant_cliff_001,world_pack,walk_away,developer_walk,False,False,1,-1100000000,-1100000000,ok,included,a340a231d099a812c7b283093591b54577e6fd85fde00e518dd5f60a50a2b242,True,not_reached
datacenter_development_v1.worlds_v3_jv.covenant_cliff_001,world_pack,adopt_every_counter,agreement_stack_executed,True,False,31,42994152492,44926330666,ok,included,7f62833023c664818e8f48821680d71678fbf851ebd289add22593f26381b151,True,under_funded
datacenter_development_v1.worlds_v3_jv.covenant_cliff_001,world_pack,free_rider,agreement_stack_executed,True,True,21,47592214595,48878966170,ok,included,8d73367f3bd4585e824e840dca65cf617844c11377bc1a7f1dcb41de05881a50,True,under_funded
datacenter_development_v1.worlds_v3_jv.covenant_cliff_001,world_pack,fair_share,agreement_stack_executed,True,True,23,48323157476,49620733011,ok,included,ecbe4c610b2e22f8cbbf6402ff6fafad5cb25e0b7e8b99d973fa4f9d796313c6,True,best_response
datacenter_development_v1.worlds_v3_jv.covenant_cliff_002,world_pack,scripted,agreement_stack_executed,True,True,23,49171687135,50476722537,ok,included,9a9608d2beda778b4a9e584bae53e08de8774e30036f5d923603bf9a2dc0e091,True,best_response
datacenter_development_v1.worlds_v3_jv.covenant_cliff_002,world_pack,walk_away,developer_walk,False,False,1,-1500000000,-1500000000,ok,included,904ad51889be293a7c87d9b4cb89a96e725812ec83908c45800f6fbd5efe1d81,True,not_reached
datacenter_development_v1.worlds_v3_jv.covenant_cliff_002,world_pack,adopt_every_counter,agreement_stack_executed,True,False,36,46153611765,47799938754,ok,included,2c83b5a9824e9f78688c17dc4173080fe36ee9053a3089a4628e3a9ea58c2095,True,best_response
datacenter_development_v1.worlds_v3_jv.covenant_cliff_002,world_pack,free_rider,agreement_stack_executed,True,True,27,48209920211,49500713533,ok,included,359372db1be21a24726717e77b7de06d8c8239754fb73980d5548811c3f8e2e4,True,under_funded
datacenter_development_v1.worlds_v3_jv.covenant_cliff_002,world_pack,fair_share,agreement_stack_executed,True,True,23,49171687135,50476722537,ok,included,4b4779a923be4354bac9360f5ad2d921cc7e1b9a1c2348b8bac7545150f9680a,True,best_response
datacenter_development_v1.worlds_v3_jv.covenant_cliff_003,world_pack,scripted,agreement_stack_executed,True,True,23,47504709367,48790019985,ok,included,d687b03f069d0ac64ed6a341142c4c1f998d1189b887633177139fe728e1eea8,True,best_response
datacenter_development_v1.worlds_v3_jv.covenant_cliff_003,world_pack,walk_away,developer_walk,False,False,1,-1100000000,-1100000000,ok,included,65435a8238f60a28074d2951e8f8e41f28abdb178b86a76369f62ff1d6fa56b5,True,not_reached
datacenter_development_v1.worlds_v3_jv.covenant_cliff_003,world_pack,adopt_every_counter,agreement_stack_executed,True,False,36,44349229756,45983401246,ok,included,1cc903c0f970f614870b8b1ea5861631590c9288c7c39ac0e5cf248cb92d8d3f,True,best_response
datacenter_development_v1.worlds_v3_jv.covenant_cliff_003,world_pack,free_rider,agreement_stack_executed,True,True,27,46696825149,47970172423,ok,included,f27b95696d449011436f1b6e3e8fa9f48d0f41e2c0337f67e73d50fcc20746e4,True,under_funded
