campaign_id,cell_key,run_plan_id,run_plan_sha256,model_id,profile_id,inference_seed,provider,requested_model,canonical_model,quantization,access_class,license_id,harness,reasoning_effort,max_output_tokens,timeout_seconds,max_action_attempts,sdk_retries
datacenter_development_terms_reliability_v1,glm53_reka__seed_31101,runplan_7dd46c20a8303dac,7dd46c20a8303dac18a312254367912005222e7d3464d6e7abec2be5fe6686c9,glm53_reka,datacenter_terms_glm53_reka_reliability_v1,31101,Reka,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,fp8,open_source,MIT,minimal_chat/1.0,low,1400,180.0,1,0
datacenter_development_terms_reliability_v1,glm53_reka__seed_31102,runplan_5adcb6fc3f36b579,5adcb6fc3f36b579c6e2cd4e404ad03f06bf1f13eed9bcc4c3ee7c58502d3a05,glm53_reka,datacenter_terms_glm53_reka_reliability_v1,31102,Reka,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,fp8,open_source,MIT,minimal_chat/1.0,low,1400,180.0,1,0
datacenter_development_terms_reliability_v1,glm53_reka__seed_31103,runplan_0f7df50f68fa618e,0f7df50f68fa618e18705fffef47c747c7faea7bab8e848267d63dcc5ebc5c1f,glm53_reka,datacenter_terms_glm53_reka_reliability_v1,31103,Reka,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,fp8,open_source,MIT,minimal_chat/1.0,low,1400,180.0,1,0
datacenter_development_terms_reliability_v1,glm53_reka__seed_31104,runplan_02d3cbeb6f08b7a4,02d3cbeb6f08b7a4129cbc04e023a4db977fdf58343aa6e8aedb6a9021df0ac2,glm53_reka,datacenter_terms_glm53_reka_reliability_v1,31104,Reka,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,fp8,open_source,MIT,minimal_chat/1.0,low,1400,180.0,1,0
datacenter_development_terms_reliability_v1,glm53_reka__seed_31105,runplan_7d227557d18f4a07,7d227557d18f4a0707f04775989b95830ceb56b3bf1165ae0b040abb53eece94,glm53_reka,datacenter_terms_glm53_reka_reliability_v1,31105,Reka,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,fp8,open_source,MIT,minimal_chat/1.0,low,1400,180.0,1,0
datacenter_development_terms_reliability_v1,mistral_small__seed_31101,runplan_202d0ca15f853346,202d0ca15f853346b79ec5d2c083eb7ebf78a7834fe9226196a98530d5198ac5,mistral_small,datacenter_terms_mistral_small_reliability_v1,31101,Mistral,mistralai/mistral-small-2603,mistralai/mistral-small-2603,unknown,open_source,Apache-2.0,minimal_chat/1.0,low,1400,180.0,1,0
datacenter_development_terms_reliability_v1,mistral_small__seed_31102,runplan_2c0745d27c087657,2c0745d27c0876579fe5b7c6b30c893ae755a833d83f94923c0fcea743d39cf4,mistral_small,datacenter_terms_mistral_small_reliability_v1,31102,Mistral,mistralai/mistral-small-2603,mistralai/mistral-small-2603,unknown,open_source,Apache-2.0,minimal_chat/1.0,low,1400,180.0,1,0
datacenter_development_terms_reliability_v1,mistral_small__seed_31103,runplan_c674b89340520280,c674b89340520280b0f5b9f8514d5461b38c000a3b886ef385063e864dd7e89d,mistral_small,datacenter_terms_mistral_small_reliability_v1,31103,Mistral,mistralai/mistral-small-2603,mistralai/mistral-small-2603,unknown,open_source,Apache-2.0,minimal_chat/1.0,low,1400,180.0,1,0
datacenter_development_terms_reliability_v1,mistral_small__seed_31104,runplan_0fc8f9b1a8dcd80e,0fc8f9b1a8dcd80e4a26fe42db4b6d6b065f7383ebe1880cddb396d942a8d4a4,mistral_small,datacenter_terms_mistral_small_reliability_v1,31104,Mistral,mistralai/mistral-small-2603,mistralai/mistral-small-2603,unknown,open_source,Apache-2.0,minimal_chat/1.0,low,1400,180.0,1,0
datacenter_development_terms_reliability_v1,mistral_small__seed_31105,runplan_e23150f050882ad4,e23150f050882ad4074639658074c8fcdac2ec2619c80c860f67c9bfda6a4900,mistral_small,datacenter_terms_mistral_small_reliability_v1,31105,Mistral,mistralai/mistral-small-2603,mistralai/mistral-small-2603,unknown,open_source,Apache-2.0,minimal_chat/1.0,low,1400,180.0,1,0
