campaign_id,composition_key,wording_condition,model_id,inference_seed,bundle_reportable,integrated_status,assignment_consent_status,gmp_change_order_status,land_power_cotermination_status,integrated_hard_gate_pass,all_mechanisms_hard_gate_pass,failed_mechanism_ids,composition_gap,component_only_gap,integrated_forbidden_selection_count,decomposed_forbidden_selection_count,score_difference_reported
datacenter_development_terms_public_composition_v1,affirm_only__gptoss120b_coreweave__seed_315001,affirm_only,gptoss120b_coreweave,315001,True,completed,completed,completed,completed,True,True,,False,False,0,0,False
datacenter_development_terms_public_composition_v1,affirm_only__gptoss120b_coreweave__seed_315002,affirm_only,gptoss120b_coreweave,315002,True,completed,completed,completed,completed,True,True,,False,False,0,0,False
datacenter_development_terms_public_composition_v1,affirm_only__gptoss120b_coreweave__seed_315003,affirm_only,gptoss120b_coreweave,315003,True,completed,completed,completed,completed,True,True,,False,False,0,0,False
datacenter_development_terms_public_composition_v1,affirm_only__mistral32_deepinfra__seed_315001,affirm_only,mistral32_deepinfra,315001,True,completed,completed,completed,completed,True,True,,False,False,0,0,False
datacenter_development_terms_public_composition_v1,affirm_only__mistral32_deepinfra__seed_315002,affirm_only,mistral32_deepinfra,315002,False,completed,completed,completed,operational_failure,,,,,,,,False
datacenter_development_terms_public_composition_v1,affirm_only__mistral32_deepinfra__seed_315003,affirm_only,mistral32_deepinfra,315003,True,completed,completed,completed,completed,True,True,,False,False,0,0,False
datacenter_development_terms_public_composition_v1,affirm_only__qwen3_235b_novita__seed_315001,affirm_only,qwen3_235b_novita,315001,True,completed,completed,completed,completed,False,True,,True,False,2,0,False
datacenter_development_terms_public_composition_v1,affirm_only__qwen3_235b_novita__seed_315002,affirm_only,qwen3_235b_novita,315002,True,completed,completed,completed,completed,False,True,,True,False,3,0,False
datacenter_development_terms_public_composition_v1,affirm_only__qwen3_235b_novita__seed_315003,affirm_only,qwen3_235b_novita,315003,True,completed,completed,completed,completed,False,True,,True,False,2,0,False
datacenter_development_terms_public_composition_v1,baseline__gptoss120b_coreweave__seed_315001,baseline,gptoss120b_coreweave,315001,False,operational_failure,completed,completed,completed,,,,,,,,False
datacenter_development_terms_public_composition_v1,baseline__gptoss120b_coreweave__seed_315002,baseline,gptoss120b_coreweave,315002,True,completed,completed,completed,completed,False,True,,True,False,3,0,False
datacenter_development_terms_public_composition_v1,baseline__gptoss120b_coreweave__seed_315003,baseline,gptoss120b_coreweave,315003,False,operational_failure,completed,completed,completed,,,,,,,,False
datacenter_development_terms_public_composition_v1,baseline__mistral32_deepinfra__seed_315001,baseline,mistral32_deepinfra,315001,True,completed,completed,completed,completed,True,True,,False,False,0,0,False
datacenter_development_terms_public_composition_v1,baseline__mistral32_deepinfra__seed_315002,baseline,mistral32_deepinfra,315002,True,completed,completed,completed,completed,True,True,,False,False,0,0,False
datacenter_development_terms_public_composition_v1,baseline__mistral32_deepinfra__seed_315003,baseline,mistral32_deepinfra,315003,True,completed,completed,completed,completed,True,True,,False,False,0,0,False
datacenter_development_terms_public_composition_v1,baseline__qwen3_235b_novita__seed_315001,baseline,qwen3_235b_novita,315001,True,completed,completed,completed,completed,False,True,,True,False,3,0,False
datacenter_development_terms_public_composition_v1,baseline__qwen3_235b_novita__seed_315002,baseline,qwen3_235b_novita,315002,True,completed,completed,completed,completed,False,True,,True,False,2,0,False
datacenter_development_terms_public_composition_v1,baseline__qwen3_235b_novita__seed_315003,baseline,qwen3_235b_novita,315003,True,completed,completed,completed,completed,True,False,gmp_change_order,False,True,0,1,False
