campaign_id,attempt,stage,case_id,track,failure_condition,failure_type,provider_call_failures,retried_conditions,attribution,cost_usd,source_artifact,source_artifact_sha256
econevals_glm53_flash_parasail_first_light_v1,001,canary_probe,econevals.procurement.basic.0,procurement,provider_contract,ProviderFailure,0,,environment,0.0,runs/econevals/econevals_glm53_flash_parasail_first_light_v1/qualification_attempt_001/checkpoints/canary.json,22d52723db165b5e43aac3eb66dca29a5a4942d509e9729bd9dd9ec6d55d8734
econevals_glm53_flash_parasail_first_light_v1,002,canary_probe,econevals.procurement.basic.0,procurement,rate_limit,ProviderFailure,0,,provider,0.0,runs/econevals/econevals_glm53_flash_parasail_first_light_v1/qualification_attempt_002/checkpoints/canary.json,1d01ae4d9a13b2b9a487f559589e8cefa87c92e654a3e00933cdd0c462f3233f
econevals_glm53_flash_parasail_first_light_v1,003,canary_probe,econevals.procurement.basic.0,procurement,rate_limit,ProviderFailure,0,,provider,0.0,runs/econevals/econevals_glm53_flash_parasail_first_light_v1/qualification_attempt_003/checkpoints/canary_probes/001.json,89895a86bd05089a22e6f8843c8976245ea54be156192196ba0e2a7cb077370d
econevals_glm53_flash_parasail_first_light_v1,003,canary_probe,econevals.procurement.basic.0,procurement,rate_limit,ProviderFailure,0,,provider,0.0,runs/econevals/econevals_glm53_flash_parasail_first_light_v1/qualification_attempt_003/checkpoints/canary_probes/002.json,794bc086c80fd54af0a6eb262ad57bdc0bc43c4b5e75522601a8dc000adecae6
econevals_glm53_flash_parasail_first_light_v1,003,canary_probe,econevals.procurement.basic.0,procurement,rate_limit,ProviderFailure,0,,provider,0.0,runs/econevals/econevals_glm53_flash_parasail_first_light_v1/qualification_attempt_003/checkpoints/canary_probes/003.json,15e235196058ccd917220e665dfdecf3be7d07fb7900f4ab80f44f2593af2010
econevals_glm53_flash_parasail_first_light_v1,003,trajectory,econevals.procurement.basic.0,procurement,provider_contract,SchedulerContractError,2,provider_contract=2,environment,0.0,runs/econevals/econevals_glm53_flash_parasail_first_light_v1/qualification_attempt_003/checkpoints/00_econevals.procurement.basic.0.json,8ec8d22f76a70a6e5e10d1e93873cbff3feb492268d18d831fb43a0ee88a8e0a
econevals_glm53_flash_parasail_first_light_v1,004,trajectory,econevals.procurement.basic.0,procurement,malformed_structured_output,SchedulerContractError,2,malformed_structured_output=2,model,0.0,runs/econevals/econevals_glm53_flash_parasail_first_light_v1/qualification_attempt_004/checkpoints/00_econevals.procurement.basic.0.json,aa3354dcacb640f8daea3b986904ee6f5e69dcae17309b7733c6301e471c84af
econevals_glm53_flash_parasail_first_light_v1,005,trajectory,econevals.procurement.basic.0,procurement,malformed_structured_output,SchedulerContractError,2,malformed_structured_output=2,model,0.0,runs/econevals/econevals_glm53_flash_parasail_first_light_v1/qualification_attempt_005/checkpoints/00_econevals.procurement.basic.0.json,7e6d83694cfbcecd3bb9fc05e2cb23fecc121ccd9c0d136bbe0bcb82482682d6
econevals_glm53_flash_parasail_first_light_v1,006,trajectory,econevals.procurement.basic.0,procurement,rate_limit,SchedulerContractError,2,rate_limit=2,provider,0.0,runs/econevals/econevals_glm53_flash_parasail_first_light_v1/qualification_attempt_006/checkpoints/00_econevals.procurement.basic.0.json,aee58a7aeef1319a079273c9f1ac057c6652aac622ea68464a168261eb9823fa
econevals_glm53_flash_parasail_first_light_v1,007,trajectory,econevals.procurement.basic.0,procurement,rate_limit,RuntimeError,68,rate_limit=68,provider,0.0,runs/econevals/econevals_glm53_flash_parasail_first_light_v1/qualification_attempt_007/checkpoints/00_econevals.procurement.basic.0.json,b313167e72e96bf1e05ed133b57eb49d60705054347ec5be701c2ac7b53e37ff
econevals_glm53_flash_parasail_first_light_v1,008,trajectory,econevals.procurement.basic.1,procurement,provider_rejected,SchedulerContractError,12,provider_rejected=2;rate_limit=10,provider,0.0,runs/econevals/econevals_glm53_flash_parasail_first_light_v1/qualification_attempt_008/checkpoints/01_econevals.procurement.basic.1.json,50cd497115369cf144d53bbab7048cb6739b9a0ff182b8a0b98b81b72eb168b8
econevals_glm53_flash_parasail_first_light_v1,009,measurement,econevals.procurement.basic.0,procurement,invalid_measurement,,0,,model,0.010735312500000002,runs/econevals/econevals_glm53_flash_parasail_first_light_v1/qualification_attempt_009/checkpoints/00_econevals.procurement.basic.0.json,8cbc222d9bea2e5d7e5654fe69f13c711f9fa07393741c3ba9b62608af26b8a1
econevals_glm53_flash_parasail_first_light_v1,009,trajectory,econevals.scheduling.basic.0,scheduling,malformed_structured_output,SchedulerContractError,6,malformed_structured_output=2;rate_limit=4,model,0.0,runs/econevals/econevals_glm53_flash_parasail_first_light_v1/qualification_attempt_009/checkpoints/02_econevals.scheduling.basic.0.json,8cfb665d7049ed959622140c07711e26ebdfd254b591fe052686a819edd5de15
econevals_glm53_flash_parasail_first_light_v1,010,canary_probe,econevals.procurement.basic.0,procurement,rate_limit,ProviderFailure,0,,provider,0.0,runs/econevals/econevals_glm53_flash_parasail_first_light_v1/qualification_attempt_010/checkpoints/canary_probes/001.json,6ff4b8ac8d081376a51639d3af45f2099de9fa9116dfcc97fcf1f240666e027a
econevals_glm53_flash_parasail_first_light_v1,010,canary_probe,econevals.procurement.basic.0,procurement,rate_limit,ProviderFailure,0,,provider,0.0,runs/econevals/econevals_glm53_flash_parasail_first_light_v1/qualification_attempt_010/checkpoints/canary_probes/002.json,a663be0cb7448bae9394e4d075b89b4bfb7a7427cf2136e93747e2012b183d77
econevals_glm53_flash_parasail_first_light_v1,010,trajectory,econevals.procurement.basic.0,procurement,rate_limit,SchedulerContractError,20,rate_limit=20,provider,0.0,runs/econevals/econevals_glm53_flash_parasail_first_light_v1/qualification_attempt_010/checkpoints/00_econevals.procurement.basic.0.json,029d7b2a331553b58b24aacebbb033ee6705f217521d5bf84e21385b7e877223
econevals_glm53_flash_parasail_first_light_v1,012,trajectory,econevals.procurement.basic.0,procurement,provider_rejected,SchedulerContractError,10,provider_rejected=2;rate_limit=8,provider,0.0,runs/econevals/econevals_glm53_flash_parasail_first_light_v1/qualification_attempt_012/checkpoints/00_econevals.procurement.basic.0.json,1ff2eac0df752199ee8532a0f8e02b43d0b6bcddceaa09d74a69275186f63eb9
econevals_glm53_flash_parasail_first_light_v1,013,measurement,econevals.procurement.basic.0,procurement,invalid_measurement,,0,,model,0.0105875055,runs/econevals/econevals_glm53_flash_parasail_first_light_v1/qualification_attempt_013/checkpoints/00_econevals.procurement.basic.0.json,c4fa9f0828c31701352fe05a8cc413716d0fa2a6557e4f421c2ff4e3f9139cde
econevals_glm53_flash_parasail_first_light_v1,013,trajectory,econevals.scheduling.basic.0,scheduling,rate_limit,SchedulerContractError,52,length=2;rate_limit=50,provider,0.0,runs/econevals/econevals_glm53_flash_parasail_first_light_v1/qualification_attempt_013/checkpoints/02_econevals.scheduling.basic.0.json,2a34f28f1821d68cdff06420412f353e2729e56c088f43722e31914d9bb319ff
