fact_id,run_id,profile_id,profile_sha256,provider,requested_model,model_revision,harness_id,feature_name,feature_value,evidence_class,source_kind,source_id,source_sha256,reportable
feature_6d960a0121dc6d8253abfc11,runplan_8ae3ba25ab40bbd4,housing_deepseek_v4_flash_parasail_landlord_v10,e4fa8a2b0a95f15d06154248df48cc2e1774a92699cef6c4b8037e9375629292,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_875b3fce6013a36c8588,8ae3ba25ab40bbd47c924ffab315d537a0e3ea3c0b08c182c72f2cc0486cd818,true
feature_05a7f3f2a561ea319537e795,runplan_8ae3ba25ab40bbd4,housing_deepseek_v4_flash_parasail_landlord_v10,e4fa8a2b0a95f15d06154248df48cc2e1774a92699cef6c4b8037e9375629292,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_875b3fce6013a36c8588,8ae3ba25ab40bbd47c924ffab315d537a0e3ea3c0b08c182c72f2cc0486cd818,true
feature_9479ff67b95f3b4e6e5c5c61,runplan_8ae3ba25ab40bbd4,housing_deepseek_v4_flash_parasail_landlord_v10,e4fa8a2b0a95f15d06154248df48cc2e1774a92699cef6c4b8037e9375629292,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_875b3fce6013a36c8588,8ae3ba25ab40bbd47c924ffab315d537a0e3ea3c0b08c182c72f2cc0486cd818,true
feature_cf8c44c4b34d580684101f51,runplan_8ae3ba25ab40bbd4,housing_deepseek_v4_flash_parasail_landlord_v10,e4fa8a2b0a95f15d06154248df48cc2e1774a92699cef6c4b8037e9375629292,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,provider_calls_observed,true,admission_derived,profile_admission,admission_875b3fce6013a36c8588,8ae3ba25ab40bbd47c924ffab315d537a0e3ea3c0b08c182c72f2cc0486cd818,true
feature_b5c17d41eb6fd1792200be92,runplan_8ae3ba25ab40bbd4,housing_deepseek_v4_flash_parasail_landlord_v10,e4fa8a2b0a95f15d06154248df48cc2e1774a92699cef6c4b8037e9375629292,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,seed_enforced,true,admission_derived,profile_admission,admission_875b3fce6013a36c8588,8ae3ba25ab40bbd47c924ffab315d537a0e3ea3c0b08c182c72f2cc0486cd818,true
feature_744dc63677510b0facbd9561,runplan_8ae3ba25ab40bbd4,housing_deepseek_v4_flash_parasail_landlord_v10,e4fa8a2b0a95f15d06154248df48cc2e1774a92699cef6c4b8037e9375629292,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,state_restorable,false,admission_derived,profile_admission,admission_875b3fce6013a36c8588,8ae3ba25ab40bbd47c924ffab315d537a0e3ea3c0b08c182c72f2cc0486cd818,true
feature_f0d4d8d9902ec467eb7e422d,runplan_8ae3ba25ab40bbd4,housing_deepseek_v4_flash_parasail_landlord_v10,e4fa8a2b0a95f15d06154248df48cc2e1774a92699cef6c4b8037e9375629292,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,tool_calls_observed,false,admission_derived,profile_admission,admission_875b3fce6013a36c8588,8ae3ba25ab40bbd47c924ffab315d537a0e3ea3c0b08c182c72f2cc0486cd818,true
feature_8cba62dfcee4398922cee973,runplan_8ae3ba25ab40bbd4,housing_deepseek_v4_flash_parasail_tenant_v10,62dfbc58c13dd2eb9e325dd36794aa27b34873b52c8fb4803d1b408e795d7bc2,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_5a42f1a26fa313ccd173,8ae3ba25ab40bbd47c924ffab315d537a0e3ea3c0b08c182c72f2cc0486cd818,true
feature_68214dde72df5a71adc85215,runplan_8ae3ba25ab40bbd4,housing_deepseek_v4_flash_parasail_tenant_v10,62dfbc58c13dd2eb9e325dd36794aa27b34873b52c8fb4803d1b408e795d7bc2,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_5a42f1a26fa313ccd173,8ae3ba25ab40bbd47c924ffab315d537a0e3ea3c0b08c182c72f2cc0486cd818,true
feature_f6504a69ba240a684a83aedd,runplan_8ae3ba25ab40bbd4,housing_deepseek_v4_flash_parasail_tenant_v10,62dfbc58c13dd2eb9e325dd36794aa27b34873b52c8fb4803d1b408e795d7bc2,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_5a42f1a26fa313ccd173,8ae3ba25ab40bbd47c924ffab315d537a0e3ea3c0b08c182c72f2cc0486cd818,true
