campaign_id,landlord_model,completed_cells,signed_leases,zero_rent_leases,zero_rent_lease_share,ir_violations,cells_with_ir_violation,cells_with_ir_violation_share,mean_within_case_score,source_artifact,source_artifact_sha256
housing_confirmatory_parasail_v2,deepseek_v4_flash,359,1565,0,0.0,19,17,0.047354,0.844076,evidence/housing_confirmatory_parasail_v2/trajectories/attempted.json,da01cba93ade6d403e8c860414c1ee17675c9699c21b4b1816465c842084866b
housing_confirmatory_parasail_v2,glm_53_flash,358,1601,264,0.164897,295,213,0.594972,0.810512,evidence/housing_confirmatory_parasail_v2/trajectories/attempted.json,da01cba93ade6d403e8c860414c1ee17675c9699c21b4b1816465c842084866b
housing_model_sensitivity_openrouter_alt_v8,deepseek_v4_flash,6,20,0,0.0,0,0,0.0,0.88151,evidence/housing_model_sensitivity_openrouter_alt_v8/trajectories/attempted.json,6f6a741030249173d3d96f6f149c57f72d1259f59c2e53daa256ed9285c79de1
housing_model_sensitivity_openrouter_alt_v8,glm_53_flash,5,18,0,0.0,0,0,0.0,0.882416,evidence/housing_model_sensitivity_openrouter_alt_v8/trajectories/attempted.json,6f6a741030249173d3d96f6f149c57f72d1259f59c2e53daa256ed9285c79de1
housing_model_sensitivity_openrouter_friendli_v13,deepseek_v4_flash,2,4,0,0.0,0,0,0.0,0.92494,evidence/housing_model_sensitivity_openrouter_friendli_v13/trajectories/attempted.json,832f2b1663cde9c2c02f187ebe62d6d4ae5705d9fddc1d4cefe112af5a83d992
housing_model_sensitivity_openrouter_friendli_v13,glm_53_flash,2,4,0,0.0,0,0,0.0,0.883111,evidence/housing_model_sensitivity_openrouter_friendli_v13/trajectories/attempted.json,832f2b1663cde9c2c02f187ebe62d6d4ae5705d9fddc1d4cefe112af5a83d992
housing_model_sensitivity_openrouter_friendli_v15,deepseek_v4_flash,23,71,0,0.0,2,2,0.086957,0.798011,evidence/housing_model_sensitivity_openrouter_friendli_v15/trajectories/attempted.json,3665f9c97d991c689ec1afe8a3b167ca2b073ad423850a979af2e42b8113c8a9
housing_model_sensitivity_openrouter_friendli_v15,glm_53_flash,20,56,12,0.214286,12,9,0.45,0.733089,evidence/housing_model_sensitivity_openrouter_friendli_v15/trajectories/attempted.json,3665f9c97d991c689ec1afe8a3b167ca2b073ad423850a979af2e42b8113c8a9
housing_model_sensitivity_openrouter_morph_v10,deepseek_v4_flash,19,56,0,0.0,1,1,0.052632,0.75772,evidence/housing_model_sensitivity_openrouter_morph_v10/trajectories/attempted.json,cead56e4fe21d6b1d64cdf17925367e3cb92a1981139b9b3f0a9c79efb23ce6f
housing_model_sensitivity_openrouter_morph_v10,glm_53_flash,12,36,0,0.0,1,1,0.083333,0.65226,evidence/housing_model_sensitivity_openrouter_morph_v10/trajectories/attempted.json,cead56e4fe21d6b1d64cdf17925367e3cb92a1981139b9b3f0a9c79efb23ce6f
housing_model_sensitivity_openrouter_parasail_v16,deepseek_v4_flash,2,4,0,0.0,0,0,0.0,0.902897,evidence/housing_model_sensitivity_openrouter_parasail_v16/trajectories/attempted.json,d59d2504e418af0451304c3e364be692e79790eb717e4314c3755d56521f6e91
housing_model_sensitivity_openrouter_parasail_v16,glm_53_flash,2,4,1,0.25,1,1,0.5,0.902897,evidence/housing_model_sensitivity_openrouter_parasail_v16/trajectories/attempted.json,d59d2504e418af0451304c3e364be692e79790eb717e4314c3755d56521f6e91
housing_model_sensitivity_openrouter_parasail_v18,deepseek_v4_flash,2,3,0,0.0,0,0,0.0,0.745988,evidence/housing_model_sensitivity_openrouter_parasail_v18/trajectories/attempted.json,c0ef79322ddf60035ffb4d2a8dbd7cb207f836be99431a6c8a4a86a2a03af9da
housing_model_sensitivity_openrouter_parasail_v18,glm_53_flash,2,4,0,0.0,0,0,0.0,0.833136,evidence/housing_model_sensitivity_openrouter_parasail_v18/trajectories/attempted.json,c0ef79322ddf60035ffb4d2a8dbd7cb207f836be99431a6c8a4a86a2a03af9da
housing_model_sensitivity_openrouter_parasail_v19,deepseek_v4_flash,18,53,0,0.0,2,1,0.055556,0.804863,evidence/housing_model_sensitivity_openrouter_parasail_v19/trajectories/attempted.json,3960007ed5366162299986559d10b7ae532631af5d2659bfe83e06267b35159d
housing_model_sensitivity_openrouter_parasail_v19,glm_53_flash,14,44,6,0.136364,7,6,0.428571,0.769186,evidence/housing_model_sensitivity_openrouter_parasail_v19/trajectories/attempted.json,3960007ed5366162299986559d10b7ae532631af5d2659bfe83e06267b35159d
housing_model_sensitivity_openrouter_parasail_v20,deepseek_v4_flash,2,4,0,0.0,0,0,0.0,0.896382,evidence/housing_model_sensitivity_openrouter_parasail_v20/trajectories/attempted.json,f187448f11f07392eec8c1051f15c1230f251195ffb1da89ca8e509997d6fc24
housing_model_sensitivity_openrouter_parasail_v20,glm_53_flash,2,4,1,0.25,1,1,0.5,0.931489,evidence/housing_model_sensitivity_openrouter_parasail_v20/trajectories/attempted.json,f187448f11f07392eec8c1051f15c1230f251195ffb1da89ca8e509997d6fc24
housing_model_sensitivity_openrouter_parasail_v22,deepseek_v4_flash,2,4,0,0.0,0,0,0.0,0.833136,evidence/housing_model_sensitivity_openrouter_parasail_v22/trajectories/attempted.json,57269389a54db4a075d42975cf0a79d9fcc5d3185e24e8f6504d7bf31f76b60a
