campaign_id,landlord_model,world_seed,completed_cells,signed_leases,zero_rent_leases,ir_violations,cells_with_ir_violation,source_artifact,source_artifact_sha256
housing_confirmatory_parasail_v2,deepseek_v4_flash,8919439,12,56,0,1,1,evidence/housing_confirmatory_parasail_v2/trajectories/attempted.json,da01cba93ade6d403e8c860414c1ee17675c9699c21b4b1816465c842084866b
housing_confirmatory_parasail_v2,deepseek_v4_flash,27562482,12,48,0,1,1,evidence/housing_confirmatory_parasail_v2/trajectories/attempted.json,da01cba93ade6d403e8c860414c1ee17675c9699c21b4b1816465c842084866b
housing_confirmatory_parasail_v2,deepseek_v4_flash,84125567,12,53,0,0,0,evidence/housing_confirmatory_parasail_v2/trajectories/attempted.json,da01cba93ade6d403e8c860414c1ee17675c9699c21b4b1816465c842084866b
housing_confirmatory_parasail_v2,deepseek_v4_flash,144531421,12,50,0,1,1,evidence/housing_confirmatory_parasail_v2/trajectories/attempted.json,da01cba93ade6d403e8c860414c1ee17675c9699c21b4b1816465c842084866b
housing_confirmatory_parasail_v2,deepseek_v4_flash,210011375,12,52,0,1,1,evidence/housing_confirmatory_parasail_v2/trajectories/attempted.json,da01cba93ade6d403e8c860414c1ee17675c9699c21b4b1816465c842084866b
housing_confirmatory_parasail_v2,deepseek_v4_flash,369623215,12,52,0,0,0,evidence/housing_confirmatory_parasail_v2/trajectories/attempted.json,da01cba93ade6d403e8c860414c1ee17675c9699c21b4b1816465c842084866b
housing_confirmatory_parasail_v2,deepseek_v4_flash,449124770,12,49,0,2,1,evidence/housing_confirmatory_parasail_v2/trajectories/attempted.json,da01cba93ade6d403e8c860414c1ee17675c9699c21b4b1816465c842084866b
housing_confirmatory_parasail_v2,deepseek_v4_flash,545292283,12,50,0,0,0,evidence/housing_confirmatory_parasail_v2/trajectories/attempted.json,da01cba93ade6d403e8c860414c1ee17675c9699c21b4b1816465c842084866b
housing_confirmatory_parasail_v2,deepseek_v4_flash,657531977,12,55,0,0,0,evidence/housing_confirmatory_parasail_v2/trajectories/attempted.json,da01cba93ade6d403e8c860414c1ee17675c9699c21b4b1816465c842084866b
housing_confirmatory_parasail_v2,deepseek_v4_flash,744028935,12,50,0,2,2,evidence/housing_confirmatory_parasail_v2/trajectories/attempted.json,da01cba93ade6d403e8c860414c1ee17675c9699c21b4b1816465c842084866b
housing_confirmatory_parasail_v2,deepseek_v4_flash,805162878,11,43,0,0,0,evidence/housing_confirmatory_parasail_v2/trajectories/attempted.json,da01cba93ade6d403e8c860414c1ee17675c9699c21b4b1816465c842084866b
housing_confirmatory_parasail_v2,deepseek_v4_flash,935421243,12,56,0,0,0,evidence/housing_confirmatory_parasail_v2/trajectories/attempted.json,da01cba93ade6d403e8c860414c1ee17675c9699c21b4b1816465c842084866b
housing_confirmatory_parasail_v2,deepseek_v4_flash,978077348,12,58,0,0,0,evidence/housing_confirmatory_parasail_v2/trajectories/attempted.json,da01cba93ade6d403e8c860414c1ee17675c9699c21b4b1816465c842084866b
housing_confirmatory_parasail_v2,deepseek_v4_flash,1078198037,12,53,0,1,1,evidence/housing_confirmatory_parasail_v2/trajectories/attempted.json,da01cba93ade6d403e8c860414c1ee17675c9699c21b4b1816465c842084866b
housing_confirmatory_parasail_v2,deepseek_v4_flash,1207545696,12,47,0,0,0,evidence/housing_confirmatory_parasail_v2/trajectories/attempted.json,da01cba93ade6d403e8c860414c1ee17675c9699c21b4b1816465c842084866b
housing_confirmatory_parasail_v2,deepseek_v4_flash,1255654432,12,54,0,1,1,evidence/housing_confirmatory_parasail_v2/trajectories/attempted.json,da01cba93ade6d403e8c860414c1ee17675c9699c21b4b1816465c842084866b
housing_confirmatory_parasail_v2,deepseek_v4_flash,1263145380,12,54,0,0,0,evidence/housing_confirmatory_parasail_v2/trajectories/attempted.json,da01cba93ade6d403e8c860414c1ee17675c9699c21b4b1816465c842084866b
housing_confirmatory_parasail_v2,deepseek_v4_flash,1268106556,12,53,0,0,0,evidence/housing_confirmatory_parasail_v2/trajectories/attempted.json,da01cba93ade6d403e8c860414c1ee17675c9699c21b4b1816465c842084866b
housing_confirmatory_parasail_v2,deepseek_v4_flash,1291027571,12,53,0,0,0,evidence/housing_confirmatory_parasail_v2/trajectories/attempted.json,da01cba93ade6d403e8c860414c1ee17675c9699c21b4b1816465c842084866b
housing_confirmatory_parasail_v2,deepseek_v4_flash,1307871977,12,60,0,0,0,evidence/housing_confirmatory_parasail_v2/trajectories/attempted.json,da01cba93ade6d403e8c860414c1ee17675c9699c21b4b1816465c842084866b
housing_confirmatory_parasail_v2,deepseek_v4_flash,1419988216,12,49,0,0,0,evidence/housing_confirmatory_parasail_v2/trajectories/attempted.json,da01cba93ade6d403e8c860414c1ee17675c9699c21b4b1816465c842084866b
housing_confirmatory_parasail_v2,deepseek_v4_flash,1502627411,12,49,0,3,2,evidence/housing_confirmatory_parasail_v2/trajectories/attempted.json,da01cba93ade6d403e8c860414c1ee17675c9699c21b4b1816465c842084866b
housing_confirmatory_parasail_v2,deepseek_v4_flash,1628619353,12,56,0,0,0,evidence/housing_confirmatory_parasail_v2/trajectories/attempted.json,da01cba93ade6d403e8c860414c1ee17675c9699c21b4b1816465c842084866b
housing_confirmatory_parasail_v2,deepseek_v4_flash,1640977697,12,55,0,0,0,evidence/housing_confirmatory_parasail_v2/trajectories/attempted.json,da01cba93ade6d403e8c860414c1ee17675c9699c21b4b1816465c842084866b
housing_confirmatory_parasail_v2,deepseek_v4_flash,1665492486,12,48,0,0,0,evidence/housing_confirmatory_parasail_v2/trajectories/attempted.json,da01cba93ade6d403e8c860414c1ee17675c9699c21b4b1816465c842084866b
housing_confirmatory_parasail_v2,deepseek_v4_flash,1737316725,12,56,0,1,1,evidence/housing_confirmatory_parasail_v2/trajectories/attempted.json,da01cba93ade6d403e8c860414c1ee17675c9699c21b4b1816465c842084866b
housing_confirmatory_parasail_v2,deepseek_v4_flash,1746020508,12,55,0,4,4,evidence/housing_confirmatory_parasail_v2/trajectories/attempted.json,da01cba93ade6d403e8c860414c1ee17675c9699c21b4b1816465c842084866b
housing_confirmatory_parasail_v2,deepseek_v4_flash,1907374266,12,52,0,1,1,evidence/housing_confirmatory_parasail_v2/trajectories/attempted.json,da01cba93ade6d403e8c860414c1ee17675c9699c21b4b1816465c842084866b
housing_confirmatory_parasail_v2,deepseek_v4_flash,2085097730,12,47,0,0,0,evidence/housing_confirmatory_parasail_v2/trajectories/attempted.json,da01cba93ade6d403e8c860414c1ee17675c9699c21b4b1816465c842084866b
housing_confirmatory_parasail_v2,deepseek_v4_flash,2115856512,12,52,0,0,0,evidence/housing_confirmatory_parasail_v2/trajectories/attempted.json,da01cba93ade6d403e8c860414c1ee17675c9699c21b4b1816465c842084866b
housing_confirmatory_parasail_v2,glm_53_flash,8919439,12,57,7,7,5,evidence/housing_confirmatory_parasail_v2/trajectories/attempted.json,da01cba93ade6d403e8c860414c1ee17675c9699c21b4b1816465c842084866b
housing_confirmatory_parasail_v2,glm_53_flash,27562482,12,51,5,7,4,evidence/housing_confirmatory_parasail_v2/trajectories/attempted.json,da01cba93ade6d403e8c860414c1ee17675c9699c21b4b1816465c842084866b
housing_confirmatory_parasail_v2,glm_53_flash,84125567,12,55,6,7,6,evidence/housing_confirmatory_parasail_v2/trajectories/attempted.json,da01cba93ade6d403e8c860414c1ee17675c9699c21b4b1816465c842084866b
housing_confirmatory_parasail_v2,glm_53_flash,144531421,11,46,7,7,4,evidence/housing_confirmatory_parasail_v2/trajectories/attempted.json,da01cba93ade6d403e8c860414c1ee17675c9699c21b4b1816465c842084866b
housing_confirmatory_parasail_v2,glm_53_flash,210011375,12,56,12,16,10,evidence/housing_confirmatory_parasail_v2/trajectories/attempted.json,da01cba93ade6d403e8c860414c1ee17675c9699c21b4b1816465c842084866b
housing_confirmatory_parasail_v2,glm_53_flash,369623215,12,52,9,9,7,evidence/housing_confirmatory_parasail_v2/trajectories/attempted.json,da01cba93ade6d403e8c860414c1ee17675c9699c21b4b1816465c842084866b
housing_confirmatory_parasail_v2,glm_53_flash,449124770,12,53,11,13,10,evidence/housing_confirmatory_parasail_v2/trajectories/attempted.json,da01cba93ade6d403e8c860414c1ee17675c9699c21b4b1816465c842084866b
housing_confirmatory_parasail_v2,glm_53_flash,545292283,12,52,9,11,7,evidence/housing_confirmatory_parasail_v2/trajectories/attempted.json,da01cba93ade6d403e8c860414c1ee17675c9699c21b4b1816465c842084866b
housing_confirmatory_parasail_v2,glm_53_flash,657531977,12,57,10,11,8,evidence/housing_confirmatory_parasail_v2/trajectories/attempted.json,da01cba93ade6d403e8c860414c1ee17675c9699c21b4b1816465c842084866b
housing_confirmatory_parasail_v2,glm_53_flash,744028935,12,52,15,17,10,evidence/housing_confirmatory_parasail_v2/trajectories/attempted.json,da01cba93ade6d403e8c860414c1ee17675c9699c21b4b1816465c842084866b
housing_confirmatory_parasail_v2,glm_53_flash,805162878,12,52,8,8,7,evidence/housing_confirmatory_parasail_v2/trajectories/attempted.json,da01cba93ade6d403e8c860414c1ee17675c9699c21b4b1816465c842084866b
housing_confirmatory_parasail_v2,glm_53_flash,935421243,12,58,8,9,7,evidence/housing_confirmatory_parasail_v2/trajectories/attempted.json,da01cba93ade6d403e8c860414c1ee17675c9699c21b4b1816465c842084866b
housing_confirmatory_parasail_v2,glm_53_flash,978077348,12,59,6,6,5,evidence/housing_confirmatory_parasail_v2/trajectories/attempted.json,da01cba93ade6d403e8c860414c1ee17675c9699c21b4b1816465c842084866b
housing_confirmatory_parasail_v2,glm_53_flash,1078198037,12,54,9,9,6,evidence/housing_confirmatory_parasail_v2/trajectories/attempted.json,da01cba93ade6d403e8c860414c1ee17675c9699c21b4b1816465c842084866b
housing_confirmatory_parasail_v2,glm_53_flash,1207545696,12,52,7,10,7,evidence/housing_confirmatory_parasail_v2/trajectories/attempted.json,da01cba93ade6d403e8c860414c1ee17675c9699c21b4b1816465c842084866b
housing_confirmatory_parasail_v2,glm_53_flash,1255654432,12,55,6,6,5,evidence/housing_confirmatory_parasail_v2/trajectories/attempted.json,da01cba93ade6d403e8c860414c1ee17675c9699c21b4b1816465c842084866b
housing_confirmatory_parasail_v2,glm_53_flash,1263145380,12,47,7,7,6,evidence/housing_confirmatory_parasail_v2/trajectories/attempted.json,da01cba93ade6d403e8c860414c1ee17675c9699c21b4b1816465c842084866b
housing_confirmatory_parasail_v2,glm_53_flash,1268106556,12,52,8,9,8,evidence/housing_confirmatory_parasail_v2/trajectories/attempted.json,da01cba93ade6d403e8c860414c1ee17675c9699c21b4b1816465c842084866b
housing_confirmatory_parasail_v2,glm_53_flash,1291027571,12,54,13,13,11,evidence/housing_confirmatory_parasail_v2/trajectories/attempted.json,da01cba93ade6d403e8c860414c1ee17675c9699c21b4b1816465c842084866b
housing_confirmatory_parasail_v2,glm_53_flash,1307871977,12,58,11,11,7,evidence/housing_confirmatory_parasail_v2/trajectories/attempted.json,da01cba93ade6d403e8c860414c1ee17675c9699c21b4b1816465c842084866b
housing_confirmatory_parasail_v2,glm_53_flash,1419988216,12,53,10,11,9,evidence/housing_confirmatory_parasail_v2/trajectories/attempted.json,da01cba93ade6d403e8c860414c1ee17675c9699c21b4b1816465c842084866b
housing_confirmatory_parasail_v2,glm_53_flash,1502627411,12,51,10,13,9,evidence/housing_confirmatory_parasail_v2/trajectories/attempted.json,da01cba93ade6d403e8c860414c1ee17675c9699c21b4b1816465c842084866b
housing_confirmatory_parasail_v2,glm_53_flash,1628619353,12,57,8,8,6,evidence/housing_confirmatory_parasail_v2/trajectories/attempted.json,da01cba93ade6d403e8c860414c1ee17675c9699c21b4b1816465c842084866b
housing_confirmatory_parasail_v2,glm_53_flash,1640977697,12,52,7,7,7,evidence/housing_confirmatory_parasail_v2/trajectories/attempted.json,da01cba93ade6d403e8c860414c1ee17675c9699c21b4b1816465c842084866b
housing_confirmatory_parasail_v2,glm_53_flash,1665492486,12,53,15,16,9,evidence/housing_confirmatory_parasail_v2/trajectories/attempted.json,da01cba93ade6d403e8c860414c1ee17675c9699c21b4b1816465c842084866b
housing_confirmatory_parasail_v2,glm_53_flash,1737316725,11,51,8,9,5,evidence/housing_confirmatory_parasail_v2/trajectories/attempted.json,da01cba93ade6d403e8c860414c1ee17675c9699c21b4b1816465c842084866b
housing_confirmatory_parasail_v2,glm_53_flash,1746020508,12,57,8,13,9,evidence/housing_confirmatory_parasail_v2/trajectories/attempted.json,da01cba93ade6d403e8c860414c1ee17675c9699c21b4b1816465c842084866b
housing_confirmatory_parasail_v2,glm_53_flash,1907374266,12,55,12,12,9,evidence/housing_confirmatory_parasail_v2/trajectories/attempted.json,da01cba93ade6d403e8c860414c1ee17675c9699c21b4b1816465c842084866b
housing_confirmatory_parasail_v2,glm_53_flash,2085097730,12,48,6,7,6,evidence/housing_confirmatory_parasail_v2/trajectories/attempted.json,da01cba93ade6d403e8c860414c1ee17675c9699c21b4b1816465c842084866b
housing_confirmatory_parasail_v2,glm_53_flash,2115856512,12,52,6,6,4,evidence/housing_confirmatory_parasail_v2/trajectories/attempted.json,da01cba93ade6d403e8c860414c1ee17675c9699c21b4b1816465c842084866b
housing_model_sensitivity_openrouter_alt_v8,deepseek_v4_flash,1971418798,6,20,0,0,0,evidence/housing_model_sensitivity_openrouter_alt_v8/trajectories/attempted.json,6f6a741030249173d3d96f6f149c57f72d1259f59c2e53daa256ed9285c79de1
housing_model_sensitivity_openrouter_alt_v8,glm_53_flash,1971418798,5,18,0,0,0,evidence/housing_model_sensitivity_openrouter_alt_v8/trajectories/attempted.json,6f6a741030249173d3d96f6f149c57f72d1259f59c2e53daa256ed9285c79de1
