fact_id,run_id,profile_id,profile_sha256,provider,requested_model,model_revision,harness_id,feature_name,feature_value,evidence_class,source_kind,source_id,source_sha256,reportable
feature_8066d2b0505625009fbca1ca,runplan_d27937dcf792cd8c,housing_deepseek_v4_flash_parasail_tenant_confirmatory_v2,6a9aa45dc57532f5cdae6eaeee7a494d9889d644765824c6a4ac25a4f0e6128c,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_b02ef4d0cd959bd53b40,d27937dcf792cd8c5fe80ef290785c23720e5dc0ca42e99b66c6cf6fb998403c,true
feature_97f84d55d9f0a1f3febaacbd,runplan_d27937dcf792cd8c,housing_deepseek_v4_flash_parasail_tenant_confirmatory_v2,6a9aa45dc57532f5cdae6eaeee7a494d9889d644765824c6a4ac25a4f0e6128c,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_b02ef4d0cd959bd53b40,d27937dcf792cd8c5fe80ef290785c23720e5dc0ca42e99b66c6cf6fb998403c,true
feature_0e133a15eca19d1d3f552a8a,runplan_d27937dcf792cd8c,housing_deepseek_v4_flash_parasail_tenant_confirmatory_v2,6a9aa45dc57532f5cdae6eaeee7a494d9889d644765824c6a4ac25a4f0e6128c,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_b02ef4d0cd959bd53b40,d27937dcf792cd8c5fe80ef290785c23720e5dc0ca42e99b66c6cf6fb998403c,true
feature_10ad5fa5dd63942cd0b7042c,runplan_d27937dcf792cd8c,housing_deepseek_v4_flash_parasail_tenant_confirmatory_v2,6a9aa45dc57532f5cdae6eaeee7a494d9889d644765824c6a4ac25a4f0e6128c,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,provider_calls_observed,true,admission_derived,profile_admission,admission_b02ef4d0cd959bd53b40,d27937dcf792cd8c5fe80ef290785c23720e5dc0ca42e99b66c6cf6fb998403c,true
feature_97aef617b1818d4ac804712e,runplan_d27937dcf792cd8c,housing_deepseek_v4_flash_parasail_tenant_confirmatory_v2,6a9aa45dc57532f5cdae6eaeee7a494d9889d644765824c6a4ac25a4f0e6128c,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,seed_enforced,true,admission_derived,profile_admission,admission_b02ef4d0cd959bd53b40,d27937dcf792cd8c5fe80ef290785c23720e5dc0ca42e99b66c6cf6fb998403c,true
feature_e280be7155c0fe3450408404,runplan_d27937dcf792cd8c,housing_deepseek_v4_flash_parasail_tenant_confirmatory_v2,6a9aa45dc57532f5cdae6eaeee7a494d9889d644765824c6a4ac25a4f0e6128c,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,state_restorable,false,admission_derived,profile_admission,admission_b02ef4d0cd959bd53b40,d27937dcf792cd8c5fe80ef290785c23720e5dc0ca42e99b66c6cf6fb998403c,true
feature_1d5e381c05a08bcaa471ca13,runplan_d27937dcf792cd8c,housing_deepseek_v4_flash_parasail_tenant_confirmatory_v2,6a9aa45dc57532f5cdae6eaeee7a494d9889d644765824c6a4ac25a4f0e6128c,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,tool_calls_observed,false,admission_derived,profile_admission,admission_b02ef4d0cd959bd53b40,d27937dcf792cd8c5fe80ef290785c23720e5dc0ca42e99b66c6cf6fb998403c,true
feature_360002a605edb394cc818e05,runplan_d27937dcf792cd8c,housing_glm_53_flash_parasail_landlord_confirmatory_v2,bb811629094fb897c6f5c3f0e3e8c0d7b0c682cddaa7909b654253d3d36ffa1b,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_00f45d50d3973e64cd2f,d27937dcf792cd8c5fe80ef290785c23720e5dc0ca42e99b66c6cf6fb998403c,true
feature_12b908c85413459794885477,runplan_d27937dcf792cd8c,housing_glm_53_flash_parasail_landlord_confirmatory_v2,bb811629094fb897c6f5c3f0e3e8c0d7b0c682cddaa7909b654253d3d36ffa1b,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_00f45d50d3973e64cd2f,d27937dcf792cd8c5fe80ef290785c23720e5dc0ca42e99b66c6cf6fb998403c,true
feature_3dfa6257742738920b6317b2,runplan_d27937dcf792cd8c,housing_glm_53_flash_parasail_landlord_confirmatory_v2,bb811629094fb897c6f5c3f0e3e8c0d7b0c682cddaa7909b654253d3d36ffa1b,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_00f45d50d3973e64cd2f,d27937dcf792cd8c5fe80ef290785c23720e5dc0ca42e99b66c6cf6fb998403c,true
