fact_id,run_id,profile_id,profile_sha256,provider,requested_model,model_revision,harness_id,feature_name,feature_value,evidence_class,source_kind,source_id,source_sha256,reportable
feature_c945f7545c070687e24c61f9,runplan_f6cd8b55c0c87470,housing_deepseek_v4_flash_parasail_landlord_confirmatory_v2,d80a0bbcab539e19ddcaee956567f0032781014f363bb32ef5f910ab278c823a,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_9a9b313521425cbd54a5,f6cd8b55c0c8747077e73963660ea37ec6d93171e2c3914a717c67e5d790ddf1,true
feature_7492050f93fabd34e0652319,runplan_f6cd8b55c0c87470,housing_deepseek_v4_flash_parasail_landlord_confirmatory_v2,d80a0bbcab539e19ddcaee956567f0032781014f363bb32ef5f910ab278c823a,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_9a9b313521425cbd54a5,f6cd8b55c0c8747077e73963660ea37ec6d93171e2c3914a717c67e5d790ddf1,true
feature_4ddd01aca8a4deae33d773e2,runplan_f6cd8b55c0c87470,housing_deepseek_v4_flash_parasail_landlord_confirmatory_v2,d80a0bbcab539e19ddcaee956567f0032781014f363bb32ef5f910ab278c823a,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_9a9b313521425cbd54a5,f6cd8b55c0c8747077e73963660ea37ec6d93171e2c3914a717c67e5d790ddf1,true
feature_3997d66f74b78b80278ae940,runplan_f6cd8b55c0c87470,housing_deepseek_v4_flash_parasail_landlord_confirmatory_v2,d80a0bbcab539e19ddcaee956567f0032781014f363bb32ef5f910ab278c823a,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,provider_calls_observed,true,admission_derived,profile_admission,admission_9a9b313521425cbd54a5,f6cd8b55c0c8747077e73963660ea37ec6d93171e2c3914a717c67e5d790ddf1,true
feature_2ff7c5a445dbf8501bf4c8fe,runplan_f6cd8b55c0c87470,housing_deepseek_v4_flash_parasail_landlord_confirmatory_v2,d80a0bbcab539e19ddcaee956567f0032781014f363bb32ef5f910ab278c823a,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,seed_enforced,true,admission_derived,profile_admission,admission_9a9b313521425cbd54a5,f6cd8b55c0c8747077e73963660ea37ec6d93171e2c3914a717c67e5d790ddf1,true
feature_04fd0a81302f4f3d1b1c5bcf,runplan_f6cd8b55c0c87470,housing_deepseek_v4_flash_parasail_landlord_confirmatory_v2,d80a0bbcab539e19ddcaee956567f0032781014f363bb32ef5f910ab278c823a,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,state_restorable,false,admission_derived,profile_admission,admission_9a9b313521425cbd54a5,f6cd8b55c0c8747077e73963660ea37ec6d93171e2c3914a717c67e5d790ddf1,true
feature_fbcbf5e32afda21133ef35ef,runplan_f6cd8b55c0c87470,housing_deepseek_v4_flash_parasail_landlord_confirmatory_v2,d80a0bbcab539e19ddcaee956567f0032781014f363bb32ef5f910ab278c823a,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,tool_calls_observed,false,admission_derived,profile_admission,admission_9a9b313521425cbd54a5,f6cd8b55c0c8747077e73963660ea37ec6d93171e2c3914a717c67e5d790ddf1,true
feature_d3a7bd02987038bf7b55c31e,runplan_f6cd8b55c0c87470,housing_glm_53_flash_parasail_tenant_confirmatory_v2,dc4812e32ae85d1c0c6ec0b1d771561b55f4d072a9a4e48dd4cb7b7657658a38,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_c0fa7423b9d6b3189541,f6cd8b55c0c8747077e73963660ea37ec6d93171e2c3914a717c67e5d790ddf1,true
feature_2cf45dd1b1d9778539c22bd7,runplan_f6cd8b55c0c87470,housing_glm_53_flash_parasail_tenant_confirmatory_v2,dc4812e32ae85d1c0c6ec0b1d771561b55f4d072a9a4e48dd4cb7b7657658a38,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_c0fa7423b9d6b3189541,f6cd8b55c0c8747077e73963660ea37ec6d93171e2c3914a717c67e5d790ddf1,true
feature_183f08db9a4e23de33589b68,runplan_f6cd8b55c0c87470,housing_glm_53_flash_parasail_tenant_confirmatory_v2,dc4812e32ae85d1c0c6ec0b1d771561b55f4d072a9a4e48dd4cb7b7657658a38,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_c0fa7423b9d6b3189541,f6cd8b55c0c8747077e73963660ea37ec6d93171e2c3914a717c67e5d790ddf1,true
