campaign_id,model_id,provider,role,action_schema,probe_index,status,failure_condition,failure_status_code,input_tokens,cached_input_tokens,output_tokens,cost_usd,billing_status,route_verified,request_sha256,action_sha256,raw_response_sha256,artifact_sha256
housing_model_sensitivity_openrouter_deepinfra_v11,glm_53_flash,DeepInfra,tenant,housing_contact_v1,0,passed,,,427,0,108,5.843475e-05,provider_reported,True,9abaa2c8d4a8465fb58698ed42f054ee687b035e58063ed308e855599b46c7f7,66c10d855e50539e9f367c84ff4d5251a3fc2e6f78bf1fd287ea412993d827e9,44118ca10fa0b7f25bdef06020d5be516721c916e3bf493ff0d94fb9326c9cea,d9945ba4b3a7fda5df423f1b04f375025ea57a6cb55651f31dc8d95be0294c3f
housing_model_sensitivity_openrouter_deepinfra_v11,glm_53_flash,DeepInfra,tenant,housing_commit_v1,0,passed,,,458,0,38,4.34115e-05,provider_reported,True,a44197e04c0360690aec5b7431b857ad2550184dc0264611b957c51dd48ba767,565509c4519758d3bbe9f24664ec24813c5637f9e48b20d30066e9267bd4d83b,a987dc4f17a093c0ddad4d984eaf08f78f5eed1221ed00b9ef3b75bd98cb4435,52b7fecfba3420fdbced5ed87dfea4a5b3b440ecc9df8443c3dd2c1776ce800a
housing_model_sensitivity_openrouter_deepinfra_v11,glm_53_flash,DeepInfra,landlord,housing_respond_v1,0,passed,,,210,0,43,2.6235e-05,provider_reported,True,4fc99c7b3410b88f8dfa23b31dcd580f2587b873c598c5d1acbd4eeb8571a54b,55405e4a4299103e0e1d81e972e4b3908ddd4f5c6afce4794d488c030f2c2e00,9d445bf9823b4c4cb863c31f4165d610688619dd6d617cdafa0500bfc4d471c3,8698c3a368c3a2c6f4a416b8bb067d0eb6e66ed679f40ef98416ada8576baf59
housing_model_sensitivity_openrouter_deepinfra_v11,deepseek_v4_flash,Parasail,tenant,housing_contact_v1,0,passed,,,439,0,667,0.0002457378,provider_reported,True,0c65af6c82f7ad5f60a270e87fc0407cc6e7358bdea74fe3f5cef1bb9a6ddf97,33e85148ee7f81e37b37fc09a499947681365ac93970d798d7f321f5a874d6be,81246a6d34981474a573e2b27ec4ee2b233049e0bb0908e42d2bf350fff74169,ff1e2419bf078ecb9f7c7b0f93616676fd671b00c162ba0cd31ae983bd308e89
housing_model_sensitivity_openrouter_deepinfra_v11,deepseek_v4_flash,Parasail,tenant,housing_commit_v1,0,passed,,,473,0,397,0.0001756062,provider_reported,True,cd404b4303162b805d6b608b100ba4226559d49c15cace51cb72f2f5e0aba8b9,565509c4519758d3bbe9f24664ec24813c5637f9e48b20d30066e9267bd4d83b,52db7e0ec61000ef0fdb637d7ae52e22cfe11c3bd88bbc9a71b47b9827bceadc,843cb750e464245297f8a6247a3ac001c20f951f3f9cbd472e5e4f665d4043f7
housing_model_sensitivity_openrouter_deepinfra_v11,deepseek_v4_flash,Parasail,landlord,housing_respond_v1,0,passed,,,211,0,629,0.0002036034,provider_reported,True,3533db9e876e52b11dfd0c024aaa8d64829d469cd19f07bcf23ef80395330b0d,55405e4a4299103e0e1d81e972e4b3908ddd4f5c6afce4794d488c030f2c2e00,b4e2c90b7ede7c8f94c4cb6e2b5ac833cfb8a729854790639e2a5c5f55a4eeb2,a431e7f21c00c1be3d5cd5e0a46d35300c5587f10fd0b24a313cb2c47009a08d
housing_model_sensitivity_openrouter_deepinfra_v11,glm_53_flash,DeepInfra,tenant,housing_contact_v1,1,passed,,,431,0,67,4.858425e-05,provider_reported,True,6aa744869b5df086900366cf915ad55f2a1e8212d02c42470bbce6636234287d,905b2adeb7d5636d08ae226dfa896956872f602f8415d7b6d6c9b904c247daa4,866150abac5b5cb8161dea46556f34bf89147277f3ea21b1ba9cd3f564dcc0f8,83a3e7167b73e7976e05bae98f2d1629951e66460e98f2fd3cc48ec8127e132a
housing_model_sensitivity_openrouter_deepinfra_v11,glm_53_flash,DeepInfra,tenant,housing_commit_v1,1,passed,,,463,0,35,4.304025e-05,provider_reported,True,1cdad5b31e8fdf2102de94d9f970f3c10a22554fb2c25426e85fb3505e6c87b6,430e436aa3bca089504f5331f0761f7056adbe48606a7db4c84ac58d1c3b31a6,8be2eaed62ac5a612394b5390641da0d7241aa4740f015e83db974da76d032f9,03d30881a6b6f2561b66a1847d5e9eecebad7e1e7e3db185d5663f98cfe49ed1
housing_model_sensitivity_openrouter_deepinfra_v11,glm_53_flash,DeepInfra,landlord,housing_respond_v1,1,passed,,,212,0,42,2.6136e-05,provider_reported,True,22f54ed76d61882ca5e93006c6e5eafc8f85764bf2f00f96e4e4d4e9a44a8094,55405e4a4299103e0e1d81e972e4b3908ddd4f5c6afce4794d488c030f2c2e00,619783059ab6cfd0fcdec9b1dee30be7f12535126488b8b8102a4b8f44db5211,1471c2db043319c869dc9c588a4d44e4a719ba0076af7269182ef7ba05005e85
housing_model_sensitivity_openrouter_deepinfra_v11,deepseek_v4_flash,Parasail,tenant,housing_contact_v1,1,passed,,,439,0,1142,0.0003774078,provider_reported,True,1936279eb1b8c9a2e4f3096daad55e30621eb95fe6f4b444278478ef62c15b8a,825643af668db3a0cabc905f1b080952edd4be865997672cfede95ba59544d30,bdae1477a3770bfd7bbd33d55ea470e4e2afba0f5e94a0b7fbc5edbcb2ea8063,0e1b9b3d17adc20f519f0ce22c94dbdd0fa73b0cf434431085e48c1561f7b171
housing_model_sensitivity_openrouter_deepinfra_v11,deepseek_v4_flash,Parasail,tenant,housing_commit_v1,1,passed,,,473,0,103,9.41094e-05,provider_reported,True,7945f1927b4eb2bfbd84c573953cf63d5422e54fea629b622d73bc74a6253e34,430e436aa3bca089504f5331f0761f7056adbe48606a7db4c84ac58d1c3b31a6,22ac2e21b01cb6923796be0990fe54ad1052f0302a22398613c40db1a9111ffe,c2b6865358a09e56b2ea187013c59a0a8341edf84ce62ca61f11ee92924f0ce4
