fact_id,run_id,profile_id,profile_sha256,provider,requested_model,model_revision,harness_id,feature_name,feature_value,evidence_class,source_kind,source_id,source_sha256,reportable
feature_7d4ad82413cad97165577734,runplan_1ed87c2908067ad9,housing_deepseek_v4_flash_parasail_landlord_v13,ded3e125e2135d75db35b672c15b8f72834fb4a95d36c830fb473da3780f389a,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_041dbd5609cfd00922c7,1ed87c2908067ad95d67af0b6601013377aa9a759bbb67dd4e95d1b0c6138738,true
feature_b342c0eff67165b13bec1447,runplan_1ed87c2908067ad9,housing_deepseek_v4_flash_parasail_landlord_v13,ded3e125e2135d75db35b672c15b8f72834fb4a95d36c830fb473da3780f389a,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_041dbd5609cfd00922c7,1ed87c2908067ad95d67af0b6601013377aa9a759bbb67dd4e95d1b0c6138738,true
feature_73013f15022531394e11812f,runplan_1ed87c2908067ad9,housing_deepseek_v4_flash_parasail_landlord_v13,ded3e125e2135d75db35b672c15b8f72834fb4a95d36c830fb473da3780f389a,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_041dbd5609cfd00922c7,1ed87c2908067ad95d67af0b6601013377aa9a759bbb67dd4e95d1b0c6138738,true
feature_11866b620744f236ba1b2f42,runplan_1ed87c2908067ad9,housing_deepseek_v4_flash_parasail_landlord_v13,ded3e125e2135d75db35b672c15b8f72834fb4a95d36c830fb473da3780f389a,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,provider_calls_observed,true,admission_derived,profile_admission,admission_041dbd5609cfd00922c7,1ed87c2908067ad95d67af0b6601013377aa9a759bbb67dd4e95d1b0c6138738,true
feature_d8ecefd066701e08f93add90,runplan_1ed87c2908067ad9,housing_deepseek_v4_flash_parasail_landlord_v13,ded3e125e2135d75db35b672c15b8f72834fb4a95d36c830fb473da3780f389a,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,seed_enforced,true,admission_derived,profile_admission,admission_041dbd5609cfd00922c7,1ed87c2908067ad95d67af0b6601013377aa9a759bbb67dd4e95d1b0c6138738,true
feature_c723e6a35a3b80639f60fcac,runplan_1ed87c2908067ad9,housing_deepseek_v4_flash_parasail_landlord_v13,ded3e125e2135d75db35b672c15b8f72834fb4a95d36c830fb473da3780f389a,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,state_restorable,false,admission_derived,profile_admission,admission_041dbd5609cfd00922c7,1ed87c2908067ad95d67af0b6601013377aa9a759bbb67dd4e95d1b0c6138738,true
feature_cb07b46837907c5b9a501c6c,runplan_1ed87c2908067ad9,housing_deepseek_v4_flash_parasail_landlord_v13,ded3e125e2135d75db35b672c15b8f72834fb4a95d36c830fb473da3780f389a,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,tool_calls_observed,false,admission_derived,profile_admission,admission_041dbd5609cfd00922c7,1ed87c2908067ad95d67af0b6601013377aa9a759bbb67dd4e95d1b0c6138738,true
feature_4c4a8abc29610945e6e577a5,runplan_1ed87c2908067ad9,housing_glm_53_flash_friendli_tenant_v13,7faa2db365c1dc4fbdb977276cdea19b65e349447fba804323fa8ba68c53fc76,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_3b5206cb8a4256427c6c,1ed87c2908067ad95d67af0b6601013377aa9a759bbb67dd4e95d1b0c6138738,true
feature_f5a9046fc1965ae4b81d5225,runplan_1ed87c2908067ad9,housing_glm_53_flash_friendli_tenant_v13,7faa2db365c1dc4fbdb977276cdea19b65e349447fba804323fa8ba68c53fc76,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_3b5206cb8a4256427c6c,1ed87c2908067ad95d67af0b6601013377aa9a759bbb67dd4e95d1b0c6138738,true
feature_9ad14ad2790e1f312dc3c72f,runplan_1ed87c2908067ad9,housing_glm_53_flash_friendli_tenant_v13,7faa2db365c1dc4fbdb977276cdea19b65e349447fba804323fa8ba68c53fc76,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_3b5206cb8a4256427c6c,1ed87c2908067ad95d67af0b6601013377aa9a759bbb67dd4e95d1b0c6138738,true
feature_40cb6bf62a9543f002308287,runplan_1ed87c2908067ad9,housing_glm_53_flash_friendli_tenant_v13,7faa2db365c1dc4fbdb977276cdea19b65e349447fba804323fa8ba68c53fc76,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,provider_calls_observed,true,admission_derived,profile_admission,admission_3b5206cb8a4256427c6c,1ed87c2908067ad95d67af0b6601013377aa9a759bbb67dd4e95d1b0c6138738,true
feature_c8d0033b2e87eddf5315a2b7,runplan_1ed87c2908067ad9,housing_glm_53_flash_friendli_tenant_v13,7faa2db365c1dc4fbdb977276cdea19b65e349447fba804323fa8ba68c53fc76,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,seed_enforced,true,admission_derived,profile_admission,admission_3b5206cb8a4256427c6c,1ed87c2908067ad95d67af0b6601013377aa9a759bbb67dd4e95d1b0c6138738,true
feature_36d248b41b8d5c532668a96a,runplan_1ed87c2908067ad9,housing_glm_53_flash_friendli_tenant_v13,7faa2db365c1dc4fbdb977276cdea19b65e349447fba804323fa8ba68c53fc76,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,state_restorable,false,admission_derived,profile_admission,admission_3b5206cb8a4256427c6c,1ed87c2908067ad95d67af0b6601013377aa9a759bbb67dd4e95d1b0c6138738,true
feature_d4b08627b925616a95599229,runplan_1ed87c2908067ad9,housing_glm_53_flash_friendli_tenant_v13,7faa2db365c1dc4fbdb977276cdea19b65e349447fba804323fa8ba68c53fc76,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,tool_calls_observed,false,admission_derived,profile_admission,admission_3b5206cb8a4256427c6c,1ed87c2908067ad95d67af0b6601013377aa9a759bbb67dd4e95d1b0c6138738,true
