fact_id,run_id,profile_id,profile_sha256,provider,requested_model,model_revision,harness_id,feature_name,feature_value,evidence_class,source_kind,source_id,source_sha256,reportable
feature_7d4ad82413cad97165577734,runplan_352708da7fe26bf9,housing_deepseek_v4_flash_parasail_landlord_v13,ded3e125e2135d75db35b672c15b8f72834fb4a95d36c830fb473da3780f389a,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_041dbd5609cfd00922c7,352708da7fe26bf9ceb1728c1bcdbea9f217e33e9480f7013a121d5825aa09db,true
feature_b342c0eff67165b13bec1447,runplan_352708da7fe26bf9,housing_deepseek_v4_flash_parasail_landlord_v13,ded3e125e2135d75db35b672c15b8f72834fb4a95d36c830fb473da3780f389a,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_041dbd5609cfd00922c7,352708da7fe26bf9ceb1728c1bcdbea9f217e33e9480f7013a121d5825aa09db,true
feature_73013f15022531394e11812f,runplan_352708da7fe26bf9,housing_deepseek_v4_flash_parasail_landlord_v13,ded3e125e2135d75db35b672c15b8f72834fb4a95d36c830fb473da3780f389a,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_041dbd5609cfd00922c7,352708da7fe26bf9ceb1728c1bcdbea9f217e33e9480f7013a121d5825aa09db,true
feature_11866b620744f236ba1b2f42,runplan_352708da7fe26bf9,housing_deepseek_v4_flash_parasail_landlord_v13,ded3e125e2135d75db35b672c15b8f72834fb4a95d36c830fb473da3780f389a,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,provider_calls_observed,true,admission_derived,profile_admission,admission_041dbd5609cfd00922c7,352708da7fe26bf9ceb1728c1bcdbea9f217e33e9480f7013a121d5825aa09db,true
feature_d8ecefd066701e08f93add90,runplan_352708da7fe26bf9,housing_deepseek_v4_flash_parasail_landlord_v13,ded3e125e2135d75db35b672c15b8f72834fb4a95d36c830fb473da3780f389a,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,seed_enforced,true,admission_derived,profile_admission,admission_041dbd5609cfd00922c7,352708da7fe26bf9ceb1728c1bcdbea9f217e33e9480f7013a121d5825aa09db,true
feature_c723e6a35a3b80639f60fcac,runplan_352708da7fe26bf9,housing_deepseek_v4_flash_parasail_landlord_v13,ded3e125e2135d75db35b672c15b8f72834fb4a95d36c830fb473da3780f389a,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,state_restorable,false,admission_derived,profile_admission,admission_041dbd5609cfd00922c7,352708da7fe26bf9ceb1728c1bcdbea9f217e33e9480f7013a121d5825aa09db,true
feature_cb07b46837907c5b9a501c6c,runplan_352708da7fe26bf9,housing_deepseek_v4_flash_parasail_landlord_v13,ded3e125e2135d75db35b672c15b8f72834fb4a95d36c830fb473da3780f389a,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,tool_calls_observed,false,admission_derived,profile_admission,admission_041dbd5609cfd00922c7,352708da7fe26bf9ceb1728c1bcdbea9f217e33e9480f7013a121d5825aa09db,true
feature_17e028ba30ff75fe7c2b2efa,runplan_352708da7fe26bf9,housing_deepseek_v4_flash_parasail_tenant_v13,7049fef87851318b953afb95e9d71e5deb82cb170024feaa7d524e7bdab90207,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_7d8a6eab3c06454cd9ff,352708da7fe26bf9ceb1728c1bcdbea9f217e33e9480f7013a121d5825aa09db,true
feature_086bac323e1bb8fe5210c00d,runplan_352708da7fe26bf9,housing_deepseek_v4_flash_parasail_tenant_v13,7049fef87851318b953afb95e9d71e5deb82cb170024feaa7d524e7bdab90207,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_7d8a6eab3c06454cd9ff,352708da7fe26bf9ceb1728c1bcdbea9f217e33e9480f7013a121d5825aa09db,true
feature_1cab6b4b3a41f5ce9bc3f925,runplan_352708da7fe26bf9,housing_deepseek_v4_flash_parasail_tenant_v13,7049fef87851318b953afb95e9d71e5deb82cb170024feaa7d524e7bdab90207,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_7d8a6eab3c06454cd9ff,352708da7fe26bf9ceb1728c1bcdbea9f217e33e9480f7013a121d5825aa09db,true
