fact_id,run_id,profile_id,profile_sha256,provider,requested_model,model_revision,harness_id,feature_name,feature_value,evidence_class,source_kind,source_id,source_sha256,reportable
feature_e8b9e3a9dafb967e346fc533,runplan_617e77c437a94c22,housing_glm_53_flash_friendli_landlord_v13,cc85850f8c9443443e33babb4e88a508f6c9c2d3c66c5656789f5aa9d51ab19f,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_10300926bff36ccedf55,617e77c437a94c2218af51b3be5b46073e8d0588439fa3802a35b32411d8b322,true
feature_8585ade7bcc4f806109400d9,runplan_617e77c437a94c22,housing_glm_53_flash_friendli_landlord_v13,cc85850f8c9443443e33babb4e88a508f6c9c2d3c66c5656789f5aa9d51ab19f,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_10300926bff36ccedf55,617e77c437a94c2218af51b3be5b46073e8d0588439fa3802a35b32411d8b322,true
feature_f03b15d832dbbbd013d5ef16,runplan_617e77c437a94c22,housing_glm_53_flash_friendli_landlord_v13,cc85850f8c9443443e33babb4e88a508f6c9c2d3c66c5656789f5aa9d51ab19f,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_10300926bff36ccedf55,617e77c437a94c2218af51b3be5b46073e8d0588439fa3802a35b32411d8b322,true
feature_3b753367ae1747747aa7117c,runplan_617e77c437a94c22,housing_glm_53_flash_friendli_landlord_v13,cc85850f8c9443443e33babb4e88a508f6c9c2d3c66c5656789f5aa9d51ab19f,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,provider_calls_observed,true,admission_derived,profile_admission,admission_10300926bff36ccedf55,617e77c437a94c2218af51b3be5b46073e8d0588439fa3802a35b32411d8b322,true
feature_fe4bf61e4cf4a6359f4e702c,runplan_617e77c437a94c22,housing_glm_53_flash_friendli_landlord_v13,cc85850f8c9443443e33babb4e88a508f6c9c2d3c66c5656789f5aa9d51ab19f,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,seed_enforced,true,admission_derived,profile_admission,admission_10300926bff36ccedf55,617e77c437a94c2218af51b3be5b46073e8d0588439fa3802a35b32411d8b322,true
feature_5ee3074ceb32d92627bb5b9f,runplan_617e77c437a94c22,housing_glm_53_flash_friendli_landlord_v13,cc85850f8c9443443e33babb4e88a508f6c9c2d3c66c5656789f5aa9d51ab19f,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,state_restorable,false,admission_derived,profile_admission,admission_10300926bff36ccedf55,617e77c437a94c2218af51b3be5b46073e8d0588439fa3802a35b32411d8b322,true
feature_27f6050f5524a2fbf6dbe699,runplan_617e77c437a94c22,housing_glm_53_flash_friendli_landlord_v13,cc85850f8c9443443e33babb4e88a508f6c9c2d3c66c5656789f5aa9d51ab19f,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,tool_calls_observed,false,admission_derived,profile_admission,admission_10300926bff36ccedf55,617e77c437a94c2218af51b3be5b46073e8d0588439fa3802a35b32411d8b322,true
feature_4c4a8abc29610945e6e577a5,runplan_617e77c437a94c22,housing_glm_53_flash_friendli_tenant_v13,7faa2db365c1dc4fbdb977276cdea19b65e349447fba804323fa8ba68c53fc76,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_3b5206cb8a4256427c6c,617e77c437a94c2218af51b3be5b46073e8d0588439fa3802a35b32411d8b322,true
feature_f5a9046fc1965ae4b81d5225,runplan_617e77c437a94c22,housing_glm_53_flash_friendli_tenant_v13,7faa2db365c1dc4fbdb977276cdea19b65e349447fba804323fa8ba68c53fc76,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_3b5206cb8a4256427c6c,617e77c437a94c2218af51b3be5b46073e8d0588439fa3802a35b32411d8b322,true
feature_9ad14ad2790e1f312dc3c72f,runplan_617e77c437a94c22,housing_glm_53_flash_friendli_tenant_v13,7faa2db365c1dc4fbdb977276cdea19b65e349447fba804323fa8ba68c53fc76,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_3b5206cb8a4256427c6c,617e77c437a94c2218af51b3be5b46073e8d0588439fa3802a35b32411d8b322,true
feature_40cb6bf62a9543f002308287,runplan_617e77c437a94c22,housing_glm_53_flash_friendli_tenant_v13,7faa2db365c1dc4fbdb977276cdea19b65e349447fba804323fa8ba68c53fc76,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,provider_calls_observed,true,admission_derived,profile_admission,admission_3b5206cb8a4256427c6c,617e77c437a94c2218af51b3be5b46073e8d0588439fa3802a35b32411d8b322,true
feature_c8d0033b2e87eddf5315a2b7,runplan_617e77c437a94c22,housing_glm_53_flash_friendli_tenant_v13,7faa2db365c1dc4fbdb977276cdea19b65e349447fba804323fa8ba68c53fc76,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,seed_enforced,true,admission_derived,profile_admission,admission_3b5206cb8a4256427c6c,617e77c437a94c2218af51b3be5b46073e8d0588439fa3802a35b32411d8b322,true
feature_36d248b41b8d5c532668a96a,runplan_617e77c437a94c22,housing_glm_53_flash_friendli_tenant_v13,7faa2db365c1dc4fbdb977276cdea19b65e349447fba804323fa8ba68c53fc76,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,state_restorable,false,admission_derived,profile_admission,admission_3b5206cb8a4256427c6c,617e77c437a94c2218af51b3be5b46073e8d0588439fa3802a35b32411d8b322,true
feature_d4b08627b925616a95599229,runplan_617e77c437a94c22,housing_glm_53_flash_friendli_tenant_v13,7faa2db365c1dc4fbdb977276cdea19b65e349447fba804323fa8ba68c53fc76,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,tool_calls_observed,false,admission_derived,profile_admission,admission_3b5206cb8a4256427c6c,617e77c437a94c2218af51b3be5b46073e8d0588439fa3802a35b32411d8b322,true
