fact_id,run_id,profile_id,profile_sha256,provider,requested_model,model_revision,harness_id,feature_name,feature_value,evidence_class,source_kind,source_id,source_sha256,reportable
feature_17e028ba30ff75fe7c2b2efa,runplan_c1b63d0ae0d91e15,housing_deepseek_v4_flash_parasail_tenant_v13,7049fef87851318b953afb95e9d71e5deb82cb170024feaa7d524e7bdab90207,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_7d8a6eab3c06454cd9ff,c1b63d0ae0d91e15679533fdcf1326011bc3b36c9df00b0649e6655a3260fb16,true
feature_086bac323e1bb8fe5210c00d,runplan_c1b63d0ae0d91e15,housing_deepseek_v4_flash_parasail_tenant_v13,7049fef87851318b953afb95e9d71e5deb82cb170024feaa7d524e7bdab90207,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_7d8a6eab3c06454cd9ff,c1b63d0ae0d91e15679533fdcf1326011bc3b36c9df00b0649e6655a3260fb16,true
feature_1cab6b4b3a41f5ce9bc3f925,runplan_c1b63d0ae0d91e15,housing_deepseek_v4_flash_parasail_tenant_v13,7049fef87851318b953afb95e9d71e5deb82cb170024feaa7d524e7bdab90207,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_7d8a6eab3c06454cd9ff,c1b63d0ae0d91e15679533fdcf1326011bc3b36c9df00b0649e6655a3260fb16,true
feature_f1ffc1e3e2b4cb6287ee200b,runplan_c1b63d0ae0d91e15,housing_deepseek_v4_flash_parasail_tenant_v13,7049fef87851318b953afb95e9d71e5deb82cb170024feaa7d524e7bdab90207,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,provider_calls_observed,true,admission_derived,profile_admission,admission_7d8a6eab3c06454cd9ff,c1b63d0ae0d91e15679533fdcf1326011bc3b36c9df00b0649e6655a3260fb16,true
feature_29770bb88970274290ba853f,runplan_c1b63d0ae0d91e15,housing_deepseek_v4_flash_parasail_tenant_v13,7049fef87851318b953afb95e9d71e5deb82cb170024feaa7d524e7bdab90207,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,seed_enforced,true,admission_derived,profile_admission,admission_7d8a6eab3c06454cd9ff,c1b63d0ae0d91e15679533fdcf1326011bc3b36c9df00b0649e6655a3260fb16,true
feature_b27d2552497bd6cf85c278bd,runplan_c1b63d0ae0d91e15,housing_deepseek_v4_flash_parasail_tenant_v13,7049fef87851318b953afb95e9d71e5deb82cb170024feaa7d524e7bdab90207,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,state_restorable,false,admission_derived,profile_admission,admission_7d8a6eab3c06454cd9ff,c1b63d0ae0d91e15679533fdcf1326011bc3b36c9df00b0649e6655a3260fb16,true
feature_a78ad2657c5c3cbeca36a878,runplan_c1b63d0ae0d91e15,housing_deepseek_v4_flash_parasail_tenant_v13,7049fef87851318b953afb95e9d71e5deb82cb170024feaa7d524e7bdab90207,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,tool_calls_observed,false,admission_derived,profile_admission,admission_7d8a6eab3c06454cd9ff,c1b63d0ae0d91e15679533fdcf1326011bc3b36c9df00b0649e6655a3260fb16,true
feature_e8b9e3a9dafb967e346fc533,runplan_c1b63d0ae0d91e15,housing_glm_53_flash_friendli_landlord_v13,cc85850f8c9443443e33babb4e88a508f6c9c2d3c66c5656789f5aa9d51ab19f,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_10300926bff36ccedf55,c1b63d0ae0d91e15679533fdcf1326011bc3b36c9df00b0649e6655a3260fb16,true
feature_8585ade7bcc4f806109400d9,runplan_c1b63d0ae0d91e15,housing_glm_53_flash_friendli_landlord_v13,cc85850f8c9443443e33babb4e88a508f6c9c2d3c66c5656789f5aa9d51ab19f,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_10300926bff36ccedf55,c1b63d0ae0d91e15679533fdcf1326011bc3b36c9df00b0649e6655a3260fb16,true
feature_f03b15d832dbbbd013d5ef16,runplan_c1b63d0ae0d91e15,housing_glm_53_flash_friendli_landlord_v13,cc85850f8c9443443e33babb4e88a508f6c9c2d3c66c5656789f5aa9d51ab19f,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_10300926bff36ccedf55,c1b63d0ae0d91e15679533fdcf1326011bc3b36c9df00b0649e6655a3260fb16,true
feature_3b753367ae1747747aa7117c,runplan_c1b63d0ae0d91e15,housing_glm_53_flash_friendli_landlord_v13,cc85850f8c9443443e33babb4e88a508f6c9c2d3c66c5656789f5aa9d51ab19f,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,provider_calls_observed,true,admission_derived,profile_admission,admission_10300926bff36ccedf55,c1b63d0ae0d91e15679533fdcf1326011bc3b36c9df00b0649e6655a3260fb16,true
