fact_id,run_id,profile_id,profile_sha256,provider,requested_model,model_revision,harness_id,feature_name,feature_value,evidence_class,source_kind,source_id,source_sha256,reportable
feature_3062711d632711ea744f49ef,runplan_53d77bc5be147d9c,housing_deepseek_v4_flash_parasail_tenant_v15,32f52cb3112cf35fbb7ba0e82ed6a8783c291fa301b67126e95741b26de77fec,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_dbd39f267f4369d0eb8c,53d77bc5be147d9cdc79d709f5a87dfb963af15d02bb212887909bc640088abb,true
feature_89afbf9c95d919f333bc7f3a,runplan_53d77bc5be147d9c,housing_deepseek_v4_flash_parasail_tenant_v15,32f52cb3112cf35fbb7ba0e82ed6a8783c291fa301b67126e95741b26de77fec,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_dbd39f267f4369d0eb8c,53d77bc5be147d9cdc79d709f5a87dfb963af15d02bb212887909bc640088abb,true
feature_b26532c164b4301c852b5dac,runplan_53d77bc5be147d9c,housing_deepseek_v4_flash_parasail_tenant_v15,32f52cb3112cf35fbb7ba0e82ed6a8783c291fa301b67126e95741b26de77fec,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_dbd39f267f4369d0eb8c,53d77bc5be147d9cdc79d709f5a87dfb963af15d02bb212887909bc640088abb,true
feature_10a38297378cca7ebe888a9b,runplan_53d77bc5be147d9c,housing_deepseek_v4_flash_parasail_tenant_v15,32f52cb3112cf35fbb7ba0e82ed6a8783c291fa301b67126e95741b26de77fec,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,provider_calls_observed,true,admission_derived,profile_admission,admission_dbd39f267f4369d0eb8c,53d77bc5be147d9cdc79d709f5a87dfb963af15d02bb212887909bc640088abb,true
feature_bd55f6f8b79a28f48baed8e8,runplan_53d77bc5be147d9c,housing_deepseek_v4_flash_parasail_tenant_v15,32f52cb3112cf35fbb7ba0e82ed6a8783c291fa301b67126e95741b26de77fec,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,seed_enforced,true,admission_derived,profile_admission,admission_dbd39f267f4369d0eb8c,53d77bc5be147d9cdc79d709f5a87dfb963af15d02bb212887909bc640088abb,true
feature_d87711af1cf702a6ac1a6ab8,runplan_53d77bc5be147d9c,housing_deepseek_v4_flash_parasail_tenant_v15,32f52cb3112cf35fbb7ba0e82ed6a8783c291fa301b67126e95741b26de77fec,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,state_restorable,false,admission_derived,profile_admission,admission_dbd39f267f4369d0eb8c,53d77bc5be147d9cdc79d709f5a87dfb963af15d02bb212887909bc640088abb,true
feature_fc350f3d508fb518c21d5bc1,runplan_53d77bc5be147d9c,housing_deepseek_v4_flash_parasail_tenant_v15,32f52cb3112cf35fbb7ba0e82ed6a8783c291fa301b67126e95741b26de77fec,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,tool_calls_observed,false,admission_derived,profile_admission,admission_dbd39f267f4369d0eb8c,53d77bc5be147d9cdc79d709f5a87dfb963af15d02bb212887909bc640088abb,true
feature_a6ebd708f35af331e6fd1396,runplan_53d77bc5be147d9c,housing_glm_53_flash_friendli_landlord_v15,3b25fa59683cf76a3fad3c771cf79f5d9ef0c1cee6bf714c0f521426ce6aff11,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_850ecce646eec7c910d7,53d77bc5be147d9cdc79d709f5a87dfb963af15d02bb212887909bc640088abb,true
feature_bad36932d9b3edbb99a690af,runplan_53d77bc5be147d9c,housing_glm_53_flash_friendli_landlord_v15,3b25fa59683cf76a3fad3c771cf79f5d9ef0c1cee6bf714c0f521426ce6aff11,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_850ecce646eec7c910d7,53d77bc5be147d9cdc79d709f5a87dfb963af15d02bb212887909bc640088abb,true
feature_9b7f2b51c9d9c54c5d56e206,runplan_53d77bc5be147d9c,housing_glm_53_flash_friendli_landlord_v15,3b25fa59683cf76a3fad3c771cf79f5d9ef0c1cee6bf714c0f521426ce6aff11,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_850ecce646eec7c910d7,53d77bc5be147d9cdc79d709f5a87dfb963af15d02bb212887909bc640088abb,true
