fact_id,run_id,profile_id,profile_sha256,provider,requested_model,model_revision,harness_id,feature_name,feature_value,evidence_class,source_kind,source_id,source_sha256,reportable
feature_a6ebd708f35af331e6fd1396,runplan_cb34b9a4c486fb3c,housing_glm_53_flash_friendli_landlord_v15,3b25fa59683cf76a3fad3c771cf79f5d9ef0c1cee6bf714c0f521426ce6aff11,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_850ecce646eec7c910d7,cb34b9a4c486fb3cc19075c9f6e75d8196813b6895d019738cb5c31b1210f44f,true
feature_bad36932d9b3edbb99a690af,runplan_cb34b9a4c486fb3c,housing_glm_53_flash_friendli_landlord_v15,3b25fa59683cf76a3fad3c771cf79f5d9ef0c1cee6bf714c0f521426ce6aff11,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_850ecce646eec7c910d7,cb34b9a4c486fb3cc19075c9f6e75d8196813b6895d019738cb5c31b1210f44f,true
feature_9b7f2b51c9d9c54c5d56e206,runplan_cb34b9a4c486fb3c,housing_glm_53_flash_friendli_landlord_v15,3b25fa59683cf76a3fad3c771cf79f5d9ef0c1cee6bf714c0f521426ce6aff11,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_850ecce646eec7c910d7,cb34b9a4c486fb3cc19075c9f6e75d8196813b6895d019738cb5c31b1210f44f,true
feature_172a589e7c11de188f22703a,runplan_cb34b9a4c486fb3c,housing_glm_53_flash_friendli_landlord_v15,3b25fa59683cf76a3fad3c771cf79f5d9ef0c1cee6bf714c0f521426ce6aff11,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,provider_calls_observed,true,admission_derived,profile_admission,admission_850ecce646eec7c910d7,cb34b9a4c486fb3cc19075c9f6e75d8196813b6895d019738cb5c31b1210f44f,true
feature_8e36a2244d37cf894e5d84e4,runplan_cb34b9a4c486fb3c,housing_glm_53_flash_friendli_landlord_v15,3b25fa59683cf76a3fad3c771cf79f5d9ef0c1cee6bf714c0f521426ce6aff11,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,seed_enforced,true,admission_derived,profile_admission,admission_850ecce646eec7c910d7,cb34b9a4c486fb3cc19075c9f6e75d8196813b6895d019738cb5c31b1210f44f,true
feature_358e51731d100f0f1433bb8f,runplan_cb34b9a4c486fb3c,housing_glm_53_flash_friendli_landlord_v15,3b25fa59683cf76a3fad3c771cf79f5d9ef0c1cee6bf714c0f521426ce6aff11,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,state_restorable,false,admission_derived,profile_admission,admission_850ecce646eec7c910d7,cb34b9a4c486fb3cc19075c9f6e75d8196813b6895d019738cb5c31b1210f44f,true
feature_cb511027577258c173ca29f0,runplan_cb34b9a4c486fb3c,housing_glm_53_flash_friendli_landlord_v15,3b25fa59683cf76a3fad3c771cf79f5d9ef0c1cee6bf714c0f521426ce6aff11,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,tool_calls_observed,false,admission_derived,profile_admission,admission_850ecce646eec7c910d7,cb34b9a4c486fb3cc19075c9f6e75d8196813b6895d019738cb5c31b1210f44f,true
feature_37921a98c286de6efc10f050,runplan_cb34b9a4c486fb3c,housing_glm_53_flash_friendli_tenant_v15,354a2b842be9c648c90ac6a55809fb03d33995f52d4cad859b2a04a0ac8ab346,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_974bc9bf0a88d7abf4fe,cb34b9a4c486fb3cc19075c9f6e75d8196813b6895d019738cb5c31b1210f44f,true
feature_6d7bdf19e45b3a5d9f1623ae,runplan_cb34b9a4c486fb3c,housing_glm_53_flash_friendli_tenant_v15,354a2b842be9c648c90ac6a55809fb03d33995f52d4cad859b2a04a0ac8ab346,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_974bc9bf0a88d7abf4fe,cb34b9a4c486fb3cc19075c9f6e75d8196813b6895d019738cb5c31b1210f44f,true
feature_22a2fc0ca9316c4fbbf42081,runplan_cb34b9a4c486fb3c,housing_glm_53_flash_friendli_tenant_v15,354a2b842be9c648c90ac6a55809fb03d33995f52d4cad859b2a04a0ac8ab346,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_974bc9bf0a88d7abf4fe,cb34b9a4c486fb3cc19075c9f6e75d8196813b6895d019738cb5c31b1210f44f,true
