fact_id,run_id,profile_id,profile_sha256,provider,requested_model,model_revision,harness_id,feature_name,feature_value,evidence_class,source_kind,source_id,source_sha256,reportable
feature_d80221d64d97ce17de2a4599,runplan_db86228d066e4e93,housing_deepseek_v4_flash_parasail_landlord_v15,24ee922c1c1e54dfde9405a8f56eea32f743ceb18a538c46047ccbf2dcfcedae,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_d98fe4d98dec4ea3c6b1,db86228d066e4e9360ed84c947f9f7dd73b6d93d06fc130ba766859351c900f2,true
feature_aba9749cda3e514fd5ed5496,runplan_db86228d066e4e93,housing_deepseek_v4_flash_parasail_landlord_v15,24ee922c1c1e54dfde9405a8f56eea32f743ceb18a538c46047ccbf2dcfcedae,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_d98fe4d98dec4ea3c6b1,db86228d066e4e9360ed84c947f9f7dd73b6d93d06fc130ba766859351c900f2,true
feature_eebc706c98466e5ff33a4c66,runplan_db86228d066e4e93,housing_deepseek_v4_flash_parasail_landlord_v15,24ee922c1c1e54dfde9405a8f56eea32f743ceb18a538c46047ccbf2dcfcedae,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_d98fe4d98dec4ea3c6b1,db86228d066e4e9360ed84c947f9f7dd73b6d93d06fc130ba766859351c900f2,true
feature_d9b7c79bbe1947019a7606fc,runplan_db86228d066e4e93,housing_deepseek_v4_flash_parasail_landlord_v15,24ee922c1c1e54dfde9405a8f56eea32f743ceb18a538c46047ccbf2dcfcedae,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,provider_calls_observed,true,admission_derived,profile_admission,admission_d98fe4d98dec4ea3c6b1,db86228d066e4e9360ed84c947f9f7dd73b6d93d06fc130ba766859351c900f2,true
feature_ded7f6ce47a9e016453a29e9,runplan_db86228d066e4e93,housing_deepseek_v4_flash_parasail_landlord_v15,24ee922c1c1e54dfde9405a8f56eea32f743ceb18a538c46047ccbf2dcfcedae,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,seed_enforced,true,admission_derived,profile_admission,admission_d98fe4d98dec4ea3c6b1,db86228d066e4e9360ed84c947f9f7dd73b6d93d06fc130ba766859351c900f2,true
feature_5cbe12f35d5f0fa81f02843f,runplan_db86228d066e4e93,housing_deepseek_v4_flash_parasail_landlord_v15,24ee922c1c1e54dfde9405a8f56eea32f743ceb18a538c46047ccbf2dcfcedae,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,state_restorable,false,admission_derived,profile_admission,admission_d98fe4d98dec4ea3c6b1,db86228d066e4e9360ed84c947f9f7dd73b6d93d06fc130ba766859351c900f2,true
feature_e01578a5adf4273031e91fde,runplan_db86228d066e4e93,housing_deepseek_v4_flash_parasail_landlord_v15,24ee922c1c1e54dfde9405a8f56eea32f743ceb18a538c46047ccbf2dcfcedae,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,tool_calls_observed,false,admission_derived,profile_admission,admission_d98fe4d98dec4ea3c6b1,db86228d066e4e9360ed84c947f9f7dd73b6d93d06fc130ba766859351c900f2,true
feature_3062711d632711ea744f49ef,runplan_db86228d066e4e93,housing_deepseek_v4_flash_parasail_tenant_v15,32f52cb3112cf35fbb7ba0e82ed6a8783c291fa301b67126e95741b26de77fec,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_dbd39f267f4369d0eb8c,db86228d066e4e9360ed84c947f9f7dd73b6d93d06fc130ba766859351c900f2,true
feature_89afbf9c95d919f333bc7f3a,runplan_db86228d066e4e93,housing_deepseek_v4_flash_parasail_tenant_v15,32f52cb3112cf35fbb7ba0e82ed6a8783c291fa301b67126e95741b26de77fec,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_dbd39f267f4369d0eb8c,db86228d066e4e9360ed84c947f9f7dd73b6d93d06fc130ba766859351c900f2,true
feature_b26532c164b4301c852b5dac,runplan_db86228d066e4e93,housing_deepseek_v4_flash_parasail_tenant_v15,32f52cb3112cf35fbb7ba0e82ed6a8783c291fa301b67126e95741b26de77fec,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_dbd39f267f4369d0eb8c,db86228d066e4e9360ed84c947f9f7dd73b6d93d06fc130ba766859351c900f2,true
