fact_id,run_id,profile_id,profile_sha256,provider,requested_model,model_revision,harness_id,feature_name,feature_value,evidence_class,source_kind,source_id,source_sha256,reportable
feature_330d1112604813baa37eaaf7,runplan_6e82f3957fc34371,housing_deepseek_v4_flash_parasail_landlord_v16,a4778090b5642c1e5331dd663c5f29a879b94d4adfc1a71a138fa057e0bfc95c,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_ddd0199f39db35e6accf,6e82f3957fc343719ef7b97c26f67c98494c808964cebfca947f2834f94d365b,true
feature_64a6453635efd95650061b11,runplan_6e82f3957fc34371,housing_deepseek_v4_flash_parasail_landlord_v16,a4778090b5642c1e5331dd663c5f29a879b94d4adfc1a71a138fa057e0bfc95c,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_ddd0199f39db35e6accf,6e82f3957fc343719ef7b97c26f67c98494c808964cebfca947f2834f94d365b,true
feature_7c958c6fc719760a903c072b,runplan_6e82f3957fc34371,housing_deepseek_v4_flash_parasail_landlord_v16,a4778090b5642c1e5331dd663c5f29a879b94d4adfc1a71a138fa057e0bfc95c,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_ddd0199f39db35e6accf,6e82f3957fc343719ef7b97c26f67c98494c808964cebfca947f2834f94d365b,true
feature_9f0427a714a8c14fcf5da2db,runplan_6e82f3957fc34371,housing_deepseek_v4_flash_parasail_landlord_v16,a4778090b5642c1e5331dd663c5f29a879b94d4adfc1a71a138fa057e0bfc95c,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,provider_calls_observed,true,admission_derived,profile_admission,admission_ddd0199f39db35e6accf,6e82f3957fc343719ef7b97c26f67c98494c808964cebfca947f2834f94d365b,true
feature_b36ac9dec770a94464bc49ad,runplan_6e82f3957fc34371,housing_deepseek_v4_flash_parasail_landlord_v16,a4778090b5642c1e5331dd663c5f29a879b94d4adfc1a71a138fa057e0bfc95c,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,seed_enforced,true,admission_derived,profile_admission,admission_ddd0199f39db35e6accf,6e82f3957fc343719ef7b97c26f67c98494c808964cebfca947f2834f94d365b,true
feature_86b40724b7e62775423afd41,runplan_6e82f3957fc34371,housing_deepseek_v4_flash_parasail_landlord_v16,a4778090b5642c1e5331dd663c5f29a879b94d4adfc1a71a138fa057e0bfc95c,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,state_restorable,false,admission_derived,profile_admission,admission_ddd0199f39db35e6accf,6e82f3957fc343719ef7b97c26f67c98494c808964cebfca947f2834f94d365b,true
feature_dfe0bcf68a0e6671d5410c1c,runplan_6e82f3957fc34371,housing_deepseek_v4_flash_parasail_landlord_v16,a4778090b5642c1e5331dd663c5f29a879b94d4adfc1a71a138fa057e0bfc95c,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,tool_calls_observed,false,admission_derived,profile_admission,admission_ddd0199f39db35e6accf,6e82f3957fc343719ef7b97c26f67c98494c808964cebfca947f2834f94d365b,true
feature_b620628f879e8e16589b100c,runplan_6e82f3957fc34371,housing_deepseek_v4_flash_parasail_tenant_v16,fec7985b0421fa8dcf9f0f362f4a9edc10d56257f8ef242adb5436480e605876,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_e8929b98472da5caaeab,6e82f3957fc343719ef7b97c26f67c98494c808964cebfca947f2834f94d365b,true
feature_9bd75874a4814602e9971210,runplan_6e82f3957fc34371,housing_deepseek_v4_flash_parasail_tenant_v16,fec7985b0421fa8dcf9f0f362f4a9edc10d56257f8ef242adb5436480e605876,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_e8929b98472da5caaeab,6e82f3957fc343719ef7b97c26f67c98494c808964cebfca947f2834f94d365b,true
feature_d312112683b8efcd0ab247c3,runplan_6e82f3957fc34371,housing_deepseek_v4_flash_parasail_tenant_v16,fec7985b0421fa8dcf9f0f362f4a9edc10d56257f8ef242adb5436480e605876,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_e8929b98472da5caaeab,6e82f3957fc343719ef7b97c26f67c98494c808964cebfca947f2834f94d365b,true
feature_b5f35eef5029cab184ff17e6,runplan_6e82f3957fc34371,housing_deepseek_v4_flash_parasail_tenant_v16,fec7985b0421fa8dcf9f0f362f4a9edc10d56257f8ef242adb5436480e605876,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,provider_calls_observed,true,admission_derived,profile_admission,admission_e8929b98472da5caaeab,6e82f3957fc343719ef7b97c26f67c98494c808964cebfca947f2834f94d365b,true
feature_1b07e26d10423167073daa3d,runplan_6e82f3957fc34371,housing_deepseek_v4_flash_parasail_tenant_v16,fec7985b0421fa8dcf9f0f362f4a9edc10d56257f8ef242adb5436480e605876,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,seed_enforced,true,admission_derived,profile_admission,admission_e8929b98472da5caaeab,6e82f3957fc343719ef7b97c26f67c98494c808964cebfca947f2834f94d365b,true
feature_312038b76595409e19584378,runplan_6e82f3957fc34371,housing_deepseek_v4_flash_parasail_tenant_v16,fec7985b0421fa8dcf9f0f362f4a9edc10d56257f8ef242adb5436480e605876,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,state_restorable,false,admission_derived,profile_admission,admission_e8929b98472da5caaeab,6e82f3957fc343719ef7b97c26f67c98494c808964cebfca947f2834f94d365b,true
feature_34f45710ed3dba752676f1c8,runplan_6e82f3957fc34371,housing_deepseek_v4_flash_parasail_tenant_v16,fec7985b0421fa8dcf9f0f362f4a9edc10d56257f8ef242adb5436480e605876,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,tool_calls_observed,false,admission_derived,profile_admission,admission_e8929b98472da5caaeab,6e82f3957fc343719ef7b97c26f67c98494c808964cebfca947f2834f94d365b,true
