fact_id,run_id,profile_id,profile_sha256,provider,requested_model,model_revision,harness_id,feature_name,feature_value,evidence_class,source_kind,source_id,source_sha256,reportable
feature_88841d71373a76d8c10c80f7,runplan_7834ab07a4cf7075,housing_glm_53_flash_parasail_landlord_v16,613b12a720e8b5c2f7c6bf088b6cfb7a73d7e635d62da7d9784cafa0fd63aea3,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_c19ab3bb1eb9bc613157,7834ab07a4cf7075ee928049e12b2c5c497e476efb7ff7bd06bc8fe8092f1e91,true
feature_2f5ca660a1c458a6ae45d3c4,runplan_7834ab07a4cf7075,housing_glm_53_flash_parasail_landlord_v16,613b12a720e8b5c2f7c6bf088b6cfb7a73d7e635d62da7d9784cafa0fd63aea3,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_c19ab3bb1eb9bc613157,7834ab07a4cf7075ee928049e12b2c5c497e476efb7ff7bd06bc8fe8092f1e91,true
feature_690ddfa08b20da9c9500df1d,runplan_7834ab07a4cf7075,housing_glm_53_flash_parasail_landlord_v16,613b12a720e8b5c2f7c6bf088b6cfb7a73d7e635d62da7d9784cafa0fd63aea3,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_c19ab3bb1eb9bc613157,7834ab07a4cf7075ee928049e12b2c5c497e476efb7ff7bd06bc8fe8092f1e91,true
feature_3382ec95c9665da5a7a52798,runplan_7834ab07a4cf7075,housing_glm_53_flash_parasail_landlord_v16,613b12a720e8b5c2f7c6bf088b6cfb7a73d7e635d62da7d9784cafa0fd63aea3,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,provider_calls_observed,true,admission_derived,profile_admission,admission_c19ab3bb1eb9bc613157,7834ab07a4cf7075ee928049e12b2c5c497e476efb7ff7bd06bc8fe8092f1e91,true
feature_063901022fe68256064170dc,runplan_7834ab07a4cf7075,housing_glm_53_flash_parasail_landlord_v16,613b12a720e8b5c2f7c6bf088b6cfb7a73d7e635d62da7d9784cafa0fd63aea3,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,seed_enforced,true,admission_derived,profile_admission,admission_c19ab3bb1eb9bc613157,7834ab07a4cf7075ee928049e12b2c5c497e476efb7ff7bd06bc8fe8092f1e91,true
feature_f6371765e8fd63c15e0fa3aa,runplan_7834ab07a4cf7075,housing_glm_53_flash_parasail_landlord_v16,613b12a720e8b5c2f7c6bf088b6cfb7a73d7e635d62da7d9784cafa0fd63aea3,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,state_restorable,false,admission_derived,profile_admission,admission_c19ab3bb1eb9bc613157,7834ab07a4cf7075ee928049e12b2c5c497e476efb7ff7bd06bc8fe8092f1e91,true
feature_e865fb2200f60fe8b338f5dd,runplan_7834ab07a4cf7075,housing_glm_53_flash_parasail_landlord_v16,613b12a720e8b5c2f7c6bf088b6cfb7a73d7e635d62da7d9784cafa0fd63aea3,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,tool_calls_observed,false,admission_derived,profile_admission,admission_c19ab3bb1eb9bc613157,7834ab07a4cf7075ee928049e12b2c5c497e476efb7ff7bd06bc8fe8092f1e91,true
feature_cfcb7eead3e542392137795f,runplan_7834ab07a4cf7075,housing_glm_53_flash_parasail_tenant_v16,5a43bd8e63db3bca7322b38495a6f1f32d8982d197ba4e621ef0dac491988859,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_b3f8bf2bb92d0b39642a,7834ab07a4cf7075ee928049e12b2c5c497e476efb7ff7bd06bc8fe8092f1e91,true
feature_5f593d5fc430a5be1993319a,runplan_7834ab07a4cf7075,housing_glm_53_flash_parasail_tenant_v16,5a43bd8e63db3bca7322b38495a6f1f32d8982d197ba4e621ef0dac491988859,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_b3f8bf2bb92d0b39642a,7834ab07a4cf7075ee928049e12b2c5c497e476efb7ff7bd06bc8fe8092f1e91,true
feature_7d052549c220782d83c563af,runplan_7834ab07a4cf7075,housing_glm_53_flash_parasail_tenant_v16,5a43bd8e63db3bca7322b38495a6f1f32d8982d197ba4e621ef0dac491988859,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_b3f8bf2bb92d0b39642a,7834ab07a4cf7075ee928049e12b2c5c497e476efb7ff7bd06bc8fe8092f1e91,true
