fact_id,run_id,profile_id,profile_sha256,provider,requested_model,model_revision,harness_id,feature_name,feature_value,evidence_class,source_kind,source_id,source_sha256,reportable
feature_330d1112604813baa37eaaf7,runplan_e36f2256ec7d8130,housing_deepseek_v4_flash_parasail_landlord_v16,a4778090b5642c1e5331dd663c5f29a879b94d4adfc1a71a138fa057e0bfc95c,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_ddd0199f39db35e6accf,e36f2256ec7d813034a7218af5d02034cbbc7f407f976fb296e76836b9e42a54,true
feature_64a6453635efd95650061b11,runplan_e36f2256ec7d8130,housing_deepseek_v4_flash_parasail_landlord_v16,a4778090b5642c1e5331dd663c5f29a879b94d4adfc1a71a138fa057e0bfc95c,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_ddd0199f39db35e6accf,e36f2256ec7d813034a7218af5d02034cbbc7f407f976fb296e76836b9e42a54,true
feature_7c958c6fc719760a903c072b,runplan_e36f2256ec7d8130,housing_deepseek_v4_flash_parasail_landlord_v16,a4778090b5642c1e5331dd663c5f29a879b94d4adfc1a71a138fa057e0bfc95c,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_ddd0199f39db35e6accf,e36f2256ec7d813034a7218af5d02034cbbc7f407f976fb296e76836b9e42a54,true
feature_9f0427a714a8c14fcf5da2db,runplan_e36f2256ec7d8130,housing_deepseek_v4_flash_parasail_landlord_v16,a4778090b5642c1e5331dd663c5f29a879b94d4adfc1a71a138fa057e0bfc95c,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,provider_calls_observed,true,admission_derived,profile_admission,admission_ddd0199f39db35e6accf,e36f2256ec7d813034a7218af5d02034cbbc7f407f976fb296e76836b9e42a54,true
feature_b36ac9dec770a94464bc49ad,runplan_e36f2256ec7d8130,housing_deepseek_v4_flash_parasail_landlord_v16,a4778090b5642c1e5331dd663c5f29a879b94d4adfc1a71a138fa057e0bfc95c,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,seed_enforced,true,admission_derived,profile_admission,admission_ddd0199f39db35e6accf,e36f2256ec7d813034a7218af5d02034cbbc7f407f976fb296e76836b9e42a54,true
feature_86b40724b7e62775423afd41,runplan_e36f2256ec7d8130,housing_deepseek_v4_flash_parasail_landlord_v16,a4778090b5642c1e5331dd663c5f29a879b94d4adfc1a71a138fa057e0bfc95c,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,state_restorable,false,admission_derived,profile_admission,admission_ddd0199f39db35e6accf,e36f2256ec7d813034a7218af5d02034cbbc7f407f976fb296e76836b9e42a54,true
feature_dfe0bcf68a0e6671d5410c1c,runplan_e36f2256ec7d8130,housing_deepseek_v4_flash_parasail_landlord_v16,a4778090b5642c1e5331dd663c5f29a879b94d4adfc1a71a138fa057e0bfc95c,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,tool_calls_observed,false,admission_derived,profile_admission,admission_ddd0199f39db35e6accf,e36f2256ec7d813034a7218af5d02034cbbc7f407f976fb296e76836b9e42a54,true
feature_cfcb7eead3e542392137795f,runplan_e36f2256ec7d8130,housing_glm_53_flash_parasail_tenant_v16,5a43bd8e63db3bca7322b38495a6f1f32d8982d197ba4e621ef0dac491988859,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_b3f8bf2bb92d0b39642a,e36f2256ec7d813034a7218af5d02034cbbc7f407f976fb296e76836b9e42a54,true
feature_5f593d5fc430a5be1993319a,runplan_e36f2256ec7d8130,housing_glm_53_flash_parasail_tenant_v16,5a43bd8e63db3bca7322b38495a6f1f32d8982d197ba4e621ef0dac491988859,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_b3f8bf2bb92d0b39642a,e36f2256ec7d813034a7218af5d02034cbbc7f407f976fb296e76836b9e42a54,true
feature_7d052549c220782d83c563af,runplan_e36f2256ec7d8130,housing_glm_53_flash_parasail_tenant_v16,5a43bd8e63db3bca7322b38495a6f1f32d8982d197ba4e621ef0dac491988859,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_b3f8bf2bb92d0b39642a,e36f2256ec7d813034a7218af5d02034cbbc7f407f976fb296e76836b9e42a54,true
feature_3a6db81180f7d312a2fa179d,runplan_e36f2256ec7d8130,housing_glm_53_flash_parasail_tenant_v16,5a43bd8e63db3bca7322b38495a6f1f32d8982d197ba4e621ef0dac491988859,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,provider_calls_observed,true,admission_derived,profile_admission,admission_b3f8bf2bb92d0b39642a,e36f2256ec7d813034a7218af5d02034cbbc7f407f976fb296e76836b9e42a54,true
feature_b764c8405d3f4f6c9204b402,runplan_e36f2256ec7d8130,housing_glm_53_flash_parasail_tenant_v16,5a43bd8e63db3bca7322b38495a6f1f32d8982d197ba4e621ef0dac491988859,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,seed_enforced,true,admission_derived,profile_admission,admission_b3f8bf2bb92d0b39642a,e36f2256ec7d813034a7218af5d02034cbbc7f407f976fb296e76836b9e42a54,true
feature_7ed3ad80fe161df782fe94f2,runplan_e36f2256ec7d8130,housing_glm_53_flash_parasail_tenant_v16,5a43bd8e63db3bca7322b38495a6f1f32d8982d197ba4e621ef0dac491988859,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,state_restorable,false,admission_derived,profile_admission,admission_b3f8bf2bb92d0b39642a,e36f2256ec7d813034a7218af5d02034cbbc7f407f976fb296e76836b9e42a54,true
feature_aec0ea37b47e61375c262c7f,runplan_e36f2256ec7d8130,housing_glm_53_flash_parasail_tenant_v16,5a43bd8e63db3bca7322b38495a6f1f32d8982d197ba4e621ef0dac491988859,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,tool_calls_observed,false,admission_derived,profile_admission,admission_b3f8bf2bb92d0b39642a,e36f2256ec7d813034a7218af5d02034cbbc7f407f976fb296e76836b9e42a54,true
