fact_id,run_id,profile_id,profile_sha256,provider,requested_model,model_revision,harness_id,feature_name,feature_value,evidence_class,source_kind,source_id,source_sha256,reportable
feature_b620628f879e8e16589b100c,runplan_ed76c72b7eee72ac,housing_deepseek_v4_flash_parasail_tenant_v16,fec7985b0421fa8dcf9f0f362f4a9edc10d56257f8ef242adb5436480e605876,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_e8929b98472da5caaeab,ed76c72b7eee72acc733f1342d460f4a045e902113a847e002e894a8e35a55bd,true
feature_9bd75874a4814602e9971210,runplan_ed76c72b7eee72ac,housing_deepseek_v4_flash_parasail_tenant_v16,fec7985b0421fa8dcf9f0f362f4a9edc10d56257f8ef242adb5436480e605876,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_e8929b98472da5caaeab,ed76c72b7eee72acc733f1342d460f4a045e902113a847e002e894a8e35a55bd,true
feature_d312112683b8efcd0ab247c3,runplan_ed76c72b7eee72ac,housing_deepseek_v4_flash_parasail_tenant_v16,fec7985b0421fa8dcf9f0f362f4a9edc10d56257f8ef242adb5436480e605876,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_e8929b98472da5caaeab,ed76c72b7eee72acc733f1342d460f4a045e902113a847e002e894a8e35a55bd,true
feature_b5f35eef5029cab184ff17e6,runplan_ed76c72b7eee72ac,housing_deepseek_v4_flash_parasail_tenant_v16,fec7985b0421fa8dcf9f0f362f4a9edc10d56257f8ef242adb5436480e605876,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,provider_calls_observed,true,admission_derived,profile_admission,admission_e8929b98472da5caaeab,ed76c72b7eee72acc733f1342d460f4a045e902113a847e002e894a8e35a55bd,true
feature_1b07e26d10423167073daa3d,runplan_ed76c72b7eee72ac,housing_deepseek_v4_flash_parasail_tenant_v16,fec7985b0421fa8dcf9f0f362f4a9edc10d56257f8ef242adb5436480e605876,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,seed_enforced,true,admission_derived,profile_admission,admission_e8929b98472da5caaeab,ed76c72b7eee72acc733f1342d460f4a045e902113a847e002e894a8e35a55bd,true
feature_312038b76595409e19584378,runplan_ed76c72b7eee72ac,housing_deepseek_v4_flash_parasail_tenant_v16,fec7985b0421fa8dcf9f0f362f4a9edc10d56257f8ef242adb5436480e605876,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,state_restorable,false,admission_derived,profile_admission,admission_e8929b98472da5caaeab,ed76c72b7eee72acc733f1342d460f4a045e902113a847e002e894a8e35a55bd,true
feature_34f45710ed3dba752676f1c8,runplan_ed76c72b7eee72ac,housing_deepseek_v4_flash_parasail_tenant_v16,fec7985b0421fa8dcf9f0f362f4a9edc10d56257f8ef242adb5436480e605876,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,tool_calls_observed,false,admission_derived,profile_admission,admission_e8929b98472da5caaeab,ed76c72b7eee72acc733f1342d460f4a045e902113a847e002e894a8e35a55bd,true
feature_88841d71373a76d8c10c80f7,runplan_ed76c72b7eee72ac,housing_glm_53_flash_parasail_landlord_v16,613b12a720e8b5c2f7c6bf088b6cfb7a73d7e635d62da7d9784cafa0fd63aea3,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_c19ab3bb1eb9bc613157,ed76c72b7eee72acc733f1342d460f4a045e902113a847e002e894a8e35a55bd,true
feature_2f5ca660a1c458a6ae45d3c4,runplan_ed76c72b7eee72ac,housing_glm_53_flash_parasail_landlord_v16,613b12a720e8b5c2f7c6bf088b6cfb7a73d7e635d62da7d9784cafa0fd63aea3,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_c19ab3bb1eb9bc613157,ed76c72b7eee72acc733f1342d460f4a045e902113a847e002e894a8e35a55bd,true
feature_690ddfa08b20da9c9500df1d,runplan_ed76c72b7eee72ac,housing_glm_53_flash_parasail_landlord_v16,613b12a720e8b5c2f7c6bf088b6cfb7a73d7e635d62da7d9784cafa0fd63aea3,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_c19ab3bb1eb9bc613157,ed76c72b7eee72acc733f1342d460f4a045e902113a847e002e894a8e35a55bd,true
feature_3382ec95c9665da5a7a52798,runplan_ed76c72b7eee72ac,housing_glm_53_flash_parasail_landlord_v16,613b12a720e8b5c2f7c6bf088b6cfb7a73d7e635d62da7d9784cafa0fd63aea3,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,provider_calls_observed,true,admission_derived,profile_admission,admission_c19ab3bb1eb9bc613157,ed76c72b7eee72acc733f1342d460f4a045e902113a847e002e894a8e35a55bd,true
feature_063901022fe68256064170dc,runplan_ed76c72b7eee72ac,housing_glm_53_flash_parasail_landlord_v16,613b12a720e8b5c2f7c6bf088b6cfb7a73d7e635d62da7d9784cafa0fd63aea3,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,seed_enforced,true,admission_derived,profile_admission,admission_c19ab3bb1eb9bc613157,ed76c72b7eee72acc733f1342d460f4a045e902113a847e002e894a8e35a55bd,true
feature_f6371765e8fd63c15e0fa3aa,runplan_ed76c72b7eee72ac,housing_glm_53_flash_parasail_landlord_v16,613b12a720e8b5c2f7c6bf088b6cfb7a73d7e635d62da7d9784cafa0fd63aea3,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,state_restorable,false,admission_derived,profile_admission,admission_c19ab3bb1eb9bc613157,ed76c72b7eee72acc733f1342d460f4a045e902113a847e002e894a8e35a55bd,true
feature_e865fb2200f60fe8b338f5dd,runplan_ed76c72b7eee72ac,housing_glm_53_flash_parasail_landlord_v16,613b12a720e8b5c2f7c6bf088b6cfb7a73d7e635d62da7d9784cafa0fd63aea3,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,tool_calls_observed,false,admission_derived,profile_admission,admission_c19ab3bb1eb9bc613157,ed76c72b7eee72acc733f1342d460f4a045e902113a847e002e894a8e35a55bd,true
