fact_id,run_id,profile_id,profile_sha256,provider,requested_model,model_revision,harness_id,feature_name,feature_value,evidence_class,source_kind,source_id,source_sha256,reportable
feature_20fe31463972ce243270e7ca,runplan_392925f241c112d1,housing_deepseek_v4_flash_parasail_landlord_v17,68a6f901db822d3c043ae2d9686df5b4d5288544f6b3ee60ba7aa7446c7005b4,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_4e29321f1887cc6e2658,392925f241c112d117be3b3a0dc37b03e9e1c361ac89281854d1ec044a3c39bc,true
feature_0c3895bea37bae12ab3b11af,runplan_392925f241c112d1,housing_deepseek_v4_flash_parasail_landlord_v17,68a6f901db822d3c043ae2d9686df5b4d5288544f6b3ee60ba7aa7446c7005b4,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_4e29321f1887cc6e2658,392925f241c112d117be3b3a0dc37b03e9e1c361ac89281854d1ec044a3c39bc,true
feature_d9183bbf9a1b2f938fd5f9e9,runplan_392925f241c112d1,housing_deepseek_v4_flash_parasail_landlord_v17,68a6f901db822d3c043ae2d9686df5b4d5288544f6b3ee60ba7aa7446c7005b4,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_4e29321f1887cc6e2658,392925f241c112d117be3b3a0dc37b03e9e1c361ac89281854d1ec044a3c39bc,true
feature_1572efab7e094a9ee4e7d737,runplan_392925f241c112d1,housing_deepseek_v4_flash_parasail_landlord_v17,68a6f901db822d3c043ae2d9686df5b4d5288544f6b3ee60ba7aa7446c7005b4,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,provider_calls_observed,true,admission_derived,profile_admission,admission_4e29321f1887cc6e2658,392925f241c112d117be3b3a0dc37b03e9e1c361ac89281854d1ec044a3c39bc,true
feature_335afeb729c0c7debdda0564,runplan_392925f241c112d1,housing_deepseek_v4_flash_parasail_landlord_v17,68a6f901db822d3c043ae2d9686df5b4d5288544f6b3ee60ba7aa7446c7005b4,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,seed_enforced,true,admission_derived,profile_admission,admission_4e29321f1887cc6e2658,392925f241c112d117be3b3a0dc37b03e9e1c361ac89281854d1ec044a3c39bc,true
feature_ef78c6f230a3e6cee11b784b,runplan_392925f241c112d1,housing_deepseek_v4_flash_parasail_landlord_v17,68a6f901db822d3c043ae2d9686df5b4d5288544f6b3ee60ba7aa7446c7005b4,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,state_restorable,false,admission_derived,profile_admission,admission_4e29321f1887cc6e2658,392925f241c112d117be3b3a0dc37b03e9e1c361ac89281854d1ec044a3c39bc,true
feature_0eca637845ca4255281f4671,runplan_392925f241c112d1,housing_deepseek_v4_flash_parasail_landlord_v17,68a6f901db822d3c043ae2d9686df5b4d5288544f6b3ee60ba7aa7446c7005b4,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,tool_calls_observed,false,admission_derived,profile_admission,admission_4e29321f1887cc6e2658,392925f241c112d117be3b3a0dc37b03e9e1c361ac89281854d1ec044a3c39bc,true
feature_9addd5afbb3afeded756a43b,runplan_392925f241c112d1,housing_glm_53_flash_parasail_tenant_v17,a35de364d22a6ab77718049b5470aa79578e545e4a7514821076ec47310560b6,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_259d9b82869409a4ce2c,392925f241c112d117be3b3a0dc37b03e9e1c361ac89281854d1ec044a3c39bc,true
feature_29f2358f5e76ad423e4f995c,runplan_392925f241c112d1,housing_glm_53_flash_parasail_tenant_v17,a35de364d22a6ab77718049b5470aa79578e545e4a7514821076ec47310560b6,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_259d9b82869409a4ce2c,392925f241c112d117be3b3a0dc37b03e9e1c361ac89281854d1ec044a3c39bc,true
feature_ba55be2662e5c1b066663107,runplan_392925f241c112d1,housing_glm_53_flash_parasail_tenant_v17,a35de364d22a6ab77718049b5470aa79578e545e4a7514821076ec47310560b6,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_259d9b82869409a4ce2c,392925f241c112d117be3b3a0dc37b03e9e1c361ac89281854d1ec044a3c39bc,true
feature_49833a65efe3a3cffe1f9c3f,runplan_392925f241c112d1,housing_glm_53_flash_parasail_tenant_v17,a35de364d22a6ab77718049b5470aa79578e545e4a7514821076ec47310560b6,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,provider_calls_observed,true,admission_derived,profile_admission,admission_259d9b82869409a4ce2c,392925f241c112d117be3b3a0dc37b03e9e1c361ac89281854d1ec044a3c39bc,true
feature_c3a7a98f6144cc1d6f2b6627,runplan_392925f241c112d1,housing_glm_53_flash_parasail_tenant_v17,a35de364d22a6ab77718049b5470aa79578e545e4a7514821076ec47310560b6,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,seed_enforced,true,admission_derived,profile_admission,admission_259d9b82869409a4ce2c,392925f241c112d117be3b3a0dc37b03e9e1c361ac89281854d1ec044a3c39bc,true
