fact_id,run_id,profile_id,profile_sha256,provider,requested_model,model_revision,harness_id,feature_name,feature_value,evidence_class,source_kind,source_id,source_sha256,reportable
feature_371fd47bb365fb86bf233e44,runplan_73ab94b696e5e016,housing_deepseek_v4_flash_parasail_tenant_v17,3dbd74c0dfc742ac3d24efa90f09aa4ee12478d7097e92daf2fd098bd1d34257,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_ad19282e485709379d8b,73ab94b696e5e016748596053a6a79b5bd5427e0c0605fd308ba22b6f8901569,true
feature_194b144f1f755264d2c79dd4,runplan_73ab94b696e5e016,housing_deepseek_v4_flash_parasail_tenant_v17,3dbd74c0dfc742ac3d24efa90f09aa4ee12478d7097e92daf2fd098bd1d34257,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_ad19282e485709379d8b,73ab94b696e5e016748596053a6a79b5bd5427e0c0605fd308ba22b6f8901569,true
feature_a33bfd9df060c6f413b9b357,runplan_73ab94b696e5e016,housing_deepseek_v4_flash_parasail_tenant_v17,3dbd74c0dfc742ac3d24efa90f09aa4ee12478d7097e92daf2fd098bd1d34257,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_ad19282e485709379d8b,73ab94b696e5e016748596053a6a79b5bd5427e0c0605fd308ba22b6f8901569,true
feature_351161c25a803c90ad95fd1b,runplan_73ab94b696e5e016,housing_deepseek_v4_flash_parasail_tenant_v17,3dbd74c0dfc742ac3d24efa90f09aa4ee12478d7097e92daf2fd098bd1d34257,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,provider_calls_observed,true,admission_derived,profile_admission,admission_ad19282e485709379d8b,73ab94b696e5e016748596053a6a79b5bd5427e0c0605fd308ba22b6f8901569,true
feature_160447936b151ffff5c817ad,runplan_73ab94b696e5e016,housing_deepseek_v4_flash_parasail_tenant_v17,3dbd74c0dfc742ac3d24efa90f09aa4ee12478d7097e92daf2fd098bd1d34257,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,seed_enforced,true,admission_derived,profile_admission,admission_ad19282e485709379d8b,73ab94b696e5e016748596053a6a79b5bd5427e0c0605fd308ba22b6f8901569,true
feature_e3485441cd500d1dd4c80f46,runplan_73ab94b696e5e016,housing_deepseek_v4_flash_parasail_tenant_v17,3dbd74c0dfc742ac3d24efa90f09aa4ee12478d7097e92daf2fd098bd1d34257,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,state_restorable,false,admission_derived,profile_admission,admission_ad19282e485709379d8b,73ab94b696e5e016748596053a6a79b5bd5427e0c0605fd308ba22b6f8901569,true
feature_4a41be93f7352bf6f319f277,runplan_73ab94b696e5e016,housing_deepseek_v4_flash_parasail_tenant_v17,3dbd74c0dfc742ac3d24efa90f09aa4ee12478d7097e92daf2fd098bd1d34257,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,tool_calls_observed,false,admission_derived,profile_admission,admission_ad19282e485709379d8b,73ab94b696e5e016748596053a6a79b5bd5427e0c0605fd308ba22b6f8901569,true
feature_9891f0dcc0d06557d6450eb8,runplan_73ab94b696e5e016,housing_glm_53_flash_parasail_landlord_v17,1adc093a5d785b65dfa315c496fea8c0de74b2d3c30010998465571c2e2d7f45,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_bfbf5a304e76cd05a97e,73ab94b696e5e016748596053a6a79b5bd5427e0c0605fd308ba22b6f8901569,true
feature_59b0ec83549a97f4aee9e6bb,runplan_73ab94b696e5e016,housing_glm_53_flash_parasail_landlord_v17,1adc093a5d785b65dfa315c496fea8c0de74b2d3c30010998465571c2e2d7f45,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_bfbf5a304e76cd05a97e,73ab94b696e5e016748596053a6a79b5bd5427e0c0605fd308ba22b6f8901569,true
feature_f2d2685c2f8578f235ca8516,runplan_73ab94b696e5e016,housing_glm_53_flash_parasail_landlord_v17,1adc093a5d785b65dfa315c496fea8c0de74b2d3c30010998465571c2e2d7f45,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_bfbf5a304e76cd05a97e,73ab94b696e5e016748596053a6a79b5bd5427e0c0605fd308ba22b6f8901569,true
feature_2dfd7b5427ff6d49315bea63,runplan_73ab94b696e5e016,housing_glm_53_flash_parasail_landlord_v17,1adc093a5d785b65dfa315c496fea8c0de74b2d3c30010998465571c2e2d7f45,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,provider_calls_observed,true,admission_derived,profile_admission,admission_bfbf5a304e76cd05a97e,73ab94b696e5e016748596053a6a79b5bd5427e0c0605fd308ba22b6f8901569,true
feature_7ea1a3e18f5abd095d08b8b4,runplan_73ab94b696e5e016,housing_glm_53_flash_parasail_landlord_v17,1adc093a5d785b65dfa315c496fea8c0de74b2d3c30010998465571c2e2d7f45,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,seed_enforced,true,admission_derived,profile_admission,admission_bfbf5a304e76cd05a97e,73ab94b696e5e016748596053a6a79b5bd5427e0c0605fd308ba22b6f8901569,true
feature_4751f9e8a1a167aa29284ae2,runplan_73ab94b696e5e016,housing_glm_53_flash_parasail_landlord_v17,1adc093a5d785b65dfa315c496fea8c0de74b2d3c30010998465571c2e2d7f45,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,state_restorable,false,admission_derived,profile_admission,admission_bfbf5a304e76cd05a97e,73ab94b696e5e016748596053a6a79b5bd5427e0c0605fd308ba22b6f8901569,true
feature_2a21050e93e204ffb7b6d419,runplan_73ab94b696e5e016,housing_glm_53_flash_parasail_landlord_v17,1adc093a5d785b65dfa315c496fea8c0de74b2d3c30010998465571c2e2d7f45,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,tool_calls_observed,false,admission_derived,profile_admission,admission_bfbf5a304e76cd05a97e,73ab94b696e5e016748596053a6a79b5bd5427e0c0605fd308ba22b6f8901569,true
