fact_id,run_id,profile_id,profile_sha256,provider,requested_model,model_revision,harness_id,feature_name,feature_value,evidence_class,source_kind,source_id,source_sha256,reportable
feature_20fe31463972ce243270e7ca,runplan_a846b4f8fc24ba2d,housing_deepseek_v4_flash_parasail_landlord_v17,68a6f901db822d3c043ae2d9686df5b4d5288544f6b3ee60ba7aa7446c7005b4,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_4e29321f1887cc6e2658,a846b4f8fc24ba2dbbd3b157477c4a30b30cce4ce0c059b09c90d7aa21785291,true
feature_0c3895bea37bae12ab3b11af,runplan_a846b4f8fc24ba2d,housing_deepseek_v4_flash_parasail_landlord_v17,68a6f901db822d3c043ae2d9686df5b4d5288544f6b3ee60ba7aa7446c7005b4,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_4e29321f1887cc6e2658,a846b4f8fc24ba2dbbd3b157477c4a30b30cce4ce0c059b09c90d7aa21785291,true
feature_d9183bbf9a1b2f938fd5f9e9,runplan_a846b4f8fc24ba2d,housing_deepseek_v4_flash_parasail_landlord_v17,68a6f901db822d3c043ae2d9686df5b4d5288544f6b3ee60ba7aa7446c7005b4,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_4e29321f1887cc6e2658,a846b4f8fc24ba2dbbd3b157477c4a30b30cce4ce0c059b09c90d7aa21785291,true
feature_1572efab7e094a9ee4e7d737,runplan_a846b4f8fc24ba2d,housing_deepseek_v4_flash_parasail_landlord_v17,68a6f901db822d3c043ae2d9686df5b4d5288544f6b3ee60ba7aa7446c7005b4,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,provider_calls_observed,true,admission_derived,profile_admission,admission_4e29321f1887cc6e2658,a846b4f8fc24ba2dbbd3b157477c4a30b30cce4ce0c059b09c90d7aa21785291,true
feature_335afeb729c0c7debdda0564,runplan_a846b4f8fc24ba2d,housing_deepseek_v4_flash_parasail_landlord_v17,68a6f901db822d3c043ae2d9686df5b4d5288544f6b3ee60ba7aa7446c7005b4,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,seed_enforced,true,admission_derived,profile_admission,admission_4e29321f1887cc6e2658,a846b4f8fc24ba2dbbd3b157477c4a30b30cce4ce0c059b09c90d7aa21785291,true
feature_ef78c6f230a3e6cee11b784b,runplan_a846b4f8fc24ba2d,housing_deepseek_v4_flash_parasail_landlord_v17,68a6f901db822d3c043ae2d9686df5b4d5288544f6b3ee60ba7aa7446c7005b4,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,state_restorable,false,admission_derived,profile_admission,admission_4e29321f1887cc6e2658,a846b4f8fc24ba2dbbd3b157477c4a30b30cce4ce0c059b09c90d7aa21785291,true
feature_0eca637845ca4255281f4671,runplan_a846b4f8fc24ba2d,housing_deepseek_v4_flash_parasail_landlord_v17,68a6f901db822d3c043ae2d9686df5b4d5288544f6b3ee60ba7aa7446c7005b4,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,tool_calls_observed,false,admission_derived,profile_admission,admission_4e29321f1887cc6e2658,a846b4f8fc24ba2dbbd3b157477c4a30b30cce4ce0c059b09c90d7aa21785291,true
feature_371fd47bb365fb86bf233e44,runplan_a846b4f8fc24ba2d,housing_deepseek_v4_flash_parasail_tenant_v17,3dbd74c0dfc742ac3d24efa90f09aa4ee12478d7097e92daf2fd098bd1d34257,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_ad19282e485709379d8b,a846b4f8fc24ba2dbbd3b157477c4a30b30cce4ce0c059b09c90d7aa21785291,true
feature_194b144f1f755264d2c79dd4,runplan_a846b4f8fc24ba2d,housing_deepseek_v4_flash_parasail_tenant_v17,3dbd74c0dfc742ac3d24efa90f09aa4ee12478d7097e92daf2fd098bd1d34257,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_ad19282e485709379d8b,a846b4f8fc24ba2dbbd3b157477c4a30b30cce4ce0c059b09c90d7aa21785291,true
feature_a33bfd9df060c6f413b9b357,runplan_a846b4f8fc24ba2d,housing_deepseek_v4_flash_parasail_tenant_v17,3dbd74c0dfc742ac3d24efa90f09aa4ee12478d7097e92daf2fd098bd1d34257,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_ad19282e485709379d8b,a846b4f8fc24ba2dbbd3b157477c4a30b30cce4ce0c059b09c90d7aa21785291,true
