fact_id,run_id,profile_id,profile_sha256,provider,requested_model,model_revision,harness_id,feature_name,feature_value,evidence_class,source_kind,source_id,source_sha256,reportable
feature_56356e20817c5b44456c4867,runplan_1c5d291607912c88,housing_glm_53_flash_parasail_landlord_v18,67882d52b5b2d6a8275ffec51dc617357c5859322286289a284236eaf92a8248,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_0561ac4ece6a0cb4b014,1c5d291607912c88c8481f00deddb1a5e2d7b8fc183fd00d32fd88e8f01f7f87,true
feature_34568b3339d9216369b312b5,runplan_1c5d291607912c88,housing_glm_53_flash_parasail_landlord_v18,67882d52b5b2d6a8275ffec51dc617357c5859322286289a284236eaf92a8248,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_0561ac4ece6a0cb4b014,1c5d291607912c88c8481f00deddb1a5e2d7b8fc183fd00d32fd88e8f01f7f87,true
feature_2271ecc88ef3f5a81add5191,runplan_1c5d291607912c88,housing_glm_53_flash_parasail_landlord_v18,67882d52b5b2d6a8275ffec51dc617357c5859322286289a284236eaf92a8248,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_0561ac4ece6a0cb4b014,1c5d291607912c88c8481f00deddb1a5e2d7b8fc183fd00d32fd88e8f01f7f87,true
feature_3dd941ca7a4cba43653fa0c1,runplan_1c5d291607912c88,housing_glm_53_flash_parasail_landlord_v18,67882d52b5b2d6a8275ffec51dc617357c5859322286289a284236eaf92a8248,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,provider_calls_observed,true,admission_derived,profile_admission,admission_0561ac4ece6a0cb4b014,1c5d291607912c88c8481f00deddb1a5e2d7b8fc183fd00d32fd88e8f01f7f87,true
feature_98629c580cead44f466f6f95,runplan_1c5d291607912c88,housing_glm_53_flash_parasail_landlord_v18,67882d52b5b2d6a8275ffec51dc617357c5859322286289a284236eaf92a8248,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,seed_enforced,true,admission_derived,profile_admission,admission_0561ac4ece6a0cb4b014,1c5d291607912c88c8481f00deddb1a5e2d7b8fc183fd00d32fd88e8f01f7f87,true
feature_c975c78551c475307620dd7d,runplan_1c5d291607912c88,housing_glm_53_flash_parasail_landlord_v18,67882d52b5b2d6a8275ffec51dc617357c5859322286289a284236eaf92a8248,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,state_restorable,false,admission_derived,profile_admission,admission_0561ac4ece6a0cb4b014,1c5d291607912c88c8481f00deddb1a5e2d7b8fc183fd00d32fd88e8f01f7f87,true
feature_e59d33a853147e6c47072391,runplan_1c5d291607912c88,housing_glm_53_flash_parasail_landlord_v18,67882d52b5b2d6a8275ffec51dc617357c5859322286289a284236eaf92a8248,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,tool_calls_observed,false,admission_derived,profile_admission,admission_0561ac4ece6a0cb4b014,1c5d291607912c88c8481f00deddb1a5e2d7b8fc183fd00d32fd88e8f01f7f87,true
feature_98c8d6869c07359b4d9937d1,runplan_1c5d291607912c88,housing_glm_53_flash_parasail_tenant_v18,b5184b538297961e741dbb196be3203323f4036198ee2c3e966326bf52502b8e,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_f04de65fc043a42547ed,1c5d291607912c88c8481f00deddb1a5e2d7b8fc183fd00d32fd88e8f01f7f87,true
feature_861f994218ae419a60d502d8,runplan_1c5d291607912c88,housing_glm_53_flash_parasail_tenant_v18,b5184b538297961e741dbb196be3203323f4036198ee2c3e966326bf52502b8e,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_f04de65fc043a42547ed,1c5d291607912c88c8481f00deddb1a5e2d7b8fc183fd00d32fd88e8f01f7f87,true
feature_cfebe0f107b39b595b43d95a,runplan_1c5d291607912c88,housing_glm_53_flash_parasail_tenant_v18,b5184b538297961e741dbb196be3203323f4036198ee2c3e966326bf52502b8e,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_f04de65fc043a42547ed,1c5d291607912c88c8481f00deddb1a5e2d7b8fc183fd00d32fd88e8f01f7f87,true
