fact_id,run_id,profile_id,profile_sha256,provider,requested_model,model_revision,harness_id,feature_name,feature_value,evidence_class,source_kind,source_id,source_sha256,reportable
feature_416416a2439fc1cab8324980,runplan_521105ab9a23c9fa,housing_deepseek_v4_flash_parasail_tenant_v18,55ed9bc4a56f4bd09685757a667dc271a3b619ac69c0cb04db2011e95fdfef0e,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_aa404ef97facaf90fea6,521105ab9a23c9fa172807cef3cbeff411d65294c2b7b63bc0f47c8c6997a74e,true
feature_9f1cc96ecb50fac1ce4956fc,runplan_521105ab9a23c9fa,housing_deepseek_v4_flash_parasail_tenant_v18,55ed9bc4a56f4bd09685757a667dc271a3b619ac69c0cb04db2011e95fdfef0e,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_aa404ef97facaf90fea6,521105ab9a23c9fa172807cef3cbeff411d65294c2b7b63bc0f47c8c6997a74e,true
feature_b280ac63d658df2350e456af,runplan_521105ab9a23c9fa,housing_deepseek_v4_flash_parasail_tenant_v18,55ed9bc4a56f4bd09685757a667dc271a3b619ac69c0cb04db2011e95fdfef0e,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_aa404ef97facaf90fea6,521105ab9a23c9fa172807cef3cbeff411d65294c2b7b63bc0f47c8c6997a74e,true
feature_79a9e366bc1f5f7355a591dd,runplan_521105ab9a23c9fa,housing_deepseek_v4_flash_parasail_tenant_v18,55ed9bc4a56f4bd09685757a667dc271a3b619ac69c0cb04db2011e95fdfef0e,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,provider_calls_observed,true,admission_derived,profile_admission,admission_aa404ef97facaf90fea6,521105ab9a23c9fa172807cef3cbeff411d65294c2b7b63bc0f47c8c6997a74e,true
feature_1bd46cf55f5619219aefc0e4,runplan_521105ab9a23c9fa,housing_deepseek_v4_flash_parasail_tenant_v18,55ed9bc4a56f4bd09685757a667dc271a3b619ac69c0cb04db2011e95fdfef0e,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,seed_enforced,true,admission_derived,profile_admission,admission_aa404ef97facaf90fea6,521105ab9a23c9fa172807cef3cbeff411d65294c2b7b63bc0f47c8c6997a74e,true
feature_9e5ca8e2de7f7e61181eae55,runplan_521105ab9a23c9fa,housing_deepseek_v4_flash_parasail_tenant_v18,55ed9bc4a56f4bd09685757a667dc271a3b619ac69c0cb04db2011e95fdfef0e,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,state_restorable,false,admission_derived,profile_admission,admission_aa404ef97facaf90fea6,521105ab9a23c9fa172807cef3cbeff411d65294c2b7b63bc0f47c8c6997a74e,true
feature_0111e01d07c3598dddb38753,runplan_521105ab9a23c9fa,housing_deepseek_v4_flash_parasail_tenant_v18,55ed9bc4a56f4bd09685757a667dc271a3b619ac69c0cb04db2011e95fdfef0e,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,tool_calls_observed,false,admission_derived,profile_admission,admission_aa404ef97facaf90fea6,521105ab9a23c9fa172807cef3cbeff411d65294c2b7b63bc0f47c8c6997a74e,true
feature_56356e20817c5b44456c4867,runplan_521105ab9a23c9fa,housing_glm_53_flash_parasail_landlord_v18,67882d52b5b2d6a8275ffec51dc617357c5859322286289a284236eaf92a8248,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_0561ac4ece6a0cb4b014,521105ab9a23c9fa172807cef3cbeff411d65294c2b7b63bc0f47c8c6997a74e,true
feature_34568b3339d9216369b312b5,runplan_521105ab9a23c9fa,housing_glm_53_flash_parasail_landlord_v18,67882d52b5b2d6a8275ffec51dc617357c5859322286289a284236eaf92a8248,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_0561ac4ece6a0cb4b014,521105ab9a23c9fa172807cef3cbeff411d65294c2b7b63bc0f47c8c6997a74e,true
feature_2271ecc88ef3f5a81add5191,runplan_521105ab9a23c9fa,housing_glm_53_flash_parasail_landlord_v18,67882d52b5b2d6a8275ffec51dc617357c5859322286289a284236eaf92a8248,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_0561ac4ece6a0cb4b014,521105ab9a23c9fa172807cef3cbeff411d65294c2b7b63bc0f47c8c6997a74e,true
feature_3dd941ca7a4cba43653fa0c1,runplan_521105ab9a23c9fa,housing_glm_53_flash_parasail_landlord_v18,67882d52b5b2d6a8275ffec51dc617357c5859322286289a284236eaf92a8248,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,provider_calls_observed,true,admission_derived,profile_admission,admission_0561ac4ece6a0cb4b014,521105ab9a23c9fa172807cef3cbeff411d65294c2b7b63bc0f47c8c6997a74e,true
feature_98629c580cead44f466f6f95,runplan_521105ab9a23c9fa,housing_glm_53_flash_parasail_landlord_v18,67882d52b5b2d6a8275ffec51dc617357c5859322286289a284236eaf92a8248,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,seed_enforced,true,admission_derived,profile_admission,admission_0561ac4ece6a0cb4b014,521105ab9a23c9fa172807cef3cbeff411d65294c2b7b63bc0f47c8c6997a74e,true
feature_c975c78551c475307620dd7d,runplan_521105ab9a23c9fa,housing_glm_53_flash_parasail_landlord_v18,67882d52b5b2d6a8275ffec51dc617357c5859322286289a284236eaf92a8248,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,state_restorable,false,admission_derived,profile_admission,admission_0561ac4ece6a0cb4b014,521105ab9a23c9fa172807cef3cbeff411d65294c2b7b63bc0f47c8c6997a74e,true
feature_e59d33a853147e6c47072391,runplan_521105ab9a23c9fa,housing_glm_53_flash_parasail_landlord_v18,67882d52b5b2d6a8275ffec51dc617357c5859322286289a284236eaf92a8248,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,tool_calls_observed,false,admission_derived,profile_admission,admission_0561ac4ece6a0cb4b014,521105ab9a23c9fa172807cef3cbeff411d65294c2b7b63bc0f47c8c6997a74e,true
