fact_id,run_id,profile_id,profile_sha256,provider,requested_model,model_revision,harness_id,feature_name,feature_value,evidence_class,source_kind,source_id,source_sha256,reportable
feature_dd95af385295bfb231686cdf,runplan_02c96bc43bbf19ab,housing_deepseek_v4_flash_parasail_tenant_v19,5a03022751bbbeb684481f124738c01758dd34a270bc5d47fd2c647bbabf4bd6,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_eab65c1ee73fbde916a9,02c96bc43bbf19ab752e657c71f4bf09b353893630abf7d107f154f6b443c85d,true
feature_2cfe4ee4a112a57ad696636a,runplan_02c96bc43bbf19ab,housing_deepseek_v4_flash_parasail_tenant_v19,5a03022751bbbeb684481f124738c01758dd34a270bc5d47fd2c647bbabf4bd6,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_eab65c1ee73fbde916a9,02c96bc43bbf19ab752e657c71f4bf09b353893630abf7d107f154f6b443c85d,true
feature_ef84724c858e30a4e5326ac0,runplan_02c96bc43bbf19ab,housing_deepseek_v4_flash_parasail_tenant_v19,5a03022751bbbeb684481f124738c01758dd34a270bc5d47fd2c647bbabf4bd6,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_eab65c1ee73fbde916a9,02c96bc43bbf19ab752e657c71f4bf09b353893630abf7d107f154f6b443c85d,true
feature_dac72887aa20c8e10d67356a,runplan_02c96bc43bbf19ab,housing_deepseek_v4_flash_parasail_tenant_v19,5a03022751bbbeb684481f124738c01758dd34a270bc5d47fd2c647bbabf4bd6,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,provider_calls_observed,true,admission_derived,profile_admission,admission_eab65c1ee73fbde916a9,02c96bc43bbf19ab752e657c71f4bf09b353893630abf7d107f154f6b443c85d,true
feature_53fcd9afef95fcb4ab432038,runplan_02c96bc43bbf19ab,housing_deepseek_v4_flash_parasail_tenant_v19,5a03022751bbbeb684481f124738c01758dd34a270bc5d47fd2c647bbabf4bd6,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,seed_enforced,true,admission_derived,profile_admission,admission_eab65c1ee73fbde916a9,02c96bc43bbf19ab752e657c71f4bf09b353893630abf7d107f154f6b443c85d,true
feature_55c0b43bc9a62b178ce57209,runplan_02c96bc43bbf19ab,housing_deepseek_v4_flash_parasail_tenant_v19,5a03022751bbbeb684481f124738c01758dd34a270bc5d47fd2c647bbabf4bd6,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,state_restorable,false,admission_derived,profile_admission,admission_eab65c1ee73fbde916a9,02c96bc43bbf19ab752e657c71f4bf09b353893630abf7d107f154f6b443c85d,true
feature_043ef30143d98df402b5c820,runplan_02c96bc43bbf19ab,housing_deepseek_v4_flash_parasail_tenant_v19,5a03022751bbbeb684481f124738c01758dd34a270bc5d47fd2c647bbabf4bd6,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,tool_calls_observed,false,admission_derived,profile_admission,admission_eab65c1ee73fbde916a9,02c96bc43bbf19ab752e657c71f4bf09b353893630abf7d107f154f6b443c85d,true
feature_e2da1ea300dcf479ff62c3e8,runplan_02c96bc43bbf19ab,housing_glm_53_flash_parasail_landlord_v19,59152e87dfd155d87db7d17c85548fa8f757c2739894a38609b8a69ff7adda20,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_6d51814623fa7d184d08,02c96bc43bbf19ab752e657c71f4bf09b353893630abf7d107f154f6b443c85d,true
feature_00ea1bb6441ff097d0a761f4,runplan_02c96bc43bbf19ab,housing_glm_53_flash_parasail_landlord_v19,59152e87dfd155d87db7d17c85548fa8f757c2739894a38609b8a69ff7adda20,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_6d51814623fa7d184d08,02c96bc43bbf19ab752e657c71f4bf09b353893630abf7d107f154f6b443c85d,true
feature_c29a343b84016e874ddf2c84,runplan_02c96bc43bbf19ab,housing_glm_53_flash_parasail_landlord_v19,59152e87dfd155d87db7d17c85548fa8f757c2739894a38609b8a69ff7adda20,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_6d51814623fa7d184d08,02c96bc43bbf19ab752e657c71f4bf09b353893630abf7d107f154f6b443c85d,true
