fact_id,run_id,profile_id,profile_sha256,provider,requested_model,model_revision,harness_id,feature_name,feature_value,evidence_class,source_kind,source_id,source_sha256,reportable
feature_272a0ac82d406de0fa416abd,runplan_b2c6d1e48c1a6a8e,housing_deepseek_v4_flash_parasail_landlord_v19,2b2e1c4f5a38425745b254f3282b4a19db57e6f9b8a6ae4af94f1ca44d3766c9,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_daa70a180289a58d8532,b2c6d1e48c1a6a8eeb2e6d3847324521131c349e38c85a08e38d74fd198d21e0,true
feature_d0d24719372e5c731986eeee,runplan_b2c6d1e48c1a6a8e,housing_deepseek_v4_flash_parasail_landlord_v19,2b2e1c4f5a38425745b254f3282b4a19db57e6f9b8a6ae4af94f1ca44d3766c9,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_daa70a180289a58d8532,b2c6d1e48c1a6a8eeb2e6d3847324521131c349e38c85a08e38d74fd198d21e0,true
feature_1fa7f6d4acee3eb499f32033,runplan_b2c6d1e48c1a6a8e,housing_deepseek_v4_flash_parasail_landlord_v19,2b2e1c4f5a38425745b254f3282b4a19db57e6f9b8a6ae4af94f1ca44d3766c9,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_daa70a180289a58d8532,b2c6d1e48c1a6a8eeb2e6d3847324521131c349e38c85a08e38d74fd198d21e0,true
feature_516a9e2a84f9a63389ada46c,runplan_b2c6d1e48c1a6a8e,housing_deepseek_v4_flash_parasail_landlord_v19,2b2e1c4f5a38425745b254f3282b4a19db57e6f9b8a6ae4af94f1ca44d3766c9,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,provider_calls_observed,true,admission_derived,profile_admission,admission_daa70a180289a58d8532,b2c6d1e48c1a6a8eeb2e6d3847324521131c349e38c85a08e38d74fd198d21e0,true
feature_fe2b4a50b74d4a9182404566,runplan_b2c6d1e48c1a6a8e,housing_deepseek_v4_flash_parasail_landlord_v19,2b2e1c4f5a38425745b254f3282b4a19db57e6f9b8a6ae4af94f1ca44d3766c9,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,seed_enforced,true,admission_derived,profile_admission,admission_daa70a180289a58d8532,b2c6d1e48c1a6a8eeb2e6d3847324521131c349e38c85a08e38d74fd198d21e0,true
feature_be7d00acf7525bbc6c0e95ee,runplan_b2c6d1e48c1a6a8e,housing_deepseek_v4_flash_parasail_landlord_v19,2b2e1c4f5a38425745b254f3282b4a19db57e6f9b8a6ae4af94f1ca44d3766c9,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,state_restorable,false,admission_derived,profile_admission,admission_daa70a180289a58d8532,b2c6d1e48c1a6a8eeb2e6d3847324521131c349e38c85a08e38d74fd198d21e0,true
feature_da4352c9d2b71a4df57f5be9,runplan_b2c6d1e48c1a6a8e,housing_deepseek_v4_flash_parasail_landlord_v19,2b2e1c4f5a38425745b254f3282b4a19db57e6f9b8a6ae4af94f1ca44d3766c9,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,tool_calls_observed,false,admission_derived,profile_admission,admission_daa70a180289a58d8532,b2c6d1e48c1a6a8eeb2e6d3847324521131c349e38c85a08e38d74fd198d21e0,true
feature_dd95af385295bfb231686cdf,runplan_b2c6d1e48c1a6a8e,housing_deepseek_v4_flash_parasail_tenant_v19,5a03022751bbbeb684481f124738c01758dd34a270bc5d47fd2c647bbabf4bd6,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_eab65c1ee73fbde916a9,b2c6d1e48c1a6a8eeb2e6d3847324521131c349e38c85a08e38d74fd198d21e0,true
feature_2cfe4ee4a112a57ad696636a,runplan_b2c6d1e48c1a6a8e,housing_deepseek_v4_flash_parasail_tenant_v19,5a03022751bbbeb684481f124738c01758dd34a270bc5d47fd2c647bbabf4bd6,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_eab65c1ee73fbde916a9,b2c6d1e48c1a6a8eeb2e6d3847324521131c349e38c85a08e38d74fd198d21e0,true
feature_ef84724c858e30a4e5326ac0,runplan_b2c6d1e48c1a6a8e,housing_deepseek_v4_flash_parasail_tenant_v19,5a03022751bbbeb684481f124738c01758dd34a270bc5d47fd2c647bbabf4bd6,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_eab65c1ee73fbde916a9,b2c6d1e48c1a6a8eeb2e6d3847324521131c349e38c85a08e38d74fd198d21e0,true
