fact_id,run_id,profile_id,profile_sha256,provider,requested_model,model_revision,harness_id,feature_name,feature_value,evidence_class,source_kind,source_id,source_sha256,reportable
feature_c784366c4cad3ee2c185b230,runplan_af3772d948513658,housing_glm_53_flash_parasail_landlord_v20,bb58f481fb3a8212366711ba187636cfb2dd10b15d0019da357f50ff29e42b31,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_c257f49637629d3e5f27,af3772d9485136586896f9d9a1a4c0ba8b9c6f9daca9175dd5c759ae7a6a5a83,true
feature_9a6607042976e354f83076f8,runplan_af3772d948513658,housing_glm_53_flash_parasail_landlord_v20,bb58f481fb3a8212366711ba187636cfb2dd10b15d0019da357f50ff29e42b31,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_c257f49637629d3e5f27,af3772d9485136586896f9d9a1a4c0ba8b9c6f9daca9175dd5c759ae7a6a5a83,true
feature_0bf071b6bc615f2aacdb3e63,runplan_af3772d948513658,housing_glm_53_flash_parasail_landlord_v20,bb58f481fb3a8212366711ba187636cfb2dd10b15d0019da357f50ff29e42b31,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_c257f49637629d3e5f27,af3772d9485136586896f9d9a1a4c0ba8b9c6f9daca9175dd5c759ae7a6a5a83,true
feature_5da1d23663c68fbd13136d8e,runplan_af3772d948513658,housing_glm_53_flash_parasail_landlord_v20,bb58f481fb3a8212366711ba187636cfb2dd10b15d0019da357f50ff29e42b31,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,provider_calls_observed,true,admission_derived,profile_admission,admission_c257f49637629d3e5f27,af3772d9485136586896f9d9a1a4c0ba8b9c6f9daca9175dd5c759ae7a6a5a83,true
feature_c26c829275b399fc4dc9e689,runplan_af3772d948513658,housing_glm_53_flash_parasail_landlord_v20,bb58f481fb3a8212366711ba187636cfb2dd10b15d0019da357f50ff29e42b31,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,seed_enforced,true,admission_derived,profile_admission,admission_c257f49637629d3e5f27,af3772d9485136586896f9d9a1a4c0ba8b9c6f9daca9175dd5c759ae7a6a5a83,true
feature_6e16953fd12f901f8117bb55,runplan_af3772d948513658,housing_glm_53_flash_parasail_landlord_v20,bb58f481fb3a8212366711ba187636cfb2dd10b15d0019da357f50ff29e42b31,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,state_restorable,false,admission_derived,profile_admission,admission_c257f49637629d3e5f27,af3772d9485136586896f9d9a1a4c0ba8b9c6f9daca9175dd5c759ae7a6a5a83,true
feature_908f43272700bda7bfc36dcf,runplan_af3772d948513658,housing_glm_53_flash_parasail_landlord_v20,bb58f481fb3a8212366711ba187636cfb2dd10b15d0019da357f50ff29e42b31,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,tool_calls_observed,false,admission_derived,profile_admission,admission_c257f49637629d3e5f27,af3772d9485136586896f9d9a1a4c0ba8b9c6f9daca9175dd5c759ae7a6a5a83,true
feature_ab12e3a15235b7e158479450,runplan_af3772d948513658,housing_glm_53_flash_parasail_tenant_v20,0ea4e12cb5494bcff9ebd1b3a3ce10d22fca940037b7e1daf5f31bb24cc07b54,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_ff982c507f8cd38bcb69,af3772d9485136586896f9d9a1a4c0ba8b9c6f9daca9175dd5c759ae7a6a5a83,true
feature_502998e73ef8e3c230c75f2d,runplan_af3772d948513658,housing_glm_53_flash_parasail_tenant_v20,0ea4e12cb5494bcff9ebd1b3a3ce10d22fca940037b7e1daf5f31bb24cc07b54,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_ff982c507f8cd38bcb69,af3772d9485136586896f9d9a1a4c0ba8b9c6f9daca9175dd5c759ae7a6a5a83,true
feature_d8a00dcca21f868d51f653b6,runplan_af3772d948513658,housing_glm_53_flash_parasail_tenant_v20,0ea4e12cb5494bcff9ebd1b3a3ce10d22fca940037b7e1daf5f31bb24cc07b54,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_ff982c507f8cd38bcb69,af3772d9485136586896f9d9a1a4c0ba8b9c6f9daca9175dd5c759ae7a6a5a83,true
