fact_id,run_id,profile_id,profile_sha256,provider,requested_model,model_revision,harness_id,feature_name,feature_value,evidence_class,source_kind,source_id,source_sha256,reportable
feature_706db36aad1148ddbad69e4e,runplan_e0f4504026a9c42f,housing_deepseek_v4_flash_parasail_tenant_v20,2de869341064739743f14096268ee88bfedb4b9847cdb16b5936e24b029fe63c,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_dec62e7132d3a41c5cc4,e0f4504026a9c42fe2f7215d594448769ab165b5fb6c08716f3f6c9572f6a8c5,true
feature_2e777b5224a256db6c16df55,runplan_e0f4504026a9c42f,housing_deepseek_v4_flash_parasail_tenant_v20,2de869341064739743f14096268ee88bfedb4b9847cdb16b5936e24b029fe63c,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_dec62e7132d3a41c5cc4,e0f4504026a9c42fe2f7215d594448769ab165b5fb6c08716f3f6c9572f6a8c5,true
feature_d02f7871f83b909bff4a5f68,runplan_e0f4504026a9c42f,housing_deepseek_v4_flash_parasail_tenant_v20,2de869341064739743f14096268ee88bfedb4b9847cdb16b5936e24b029fe63c,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_dec62e7132d3a41c5cc4,e0f4504026a9c42fe2f7215d594448769ab165b5fb6c08716f3f6c9572f6a8c5,true
feature_39fe08a7bb881db9da44df19,runplan_e0f4504026a9c42f,housing_deepseek_v4_flash_parasail_tenant_v20,2de869341064739743f14096268ee88bfedb4b9847cdb16b5936e24b029fe63c,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,provider_calls_observed,true,admission_derived,profile_admission,admission_dec62e7132d3a41c5cc4,e0f4504026a9c42fe2f7215d594448769ab165b5fb6c08716f3f6c9572f6a8c5,true
feature_90f228867bbc4ca807860200,runplan_e0f4504026a9c42f,housing_deepseek_v4_flash_parasail_tenant_v20,2de869341064739743f14096268ee88bfedb4b9847cdb16b5936e24b029fe63c,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,seed_enforced,true,admission_derived,profile_admission,admission_dec62e7132d3a41c5cc4,e0f4504026a9c42fe2f7215d594448769ab165b5fb6c08716f3f6c9572f6a8c5,true
feature_3a76ea30fdcd1b664fa652c1,runplan_e0f4504026a9c42f,housing_deepseek_v4_flash_parasail_tenant_v20,2de869341064739743f14096268ee88bfedb4b9847cdb16b5936e24b029fe63c,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,state_restorable,false,admission_derived,profile_admission,admission_dec62e7132d3a41c5cc4,e0f4504026a9c42fe2f7215d594448769ab165b5fb6c08716f3f6c9572f6a8c5,true
feature_4283dabf3d267eb1c8cff033,runplan_e0f4504026a9c42f,housing_deepseek_v4_flash_parasail_tenant_v20,2de869341064739743f14096268ee88bfedb4b9847cdb16b5936e24b029fe63c,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,tool_calls_observed,false,admission_derived,profile_admission,admission_dec62e7132d3a41c5cc4,e0f4504026a9c42fe2f7215d594448769ab165b5fb6c08716f3f6c9572f6a8c5,true
feature_c784366c4cad3ee2c185b230,runplan_e0f4504026a9c42f,housing_glm_53_flash_parasail_landlord_v20,bb58f481fb3a8212366711ba187636cfb2dd10b15d0019da357f50ff29e42b31,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_c257f49637629d3e5f27,e0f4504026a9c42fe2f7215d594448769ab165b5fb6c08716f3f6c9572f6a8c5,true
feature_9a6607042976e354f83076f8,runplan_e0f4504026a9c42f,housing_glm_53_flash_parasail_landlord_v20,bb58f481fb3a8212366711ba187636cfb2dd10b15d0019da357f50ff29e42b31,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_c257f49637629d3e5f27,e0f4504026a9c42fe2f7215d594448769ab165b5fb6c08716f3f6c9572f6a8c5,true
feature_0bf071b6bc615f2aacdb3e63,runplan_e0f4504026a9c42f,housing_glm_53_flash_parasail_landlord_v20,bb58f481fb3a8212366711ba187636cfb2dd10b15d0019da357f50ff29e42b31,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_c257f49637629d3e5f27,e0f4504026a9c42fe2f7215d594448769ab165b5fb6c08716f3f6c9572f6a8c5,true
feature_5da1d23663c68fbd13136d8e,runplan_e0f4504026a9c42f,housing_glm_53_flash_parasail_landlord_v20,bb58f481fb3a8212366711ba187636cfb2dd10b15d0019da357f50ff29e42b31,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,provider_calls_observed,true,admission_derived,profile_admission,admission_c257f49637629d3e5f27,e0f4504026a9c42fe2f7215d594448769ab165b5fb6c08716f3f6c9572f6a8c5,true
feature_c26c829275b399fc4dc9e689,runplan_e0f4504026a9c42f,housing_glm_53_flash_parasail_landlord_v20,bb58f481fb3a8212366711ba187636cfb2dd10b15d0019da357f50ff29e42b31,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,seed_enforced,true,admission_derived,profile_admission,admission_c257f49637629d3e5f27,e0f4504026a9c42fe2f7215d594448769ab165b5fb6c08716f3f6c9572f6a8c5,true
feature_6e16953fd12f901f8117bb55,runplan_e0f4504026a9c42f,housing_glm_53_flash_parasail_landlord_v20,bb58f481fb3a8212366711ba187636cfb2dd10b15d0019da357f50ff29e42b31,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,state_restorable,false,admission_derived,profile_admission,admission_c257f49637629d3e5f27,e0f4504026a9c42fe2f7215d594448769ab165b5fb6c08716f3f6c9572f6a8c5,true
feature_908f43272700bda7bfc36dcf,runplan_e0f4504026a9c42f,housing_glm_53_flash_parasail_landlord_v20,bb58f481fb3a8212366711ba187636cfb2dd10b15d0019da357f50ff29e42b31,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,tool_calls_observed,false,admission_derived,profile_admission,admission_c257f49637629d3e5f27,e0f4504026a9c42fe2f7215d594448769ab165b5fb6c08716f3f6c9572f6a8c5,true
