fact_id,run_id,profile_id,profile_sha256,provider,requested_model,model_revision,harness_id,feature_name,feature_value,evidence_class,source_kind,source_id,source_sha256,reportable
feature_5a2803d258cedccff8260ec5,runplan_e4cf27418ee1f95b,housing_deepseek_v4_flash_parasail_landlord_v20,44afb5ed175c7bfb58e50cd7192fae8da159681980e3721ad313ba6028d671ef,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_c918f0aa89f8fd31c33f,e4cf27418ee1f95b588841cbdd25a98b6c9a501cb46751736deb356cf32970cb,true
feature_70e7b177bd3299a46cd95024,runplan_e4cf27418ee1f95b,housing_deepseek_v4_flash_parasail_landlord_v20,44afb5ed175c7bfb58e50cd7192fae8da159681980e3721ad313ba6028d671ef,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_c918f0aa89f8fd31c33f,e4cf27418ee1f95b588841cbdd25a98b6c9a501cb46751736deb356cf32970cb,true
feature_aa6eb97530b1574585cc928e,runplan_e4cf27418ee1f95b,housing_deepseek_v4_flash_parasail_landlord_v20,44afb5ed175c7bfb58e50cd7192fae8da159681980e3721ad313ba6028d671ef,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_c918f0aa89f8fd31c33f,e4cf27418ee1f95b588841cbdd25a98b6c9a501cb46751736deb356cf32970cb,true
feature_9d2455aa688247daec3e0229,runplan_e4cf27418ee1f95b,housing_deepseek_v4_flash_parasail_landlord_v20,44afb5ed175c7bfb58e50cd7192fae8da159681980e3721ad313ba6028d671ef,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,provider_calls_observed,true,admission_derived,profile_admission,admission_c918f0aa89f8fd31c33f,e4cf27418ee1f95b588841cbdd25a98b6c9a501cb46751736deb356cf32970cb,true
feature_1008e1c063683b6b7fec166a,runplan_e4cf27418ee1f95b,housing_deepseek_v4_flash_parasail_landlord_v20,44afb5ed175c7bfb58e50cd7192fae8da159681980e3721ad313ba6028d671ef,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,seed_enforced,true,admission_derived,profile_admission,admission_c918f0aa89f8fd31c33f,e4cf27418ee1f95b588841cbdd25a98b6c9a501cb46751736deb356cf32970cb,true
feature_ebda02652c61cd58831388ea,runplan_e4cf27418ee1f95b,housing_deepseek_v4_flash_parasail_landlord_v20,44afb5ed175c7bfb58e50cd7192fae8da159681980e3721ad313ba6028d671ef,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,state_restorable,false,admission_derived,profile_admission,admission_c918f0aa89f8fd31c33f,e4cf27418ee1f95b588841cbdd25a98b6c9a501cb46751736deb356cf32970cb,true
feature_a32dda5d94d1d16fe8afda93,runplan_e4cf27418ee1f95b,housing_deepseek_v4_flash_parasail_landlord_v20,44afb5ed175c7bfb58e50cd7192fae8da159681980e3721ad313ba6028d671ef,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,tool_calls_observed,false,admission_derived,profile_admission,admission_c918f0aa89f8fd31c33f,e4cf27418ee1f95b588841cbdd25a98b6c9a501cb46751736deb356cf32970cb,true
feature_706db36aad1148ddbad69e4e,runplan_e4cf27418ee1f95b,housing_deepseek_v4_flash_parasail_tenant_v20,2de869341064739743f14096268ee88bfedb4b9847cdb16b5936e24b029fe63c,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_dec62e7132d3a41c5cc4,e4cf27418ee1f95b588841cbdd25a98b6c9a501cb46751736deb356cf32970cb,true
feature_2e777b5224a256db6c16df55,runplan_e4cf27418ee1f95b,housing_deepseek_v4_flash_parasail_tenant_v20,2de869341064739743f14096268ee88bfedb4b9847cdb16b5936e24b029fe63c,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_dec62e7132d3a41c5cc4,e4cf27418ee1f95b588841cbdd25a98b6c9a501cb46751736deb356cf32970cb,true
feature_d02f7871f83b909bff4a5f68,runplan_e4cf27418ee1f95b,housing_deepseek_v4_flash_parasail_tenant_v20,2de869341064739743f14096268ee88bfedb4b9847cdb16b5936e24b029fe63c,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_dec62e7132d3a41c5cc4,e4cf27418ee1f95b588841cbdd25a98b6c9a501cb46751736deb356cf32970cb,true
feature_39fe08a7bb881db9da44df19,runplan_e4cf27418ee1f95b,housing_deepseek_v4_flash_parasail_tenant_v20,2de869341064739743f14096268ee88bfedb4b9847cdb16b5936e24b029fe63c,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,provider_calls_observed,true,admission_derived,profile_admission,admission_dec62e7132d3a41c5cc4,e4cf27418ee1f95b588841cbdd25a98b6c9a501cb46751736deb356cf32970cb,true
