fact_id,run_id,profile_id,profile_sha256,provider,requested_model,model_revision,harness_id,feature_name,feature_value,evidence_class,source_kind,source_id,source_sha256,reportable
feature_5a2803d258cedccff8260ec5,runplan_fc7a03c5bd471aa4,housing_deepseek_v4_flash_parasail_landlord_v20,44afb5ed175c7bfb58e50cd7192fae8da159681980e3721ad313ba6028d671ef,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_c918f0aa89f8fd31c33f,fc7a03c5bd471aa4884cea1ab6a3c9f8efb2a421748ca3c88480555f97fa16ad,true
feature_70e7b177bd3299a46cd95024,runplan_fc7a03c5bd471aa4,housing_deepseek_v4_flash_parasail_landlord_v20,44afb5ed175c7bfb58e50cd7192fae8da159681980e3721ad313ba6028d671ef,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_c918f0aa89f8fd31c33f,fc7a03c5bd471aa4884cea1ab6a3c9f8efb2a421748ca3c88480555f97fa16ad,true
feature_aa6eb97530b1574585cc928e,runplan_fc7a03c5bd471aa4,housing_deepseek_v4_flash_parasail_landlord_v20,44afb5ed175c7bfb58e50cd7192fae8da159681980e3721ad313ba6028d671ef,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_c918f0aa89f8fd31c33f,fc7a03c5bd471aa4884cea1ab6a3c9f8efb2a421748ca3c88480555f97fa16ad,true
feature_9d2455aa688247daec3e0229,runplan_fc7a03c5bd471aa4,housing_deepseek_v4_flash_parasail_landlord_v20,44afb5ed175c7bfb58e50cd7192fae8da159681980e3721ad313ba6028d671ef,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,provider_calls_observed,true,admission_derived,profile_admission,admission_c918f0aa89f8fd31c33f,fc7a03c5bd471aa4884cea1ab6a3c9f8efb2a421748ca3c88480555f97fa16ad,true
feature_1008e1c063683b6b7fec166a,runplan_fc7a03c5bd471aa4,housing_deepseek_v4_flash_parasail_landlord_v20,44afb5ed175c7bfb58e50cd7192fae8da159681980e3721ad313ba6028d671ef,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,seed_enforced,true,admission_derived,profile_admission,admission_c918f0aa89f8fd31c33f,fc7a03c5bd471aa4884cea1ab6a3c9f8efb2a421748ca3c88480555f97fa16ad,true
feature_ebda02652c61cd58831388ea,runplan_fc7a03c5bd471aa4,housing_deepseek_v4_flash_parasail_landlord_v20,44afb5ed175c7bfb58e50cd7192fae8da159681980e3721ad313ba6028d671ef,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,state_restorable,false,admission_derived,profile_admission,admission_c918f0aa89f8fd31c33f,fc7a03c5bd471aa4884cea1ab6a3c9f8efb2a421748ca3c88480555f97fa16ad,true
feature_a32dda5d94d1d16fe8afda93,runplan_fc7a03c5bd471aa4,housing_deepseek_v4_flash_parasail_landlord_v20,44afb5ed175c7bfb58e50cd7192fae8da159681980e3721ad313ba6028d671ef,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,tool_calls_observed,false,admission_derived,profile_admission,admission_c918f0aa89f8fd31c33f,fc7a03c5bd471aa4884cea1ab6a3c9f8efb2a421748ca3c88480555f97fa16ad,true
feature_ab12e3a15235b7e158479450,runplan_fc7a03c5bd471aa4,housing_glm_53_flash_parasail_tenant_v20,0ea4e12cb5494bcff9ebd1b3a3ce10d22fca940037b7e1daf5f31bb24cc07b54,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_ff982c507f8cd38bcb69,fc7a03c5bd471aa4884cea1ab6a3c9f8efb2a421748ca3c88480555f97fa16ad,true
feature_502998e73ef8e3c230c75f2d,runplan_fc7a03c5bd471aa4,housing_glm_53_flash_parasail_tenant_v20,0ea4e12cb5494bcff9ebd1b3a3ce10d22fca940037b7e1daf5f31bb24cc07b54,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_ff982c507f8cd38bcb69,fc7a03c5bd471aa4884cea1ab6a3c9f8efb2a421748ca3c88480555f97fa16ad,true
feature_d8a00dcca21f868d51f653b6,runplan_fc7a03c5bd471aa4,housing_glm_53_flash_parasail_tenant_v20,0ea4e12cb5494bcff9ebd1b3a3ce10d22fca940037b7e1daf5f31bb24cc07b54,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_ff982c507f8cd38bcb69,fc7a03c5bd471aa4884cea1ab6a3c9f8efb2a421748ca3c88480555f97fa16ad,true
feature_da518c0b239a8246910c723a,runplan_fc7a03c5bd471aa4,housing_glm_53_flash_parasail_tenant_v20,0ea4e12cb5494bcff9ebd1b3a3ce10d22fca940037b7e1daf5f31bb24cc07b54,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,provider_calls_observed,true,admission_derived,profile_admission,admission_ff982c507f8cd38bcb69,fc7a03c5bd471aa4884cea1ab6a3c9f8efb2a421748ca3c88480555f97fa16ad,true
feature_ac9a4d9648d3258423827257,runplan_fc7a03c5bd471aa4,housing_glm_53_flash_parasail_tenant_v20,0ea4e12cb5494bcff9ebd1b3a3ce10d22fca940037b7e1daf5f31bb24cc07b54,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,seed_enforced,true,admission_derived,profile_admission,admission_ff982c507f8cd38bcb69,fc7a03c5bd471aa4884cea1ab6a3c9f8efb2a421748ca3c88480555f97fa16ad,true
feature_e5340b980c2961651e97392f,runplan_fc7a03c5bd471aa4,housing_glm_53_flash_parasail_tenant_v20,0ea4e12cb5494bcff9ebd1b3a3ce10d22fca940037b7e1daf5f31bb24cc07b54,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,state_restorable,false,admission_derived,profile_admission,admission_ff982c507f8cd38bcb69,fc7a03c5bd471aa4884cea1ab6a3c9f8efb2a421748ca3c88480555f97fa16ad,true
feature_fb5bf7c18a064bf948c0303b,runplan_fc7a03c5bd471aa4,housing_glm_53_flash_parasail_tenant_v20,0ea4e12cb5494bcff9ebd1b3a3ce10d22fca940037b7e1daf5f31bb24cc07b54,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,tool_calls_observed,false,admission_derived,profile_admission,admission_ff982c507f8cd38bcb69,fc7a03c5bd471aa4884cea1ab6a3c9f8efb2a421748ca3c88480555f97fa16ad,true
