fact_id,run_id,profile_id,profile_sha256,provider,requested_model,model_revision,harness_id,feature_name,feature_value,evidence_class,source_kind,source_id,source_sha256,reportable
feature_003b2915a3ffb99585d3faa9,runplan_19719306dfb40f99,housing_deepseek_v4_flash_parasail_landlord_v22,27acf1e6ef65e65654d334a9e486c1b703191b3ff5237171e0d003e0e43b27ef,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_faeaa41cb29b3f64497f,19719306dfb40f9928b663cb48e4703eab71f201232064d3072c9eddde52d762,true
feature_803f9c242aa4a2013a90c159,runplan_19719306dfb40f99,housing_deepseek_v4_flash_parasail_landlord_v22,27acf1e6ef65e65654d334a9e486c1b703191b3ff5237171e0d003e0e43b27ef,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_faeaa41cb29b3f64497f,19719306dfb40f9928b663cb48e4703eab71f201232064d3072c9eddde52d762,true
feature_9c98c9af4310c9f1b12d24fb,runplan_19719306dfb40f99,housing_deepseek_v4_flash_parasail_landlord_v22,27acf1e6ef65e65654d334a9e486c1b703191b3ff5237171e0d003e0e43b27ef,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_faeaa41cb29b3f64497f,19719306dfb40f9928b663cb48e4703eab71f201232064d3072c9eddde52d762,true
feature_9ec1476170cc6dc6c0b5192f,runplan_19719306dfb40f99,housing_deepseek_v4_flash_parasail_landlord_v22,27acf1e6ef65e65654d334a9e486c1b703191b3ff5237171e0d003e0e43b27ef,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,provider_calls_observed,true,admission_derived,profile_admission,admission_faeaa41cb29b3f64497f,19719306dfb40f9928b663cb48e4703eab71f201232064d3072c9eddde52d762,true
feature_80817b46abd265425587831c,runplan_19719306dfb40f99,housing_deepseek_v4_flash_parasail_landlord_v22,27acf1e6ef65e65654d334a9e486c1b703191b3ff5237171e0d003e0e43b27ef,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,seed_enforced,true,admission_derived,profile_admission,admission_faeaa41cb29b3f64497f,19719306dfb40f9928b663cb48e4703eab71f201232064d3072c9eddde52d762,true
feature_7c38e8bb47bd8793cdf9c3b6,runplan_19719306dfb40f99,housing_deepseek_v4_flash_parasail_landlord_v22,27acf1e6ef65e65654d334a9e486c1b703191b3ff5237171e0d003e0e43b27ef,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,state_restorable,false,admission_derived,profile_admission,admission_faeaa41cb29b3f64497f,19719306dfb40f9928b663cb48e4703eab71f201232064d3072c9eddde52d762,true
feature_6064b3fe603f65bfb6a0a8d6,runplan_19719306dfb40f99,housing_deepseek_v4_flash_parasail_landlord_v22,27acf1e6ef65e65654d334a9e486c1b703191b3ff5237171e0d003e0e43b27ef,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,tool_calls_observed,false,admission_derived,profile_admission,admission_faeaa41cb29b3f64497f,19719306dfb40f9928b663cb48e4703eab71f201232064d3072c9eddde52d762,true
feature_d5419e10d4bd83ccf93ebad4,runplan_19719306dfb40f99,housing_deepseek_v4_flash_parasail_tenant_v22,2d5de08984257f64c108d76e4d139cec7872728fd1f7b45cfa02ed80bb43a228,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_feeb32be6d6d92c3b840,19719306dfb40f9928b663cb48e4703eab71f201232064d3072c9eddde52d762,true
feature_766a191bd02cc1c321a38eb2,runplan_19719306dfb40f99,housing_deepseek_v4_flash_parasail_tenant_v22,2d5de08984257f64c108d76e4d139cec7872728fd1f7b45cfa02ed80bb43a228,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_feeb32be6d6d92c3b840,19719306dfb40f9928b663cb48e4703eab71f201232064d3072c9eddde52d762,true
feature_581dee818d254126c3d594ac,runplan_19719306dfb40f99,housing_deepseek_v4_flash_parasail_tenant_v22,2d5de08984257f64c108d76e4d139cec7872728fd1f7b45cfa02ed80bb43a228,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_feeb32be6d6d92c3b840,19719306dfb40f9928b663cb48e4703eab71f201232064d3072c9eddde52d762,true
feature_03716af4c92c9b00bc0e0847,runplan_19719306dfb40f99,housing_deepseek_v4_flash_parasail_tenant_v22,2d5de08984257f64c108d76e4d139cec7872728fd1f7b45cfa02ed80bb43a228,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,provider_calls_observed,true,admission_derived,profile_admission,admission_feeb32be6d6d92c3b840,19719306dfb40f9928b663cb48e4703eab71f201232064d3072c9eddde52d762,true
feature_0608d3b9ada1fed73f247b78,runplan_19719306dfb40f99,housing_deepseek_v4_flash_parasail_tenant_v22,2d5de08984257f64c108d76e4d139cec7872728fd1f7b45cfa02ed80bb43a228,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,seed_enforced,true,admission_derived,profile_admission,admission_feeb32be6d6d92c3b840,19719306dfb40f9928b663cb48e4703eab71f201232064d3072c9eddde52d762,true
feature_183c9310fbe5a395c51bbb7e,runplan_19719306dfb40f99,housing_deepseek_v4_flash_parasail_tenant_v22,2d5de08984257f64c108d76e4d139cec7872728fd1f7b45cfa02ed80bb43a228,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,state_restorable,false,admission_derived,profile_admission,admission_feeb32be6d6d92c3b840,19719306dfb40f9928b663cb48e4703eab71f201232064d3072c9eddde52d762,true
