fact_id,run_id,profile_id,profile_sha256,provider,requested_model,model_revision,harness_id,feature_name,feature_value,evidence_class,source_kind,source_id,source_sha256,reportable
feature_003b2915a3ffb99585d3faa9,runplan_58fc96c10cbd6978,housing_deepseek_v4_flash_parasail_landlord_v22,27acf1e6ef65e65654d334a9e486c1b703191b3ff5237171e0d003e0e43b27ef,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_faeaa41cb29b3f64497f,58fc96c10cbd6978bda8e322af0fa63684d2e557bf893cc0aa34dee3cdc2e626,true
feature_803f9c242aa4a2013a90c159,runplan_58fc96c10cbd6978,housing_deepseek_v4_flash_parasail_landlord_v22,27acf1e6ef65e65654d334a9e486c1b703191b3ff5237171e0d003e0e43b27ef,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_faeaa41cb29b3f64497f,58fc96c10cbd6978bda8e322af0fa63684d2e557bf893cc0aa34dee3cdc2e626,true
feature_9c98c9af4310c9f1b12d24fb,runplan_58fc96c10cbd6978,housing_deepseek_v4_flash_parasail_landlord_v22,27acf1e6ef65e65654d334a9e486c1b703191b3ff5237171e0d003e0e43b27ef,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_faeaa41cb29b3f64497f,58fc96c10cbd6978bda8e322af0fa63684d2e557bf893cc0aa34dee3cdc2e626,true
feature_9ec1476170cc6dc6c0b5192f,runplan_58fc96c10cbd6978,housing_deepseek_v4_flash_parasail_landlord_v22,27acf1e6ef65e65654d334a9e486c1b703191b3ff5237171e0d003e0e43b27ef,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,provider_calls_observed,true,admission_derived,profile_admission,admission_faeaa41cb29b3f64497f,58fc96c10cbd6978bda8e322af0fa63684d2e557bf893cc0aa34dee3cdc2e626,true
feature_80817b46abd265425587831c,runplan_58fc96c10cbd6978,housing_deepseek_v4_flash_parasail_landlord_v22,27acf1e6ef65e65654d334a9e486c1b703191b3ff5237171e0d003e0e43b27ef,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,seed_enforced,true,admission_derived,profile_admission,admission_faeaa41cb29b3f64497f,58fc96c10cbd6978bda8e322af0fa63684d2e557bf893cc0aa34dee3cdc2e626,true
feature_7c38e8bb47bd8793cdf9c3b6,runplan_58fc96c10cbd6978,housing_deepseek_v4_flash_parasail_landlord_v22,27acf1e6ef65e65654d334a9e486c1b703191b3ff5237171e0d003e0e43b27ef,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,state_restorable,false,admission_derived,profile_admission,admission_faeaa41cb29b3f64497f,58fc96c10cbd6978bda8e322af0fa63684d2e557bf893cc0aa34dee3cdc2e626,true
feature_6064b3fe603f65bfb6a0a8d6,runplan_58fc96c10cbd6978,housing_deepseek_v4_flash_parasail_landlord_v22,27acf1e6ef65e65654d334a9e486c1b703191b3ff5237171e0d003e0e43b27ef,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,tool_calls_observed,false,admission_derived,profile_admission,admission_faeaa41cb29b3f64497f,58fc96c10cbd6978bda8e322af0fa63684d2e557bf893cc0aa34dee3cdc2e626,true
feature_a8f2d4d3555ff0a54ae7608e,runplan_58fc96c10cbd6978,housing_glm_53_flash_parasail_tenant_v22,cfbbe4c2e5fd0ec6ee2c504ed2a47fde665b37c856f83971b5df0bcefd50b4bb,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_3a49b066b96781df7b36,58fc96c10cbd6978bda8e322af0fa63684d2e557bf893cc0aa34dee3cdc2e626,true
feature_fc139b4f2e429d8f7e596903,runplan_58fc96c10cbd6978,housing_glm_53_flash_parasail_tenant_v22,cfbbe4c2e5fd0ec6ee2c504ed2a47fde665b37c856f83971b5df0bcefd50b4bb,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_3a49b066b96781df7b36,58fc96c10cbd6978bda8e322af0fa63684d2e557bf893cc0aa34dee3cdc2e626,true
feature_dea96423c2dc6110871f89e6,runplan_58fc96c10cbd6978,housing_glm_53_flash_parasail_tenant_v22,cfbbe4c2e5fd0ec6ee2c504ed2a47fde665b37c856f83971b5df0bcefd50b4bb,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_3a49b066b96781df7b36,58fc96c10cbd6978bda8e322af0fa63684d2e557bf893cc0aa34dee3cdc2e626,true
feature_010bd76291d6b065a711302a,runplan_58fc96c10cbd6978,housing_glm_53_flash_parasail_tenant_v22,cfbbe4c2e5fd0ec6ee2c504ed2a47fde665b37c856f83971b5df0bcefd50b4bb,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,provider_calls_observed,true,admission_derived,profile_admission,admission_3a49b066b96781df7b36,58fc96c10cbd6978bda8e322af0fa63684d2e557bf893cc0aa34dee3cdc2e626,true
feature_a2e103200bfed23251e3a592,runplan_58fc96c10cbd6978,housing_glm_53_flash_parasail_tenant_v22,cfbbe4c2e5fd0ec6ee2c504ed2a47fde665b37c856f83971b5df0bcefd50b4bb,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,seed_enforced,true,admission_derived,profile_admission,admission_3a49b066b96781df7b36,58fc96c10cbd6978bda8e322af0fa63684d2e557bf893cc0aa34dee3cdc2e626,true
feature_78cb43f242acffe00b39f278,runplan_58fc96c10cbd6978,housing_glm_53_flash_parasail_tenant_v22,cfbbe4c2e5fd0ec6ee2c504ed2a47fde665b37c856f83971b5df0bcefd50b4bb,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,state_restorable,false,admission_derived,profile_admission,admission_3a49b066b96781df7b36,58fc96c10cbd6978bda8e322af0fa63684d2e557bf893cc0aa34dee3cdc2e626,true
feature_f7641f67a76f8f364ee01a70,runplan_58fc96c10cbd6978,housing_glm_53_flash_parasail_tenant_v22,cfbbe4c2e5fd0ec6ee2c504ed2a47fde665b37c856f83971b5df0bcefd50b4bb,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,tool_calls_observed,false,admission_derived,profile_admission,admission_3a49b066b96781df7b36,58fc96c10cbd6978bda8e322af0fa63684d2e557bf893cc0aa34dee3cdc2e626,true
