fact_id,run_id,profile_id,profile_sha256,provider,requested_model,model_revision,harness_id,feature_name,feature_value,evidence_class,source_kind,source_id,source_sha256,reportable
feature_f524e7fd7b5a8d0822a37b67,runplan_84ae9ef2753be4f2,housing_glm_53_flash_parasail_landlord_v22,544ec2a8034b5f2c856d6f5818b4f60c1c45ed82dcaae49600174087cdcb109a,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_5877674e9f6a96b9ace5,84ae9ef2753be4f279359c3019b283f42080f4ce88fd0d745a9234a54537fd14,true
feature_2961b70dbf0351e91ded94fa,runplan_84ae9ef2753be4f2,housing_glm_53_flash_parasail_landlord_v22,544ec2a8034b5f2c856d6f5818b4f60c1c45ed82dcaae49600174087cdcb109a,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_5877674e9f6a96b9ace5,84ae9ef2753be4f279359c3019b283f42080f4ce88fd0d745a9234a54537fd14,true
feature_324564a4b335f9e384127044,runplan_84ae9ef2753be4f2,housing_glm_53_flash_parasail_landlord_v22,544ec2a8034b5f2c856d6f5818b4f60c1c45ed82dcaae49600174087cdcb109a,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_5877674e9f6a96b9ace5,84ae9ef2753be4f279359c3019b283f42080f4ce88fd0d745a9234a54537fd14,true
feature_817275cb7ef076a9d6153881,runplan_84ae9ef2753be4f2,housing_glm_53_flash_parasail_landlord_v22,544ec2a8034b5f2c856d6f5818b4f60c1c45ed82dcaae49600174087cdcb109a,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,provider_calls_observed,true,admission_derived,profile_admission,admission_5877674e9f6a96b9ace5,84ae9ef2753be4f279359c3019b283f42080f4ce88fd0d745a9234a54537fd14,true
feature_4b0955c28edff7ea0eacc78c,runplan_84ae9ef2753be4f2,housing_glm_53_flash_parasail_landlord_v22,544ec2a8034b5f2c856d6f5818b4f60c1c45ed82dcaae49600174087cdcb109a,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,seed_enforced,true,admission_derived,profile_admission,admission_5877674e9f6a96b9ace5,84ae9ef2753be4f279359c3019b283f42080f4ce88fd0d745a9234a54537fd14,true
feature_606b39b1c0f620b4068cf356,runplan_84ae9ef2753be4f2,housing_glm_53_flash_parasail_landlord_v22,544ec2a8034b5f2c856d6f5818b4f60c1c45ed82dcaae49600174087cdcb109a,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,state_restorable,false,admission_derived,profile_admission,admission_5877674e9f6a96b9ace5,84ae9ef2753be4f279359c3019b283f42080f4ce88fd0d745a9234a54537fd14,true
feature_cc7098a102bc2380bc43c26d,runplan_84ae9ef2753be4f2,housing_glm_53_flash_parasail_landlord_v22,544ec2a8034b5f2c856d6f5818b4f60c1c45ed82dcaae49600174087cdcb109a,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,tool_calls_observed,false,admission_derived,profile_admission,admission_5877674e9f6a96b9ace5,84ae9ef2753be4f279359c3019b283f42080f4ce88fd0d745a9234a54537fd14,true
feature_a8f2d4d3555ff0a54ae7608e,runplan_84ae9ef2753be4f2,housing_glm_53_flash_parasail_tenant_v22,cfbbe4c2e5fd0ec6ee2c504ed2a47fde665b37c856f83971b5df0bcefd50b4bb,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_3a49b066b96781df7b36,84ae9ef2753be4f279359c3019b283f42080f4ce88fd0d745a9234a54537fd14,true
feature_fc139b4f2e429d8f7e596903,runplan_84ae9ef2753be4f2,housing_glm_53_flash_parasail_tenant_v22,cfbbe4c2e5fd0ec6ee2c504ed2a47fde665b37c856f83971b5df0bcefd50b4bb,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_3a49b066b96781df7b36,84ae9ef2753be4f279359c3019b283f42080f4ce88fd0d745a9234a54537fd14,true
feature_dea96423c2dc6110871f89e6,runplan_84ae9ef2753be4f2,housing_glm_53_flash_parasail_tenant_v22,cfbbe4c2e5fd0ec6ee2c504ed2a47fde665b37c856f83971b5df0bcefd50b4bb,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_3a49b066b96781df7b36,84ae9ef2753be4f279359c3019b283f42080f4ce88fd0d745a9234a54537fd14,true
feature_010bd76291d6b065a711302a,runplan_84ae9ef2753be4f2,housing_glm_53_flash_parasail_tenant_v22,cfbbe4c2e5fd0ec6ee2c504ed2a47fde665b37c856f83971b5df0bcefd50b4bb,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,provider_calls_observed,true,admission_derived,profile_admission,admission_3a49b066b96781df7b36,84ae9ef2753be4f279359c3019b283f42080f4ce88fd0d745a9234a54537fd14,true
feature_a2e103200bfed23251e3a592,runplan_84ae9ef2753be4f2,housing_glm_53_flash_parasail_tenant_v22,cfbbe4c2e5fd0ec6ee2c504ed2a47fde665b37c856f83971b5df0bcefd50b4bb,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,seed_enforced,true,admission_derived,profile_admission,admission_3a49b066b96781df7b36,84ae9ef2753be4f279359c3019b283f42080f4ce88fd0d745a9234a54537fd14,true
feature_78cb43f242acffe00b39f278,runplan_84ae9ef2753be4f2,housing_glm_53_flash_parasail_tenant_v22,cfbbe4c2e5fd0ec6ee2c504ed2a47fde665b37c856f83971b5df0bcefd50b4bb,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,state_restorable,false,admission_derived,profile_admission,admission_3a49b066b96781df7b36,84ae9ef2753be4f279359c3019b283f42080f4ce88fd0d745a9234a54537fd14,true
feature_f7641f67a76f8f364ee01a70,runplan_84ae9ef2753be4f2,housing_glm_53_flash_parasail_tenant_v22,cfbbe4c2e5fd0ec6ee2c504ed2a47fde665b37c856f83971b5df0bcefd50b4bb,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,tool_calls_observed,false,admission_derived,profile_admission,admission_3a49b066b96781df7b36,84ae9ef2753be4f279359c3019b283f42080f4ce88fd0d745a9234a54537fd14,true
