fact_id,run_id,profile_id,profile_sha256,provider,requested_model,model_revision,harness_id,feature_name,feature_value,evidence_class,source_kind,source_id,source_sha256,reportable
feature_81740582ad7997aac8643ffb,runplan_3437cc2140094e14,housing_deepseek_v4_flash_parasail_tenant_v23,d2446a43a2254fc4632d51a0bb2a283939d7830bd5015ff3649d017ceae835ba,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_f3b2dd18e8c26cabcdb1,3437cc2140094e144f5d754a55741eec3549d70a06de362487d07942cca4f307,true
feature_78c791c2f9552e0433984d63,runplan_3437cc2140094e14,housing_deepseek_v4_flash_parasail_tenant_v23,d2446a43a2254fc4632d51a0bb2a283939d7830bd5015ff3649d017ceae835ba,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_f3b2dd18e8c26cabcdb1,3437cc2140094e144f5d754a55741eec3549d70a06de362487d07942cca4f307,true
feature_f2a31d13ca45daf526cd5a37,runplan_3437cc2140094e14,housing_deepseek_v4_flash_parasail_tenant_v23,d2446a43a2254fc4632d51a0bb2a283939d7830bd5015ff3649d017ceae835ba,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_f3b2dd18e8c26cabcdb1,3437cc2140094e144f5d754a55741eec3549d70a06de362487d07942cca4f307,true
feature_2d631c2130c20c52513cf8a0,runplan_3437cc2140094e14,housing_deepseek_v4_flash_parasail_tenant_v23,d2446a43a2254fc4632d51a0bb2a283939d7830bd5015ff3649d017ceae835ba,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,provider_calls_observed,true,admission_derived,profile_admission,admission_f3b2dd18e8c26cabcdb1,3437cc2140094e144f5d754a55741eec3549d70a06de362487d07942cca4f307,true
feature_0a8124644bcd78d06dbedead,runplan_3437cc2140094e14,housing_deepseek_v4_flash_parasail_tenant_v23,d2446a43a2254fc4632d51a0bb2a283939d7830bd5015ff3649d017ceae835ba,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,seed_enforced,true,admission_derived,profile_admission,admission_f3b2dd18e8c26cabcdb1,3437cc2140094e144f5d754a55741eec3549d70a06de362487d07942cca4f307,true
feature_bc5260f4f572ef1376305c35,runplan_3437cc2140094e14,housing_deepseek_v4_flash_parasail_tenant_v23,d2446a43a2254fc4632d51a0bb2a283939d7830bd5015ff3649d017ceae835ba,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,state_restorable,false,admission_derived,profile_admission,admission_f3b2dd18e8c26cabcdb1,3437cc2140094e144f5d754a55741eec3549d70a06de362487d07942cca4f307,true
feature_83e773bf80cc7c74ec595c56,runplan_3437cc2140094e14,housing_deepseek_v4_flash_parasail_tenant_v23,d2446a43a2254fc4632d51a0bb2a283939d7830bd5015ff3649d017ceae835ba,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,tool_calls_observed,false,admission_derived,profile_admission,admission_f3b2dd18e8c26cabcdb1,3437cc2140094e144f5d754a55741eec3549d70a06de362487d07942cca4f307,true
feature_f2bf9426344bdb6e9605a39a,runplan_3437cc2140094e14,housing_glm_53_flash_parasail_landlord_v23,3b4935c31c5ea6d57fdd052dcad95514126161b8e7192d91e4cf687a2fed22ba,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_9173f5d955b1e280fc58,3437cc2140094e144f5d754a55741eec3549d70a06de362487d07942cca4f307,true
feature_569f80f9e8a549f4508c6e38,runplan_3437cc2140094e14,housing_glm_53_flash_parasail_landlord_v23,3b4935c31c5ea6d57fdd052dcad95514126161b8e7192d91e4cf687a2fed22ba,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_9173f5d955b1e280fc58,3437cc2140094e144f5d754a55741eec3549d70a06de362487d07942cca4f307,true
feature_0960efa72216fbdc4d8e0ec3,runplan_3437cc2140094e14,housing_glm_53_flash_parasail_landlord_v23,3b4935c31c5ea6d57fdd052dcad95514126161b8e7192d91e4cf687a2fed22ba,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_9173f5d955b1e280fc58,3437cc2140094e144f5d754a55741eec3549d70a06de362487d07942cca4f307,true
feature_233d142053ef41879334c10d,runplan_3437cc2140094e14,housing_glm_53_flash_parasail_landlord_v23,3b4935c31c5ea6d57fdd052dcad95514126161b8e7192d91e4cf687a2fed22ba,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,provider_calls_observed,true,admission_derived,profile_admission,admission_9173f5d955b1e280fc58,3437cc2140094e144f5d754a55741eec3549d70a06de362487d07942cca4f307,true
