fact_id,run_id,profile_id,profile_sha256,provider,requested_model,model_revision,harness_id,feature_name,feature_value,evidence_class,source_kind,source_id,source_sha256,reportable
feature_f2bf9426344bdb6e9605a39a,runplan_6b2c9c9db7ce4f73,housing_glm_53_flash_parasail_landlord_v23,3b4935c31c5ea6d57fdd052dcad95514126161b8e7192d91e4cf687a2fed22ba,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_9173f5d955b1e280fc58,6b2c9c9db7ce4f735edf9350e483c8e450d4349970966ddd40e320068cd620c1,true
feature_569f80f9e8a549f4508c6e38,runplan_6b2c9c9db7ce4f73,housing_glm_53_flash_parasail_landlord_v23,3b4935c31c5ea6d57fdd052dcad95514126161b8e7192d91e4cf687a2fed22ba,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_9173f5d955b1e280fc58,6b2c9c9db7ce4f735edf9350e483c8e450d4349970966ddd40e320068cd620c1,true
feature_0960efa72216fbdc4d8e0ec3,runplan_6b2c9c9db7ce4f73,housing_glm_53_flash_parasail_landlord_v23,3b4935c31c5ea6d57fdd052dcad95514126161b8e7192d91e4cf687a2fed22ba,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_9173f5d955b1e280fc58,6b2c9c9db7ce4f735edf9350e483c8e450d4349970966ddd40e320068cd620c1,true
feature_233d142053ef41879334c10d,runplan_6b2c9c9db7ce4f73,housing_glm_53_flash_parasail_landlord_v23,3b4935c31c5ea6d57fdd052dcad95514126161b8e7192d91e4cf687a2fed22ba,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,provider_calls_observed,true,admission_derived,profile_admission,admission_9173f5d955b1e280fc58,6b2c9c9db7ce4f735edf9350e483c8e450d4349970966ddd40e320068cd620c1,true
feature_7342b4b2a9c63eba3c9d7a8f,runplan_6b2c9c9db7ce4f73,housing_glm_53_flash_parasail_landlord_v23,3b4935c31c5ea6d57fdd052dcad95514126161b8e7192d91e4cf687a2fed22ba,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,seed_enforced,true,admission_derived,profile_admission,admission_9173f5d955b1e280fc58,6b2c9c9db7ce4f735edf9350e483c8e450d4349970966ddd40e320068cd620c1,true
feature_49fec91c3cd01d52f476f4ac,runplan_6b2c9c9db7ce4f73,housing_glm_53_flash_parasail_landlord_v23,3b4935c31c5ea6d57fdd052dcad95514126161b8e7192d91e4cf687a2fed22ba,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,state_restorable,false,admission_derived,profile_admission,admission_9173f5d955b1e280fc58,6b2c9c9db7ce4f735edf9350e483c8e450d4349970966ddd40e320068cd620c1,true
feature_c61d8c64b91fd9f2d9a3b00e,runplan_6b2c9c9db7ce4f73,housing_glm_53_flash_parasail_landlord_v23,3b4935c31c5ea6d57fdd052dcad95514126161b8e7192d91e4cf687a2fed22ba,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,tool_calls_observed,false,admission_derived,profile_admission,admission_9173f5d955b1e280fc58,6b2c9c9db7ce4f735edf9350e483c8e450d4349970966ddd40e320068cd620c1,true
feature_4534c2c2bb65da886673ccc0,runplan_6b2c9c9db7ce4f73,housing_glm_53_flash_parasail_tenant_v23,3f6ae7e1192a43c3fd455fd50924951f77841ef8fd34d2860ffac5af7d1a8419,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_82a3f8f8ca1c378e31d8,6b2c9c9db7ce4f735edf9350e483c8e450d4349970966ddd40e320068cd620c1,true
feature_b42ab4dc1ca967ffa6f3025d,runplan_6b2c9c9db7ce4f73,housing_glm_53_flash_parasail_tenant_v23,3f6ae7e1192a43c3fd455fd50924951f77841ef8fd34d2860ffac5af7d1a8419,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_82a3f8f8ca1c378e31d8,6b2c9c9db7ce4f735edf9350e483c8e450d4349970966ddd40e320068cd620c1,true
feature_051d28f395bbe02200b72af2,runplan_6b2c9c9db7ce4f73,housing_glm_53_flash_parasail_tenant_v23,3f6ae7e1192a43c3fd455fd50924951f77841ef8fd34d2860ffac5af7d1a8419,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_82a3f8f8ca1c378e31d8,6b2c9c9db7ce4f735edf9350e483c8e450d4349970966ddd40e320068cd620c1,true
