fact_id,run_id,profile_id,profile_sha256,provider,requested_model,model_revision,harness_id,feature_name,feature_value,evidence_class,source_kind,source_id,source_sha256,reportable
feature_e20aa3a77b3758d112780181,runplan_c2e8833605430abf,housing_deepseek_v4_flash_parasail_landlord_v23,cb012f2ab7d9f3004ad8c5c5beca6cc0c179bffbeae82edd1cc625b9f25dac9b,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_e377ce9489b8e7cf03e8,c2e8833605430abf3f5f42e34e421f1ec96ff597ee16ddcd9b3d49dc441906f9,true
feature_6a1bbe14a50bfb2d03c392c0,runplan_c2e8833605430abf,housing_deepseek_v4_flash_parasail_landlord_v23,cb012f2ab7d9f3004ad8c5c5beca6cc0c179bffbeae82edd1cc625b9f25dac9b,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_e377ce9489b8e7cf03e8,c2e8833605430abf3f5f42e34e421f1ec96ff597ee16ddcd9b3d49dc441906f9,true
feature_14ddc58e2c60f67cdb4e7c06,runplan_c2e8833605430abf,housing_deepseek_v4_flash_parasail_landlord_v23,cb012f2ab7d9f3004ad8c5c5beca6cc0c179bffbeae82edd1cc625b9f25dac9b,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_e377ce9489b8e7cf03e8,c2e8833605430abf3f5f42e34e421f1ec96ff597ee16ddcd9b3d49dc441906f9,true
feature_998fbfe42076ebdb9e814bfd,runplan_c2e8833605430abf,housing_deepseek_v4_flash_parasail_landlord_v23,cb012f2ab7d9f3004ad8c5c5beca6cc0c179bffbeae82edd1cc625b9f25dac9b,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,provider_calls_observed,true,admission_derived,profile_admission,admission_e377ce9489b8e7cf03e8,c2e8833605430abf3f5f42e34e421f1ec96ff597ee16ddcd9b3d49dc441906f9,true
feature_a96a4b842585789f4e56fe46,runplan_c2e8833605430abf,housing_deepseek_v4_flash_parasail_landlord_v23,cb012f2ab7d9f3004ad8c5c5beca6cc0c179bffbeae82edd1cc625b9f25dac9b,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,seed_enforced,true,admission_derived,profile_admission,admission_e377ce9489b8e7cf03e8,c2e8833605430abf3f5f42e34e421f1ec96ff597ee16ddcd9b3d49dc441906f9,true
feature_f646be0a17cc6b4c1cc6bcbf,runplan_c2e8833605430abf,housing_deepseek_v4_flash_parasail_landlord_v23,cb012f2ab7d9f3004ad8c5c5beca6cc0c179bffbeae82edd1cc625b9f25dac9b,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,state_restorable,false,admission_derived,profile_admission,admission_e377ce9489b8e7cf03e8,c2e8833605430abf3f5f42e34e421f1ec96ff597ee16ddcd9b3d49dc441906f9,true
feature_50cb67747fa43e7a2494206c,runplan_c2e8833605430abf,housing_deepseek_v4_flash_parasail_landlord_v23,cb012f2ab7d9f3004ad8c5c5beca6cc0c179bffbeae82edd1cc625b9f25dac9b,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,tool_calls_observed,false,admission_derived,profile_admission,admission_e377ce9489b8e7cf03e8,c2e8833605430abf3f5f42e34e421f1ec96ff597ee16ddcd9b3d49dc441906f9,true
feature_4534c2c2bb65da886673ccc0,runplan_c2e8833605430abf,housing_glm_53_flash_parasail_tenant_v23,3f6ae7e1192a43c3fd455fd50924951f77841ef8fd34d2860ffac5af7d1a8419,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_82a3f8f8ca1c378e31d8,c2e8833605430abf3f5f42e34e421f1ec96ff597ee16ddcd9b3d49dc441906f9,true
feature_b42ab4dc1ca967ffa6f3025d,runplan_c2e8833605430abf,housing_glm_53_flash_parasail_tenant_v23,3f6ae7e1192a43c3fd455fd50924951f77841ef8fd34d2860ffac5af7d1a8419,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_82a3f8f8ca1c378e31d8,c2e8833605430abf3f5f42e34e421f1ec96ff597ee16ddcd9b3d49dc441906f9,true
feature_051d28f395bbe02200b72af2,runplan_c2e8833605430abf,housing_glm_53_flash_parasail_tenant_v23,3f6ae7e1192a43c3fd455fd50924951f77841ef8fd34d2860ffac5af7d1a8419,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_82a3f8f8ca1c378e31d8,c2e8833605430abf3f5f42e34e421f1ec96ff597ee16ddcd9b3d49dc441906f9,true
