fact_id,run_id,profile_id,profile_sha256,provider,requested_model,model_revision,harness_id,feature_name,feature_value,evidence_class,source_kind,source_id,source_sha256,reportable
feature_d0867955010b083371026897,runplan_40b523229420edb5,housing_glm_53_flash_parasail_landlord_v24,6265c27e65e13a6f155fd9f080c6f1b1130b74b8abad4416c490fd8e9f43772e,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_c4ad0fa3485fd0989e1e,40b523229420edb511fd1aab1a598e5320a75a2cd0e9c1e08d8b5042c8054891,true
feature_d4ce44497fae8a16f499e386,runplan_40b523229420edb5,housing_glm_53_flash_parasail_landlord_v24,6265c27e65e13a6f155fd9f080c6f1b1130b74b8abad4416c490fd8e9f43772e,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_c4ad0fa3485fd0989e1e,40b523229420edb511fd1aab1a598e5320a75a2cd0e9c1e08d8b5042c8054891,true
feature_177ffbc5e0135b5e65d6ea5d,runplan_40b523229420edb5,housing_glm_53_flash_parasail_landlord_v24,6265c27e65e13a6f155fd9f080c6f1b1130b74b8abad4416c490fd8e9f43772e,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_c4ad0fa3485fd0989e1e,40b523229420edb511fd1aab1a598e5320a75a2cd0e9c1e08d8b5042c8054891,true
feature_680e4d591d3abb2fa9a56463,runplan_40b523229420edb5,housing_glm_53_flash_parasail_landlord_v24,6265c27e65e13a6f155fd9f080c6f1b1130b74b8abad4416c490fd8e9f43772e,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,provider_calls_observed,true,admission_derived,profile_admission,admission_c4ad0fa3485fd0989e1e,40b523229420edb511fd1aab1a598e5320a75a2cd0e9c1e08d8b5042c8054891,true
feature_90598045076392dc2995d120,runplan_40b523229420edb5,housing_glm_53_flash_parasail_landlord_v24,6265c27e65e13a6f155fd9f080c6f1b1130b74b8abad4416c490fd8e9f43772e,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,seed_enforced,true,admission_derived,profile_admission,admission_c4ad0fa3485fd0989e1e,40b523229420edb511fd1aab1a598e5320a75a2cd0e9c1e08d8b5042c8054891,true
feature_f52e6e62e6705e2a5f5da1c8,runplan_40b523229420edb5,housing_glm_53_flash_parasail_landlord_v24,6265c27e65e13a6f155fd9f080c6f1b1130b74b8abad4416c490fd8e9f43772e,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,state_restorable,false,admission_derived,profile_admission,admission_c4ad0fa3485fd0989e1e,40b523229420edb511fd1aab1a598e5320a75a2cd0e9c1e08d8b5042c8054891,true
feature_9f6c232e7d7604401989f18e,runplan_40b523229420edb5,housing_glm_53_flash_parasail_landlord_v24,6265c27e65e13a6f155fd9f080c6f1b1130b74b8abad4416c490fd8e9f43772e,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,tool_calls_observed,false,admission_derived,profile_admission,admission_c4ad0fa3485fd0989e1e,40b523229420edb511fd1aab1a598e5320a75a2cd0e9c1e08d8b5042c8054891,true
feature_6b9442b893cbaeb2fb1b722a,runplan_40b523229420edb5,housing_glm_53_flash_parasail_tenant_v24,ec7fef1cea66bf14763432a3480c5a8999d40129b297c043899d019a66f05284,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_0253b9e55d99225774e3,40b523229420edb511fd1aab1a598e5320a75a2cd0e9c1e08d8b5042c8054891,true
feature_5e3f8f315e08f8688ed9bf6f,runplan_40b523229420edb5,housing_glm_53_flash_parasail_tenant_v24,ec7fef1cea66bf14763432a3480c5a8999d40129b297c043899d019a66f05284,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_0253b9e55d99225774e3,40b523229420edb511fd1aab1a598e5320a75a2cd0e9c1e08d8b5042c8054891,true
feature_a31d5fbb5be2dbc20f9c418d,runplan_40b523229420edb5,housing_glm_53_flash_parasail_tenant_v24,ec7fef1cea66bf14763432a3480c5a8999d40129b297c043899d019a66f05284,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_0253b9e55d99225774e3,40b523229420edb511fd1aab1a598e5320a75a2cd0e9c1e08d8b5042c8054891,true
feature_fe788db3ea46d2ab96374512,runplan_40b523229420edb5,housing_glm_53_flash_parasail_tenant_v24,ec7fef1cea66bf14763432a3480c5a8999d40129b297c043899d019a66f05284,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,provider_calls_observed,true,admission_derived,profile_admission,admission_0253b9e55d99225774e3,40b523229420edb511fd1aab1a598e5320a75a2cd0e9c1e08d8b5042c8054891,true
feature_944a35514729b7e6dd2255f5,runplan_40b523229420edb5,housing_glm_53_flash_parasail_tenant_v24,ec7fef1cea66bf14763432a3480c5a8999d40129b297c043899d019a66f05284,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,seed_enforced,true,admission_derived,profile_admission,admission_0253b9e55d99225774e3,40b523229420edb511fd1aab1a598e5320a75a2cd0e9c1e08d8b5042c8054891,true
feature_c5ddf8026cb9ef198d68dc6b,runplan_40b523229420edb5,housing_glm_53_flash_parasail_tenant_v24,ec7fef1cea66bf14763432a3480c5a8999d40129b297c043899d019a66f05284,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,state_restorable,false,admission_derived,profile_admission,admission_0253b9e55d99225774e3,40b523229420edb511fd1aab1a598e5320a75a2cd0e9c1e08d8b5042c8054891,true
feature_b8bc53d037c6dfede0d94447,runplan_40b523229420edb5,housing_glm_53_flash_parasail_tenant_v24,ec7fef1cea66bf14763432a3480c5a8999d40129b297c043899d019a66f05284,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,tool_calls_observed,false,admission_derived,profile_admission,admission_0253b9e55d99225774e3,40b523229420edb511fd1aab1a598e5320a75a2cd0e9c1e08d8b5042c8054891,true
