fact_id,run_id,profile_id,profile_sha256,provider,requested_model,model_revision,harness_id,feature_name,feature_value,evidence_class,source_kind,source_id,source_sha256,reportable
feature_e8825c732d2ac011b5384ae9,runplan_6a88b88b04b0cd80,housing_deepseek_v4_flash_parasail_landlord_v24,28458cd949775b10e4e48dec96e7f5ad9c4596785bea2964e2c1404929b8d284,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_5daddfbfe53c32738b8a,6a88b88b04b0cd80a02222f79fd3f4c8f64b33ef99e2191038e4f14046150dd0,true
feature_a19c3a066a2ec6bb62718c40,runplan_6a88b88b04b0cd80,housing_deepseek_v4_flash_parasail_landlord_v24,28458cd949775b10e4e48dec96e7f5ad9c4596785bea2964e2c1404929b8d284,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_5daddfbfe53c32738b8a,6a88b88b04b0cd80a02222f79fd3f4c8f64b33ef99e2191038e4f14046150dd0,true
feature_bb39cd7f3e0fd895b43d0453,runplan_6a88b88b04b0cd80,housing_deepseek_v4_flash_parasail_landlord_v24,28458cd949775b10e4e48dec96e7f5ad9c4596785bea2964e2c1404929b8d284,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_5daddfbfe53c32738b8a,6a88b88b04b0cd80a02222f79fd3f4c8f64b33ef99e2191038e4f14046150dd0,true
feature_8158bf6e4730651d2b664ba0,runplan_6a88b88b04b0cd80,housing_deepseek_v4_flash_parasail_landlord_v24,28458cd949775b10e4e48dec96e7f5ad9c4596785bea2964e2c1404929b8d284,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,provider_calls_observed,true,admission_derived,profile_admission,admission_5daddfbfe53c32738b8a,6a88b88b04b0cd80a02222f79fd3f4c8f64b33ef99e2191038e4f14046150dd0,true
feature_7e2273452dccff51b407ab96,runplan_6a88b88b04b0cd80,housing_deepseek_v4_flash_parasail_landlord_v24,28458cd949775b10e4e48dec96e7f5ad9c4596785bea2964e2c1404929b8d284,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,seed_enforced,true,admission_derived,profile_admission,admission_5daddfbfe53c32738b8a,6a88b88b04b0cd80a02222f79fd3f4c8f64b33ef99e2191038e4f14046150dd0,true
feature_2816071ab31d8cb394e32861,runplan_6a88b88b04b0cd80,housing_deepseek_v4_flash_parasail_landlord_v24,28458cd949775b10e4e48dec96e7f5ad9c4596785bea2964e2c1404929b8d284,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,state_restorable,false,admission_derived,profile_admission,admission_5daddfbfe53c32738b8a,6a88b88b04b0cd80a02222f79fd3f4c8f64b33ef99e2191038e4f14046150dd0,true
feature_8cf1a98c7f0f86fcdf6557f0,runplan_6a88b88b04b0cd80,housing_deepseek_v4_flash_parasail_landlord_v24,28458cd949775b10e4e48dec96e7f5ad9c4596785bea2964e2c1404929b8d284,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,tool_calls_observed,false,admission_derived,profile_admission,admission_5daddfbfe53c32738b8a,6a88b88b04b0cd80a02222f79fd3f4c8f64b33ef99e2191038e4f14046150dd0,true
feature_6b9442b893cbaeb2fb1b722a,runplan_6a88b88b04b0cd80,housing_glm_53_flash_parasail_tenant_v24,ec7fef1cea66bf14763432a3480c5a8999d40129b297c043899d019a66f05284,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_0253b9e55d99225774e3,6a88b88b04b0cd80a02222f79fd3f4c8f64b33ef99e2191038e4f14046150dd0,true
feature_5e3f8f315e08f8688ed9bf6f,runplan_6a88b88b04b0cd80,housing_glm_53_flash_parasail_tenant_v24,ec7fef1cea66bf14763432a3480c5a8999d40129b297c043899d019a66f05284,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_0253b9e55d99225774e3,6a88b88b04b0cd80a02222f79fd3f4c8f64b33ef99e2191038e4f14046150dd0,true
feature_a31d5fbb5be2dbc20f9c418d,runplan_6a88b88b04b0cd80,housing_glm_53_flash_parasail_tenant_v24,ec7fef1cea66bf14763432a3480c5a8999d40129b297c043899d019a66f05284,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_0253b9e55d99225774e3,6a88b88b04b0cd80a02222f79fd3f4c8f64b33ef99e2191038e4f14046150dd0,true
feature_fe788db3ea46d2ab96374512,runplan_6a88b88b04b0cd80,housing_glm_53_flash_parasail_tenant_v24,ec7fef1cea66bf14763432a3480c5a8999d40129b297c043899d019a66f05284,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,provider_calls_observed,true,admission_derived,profile_admission,admission_0253b9e55d99225774e3,6a88b88b04b0cd80a02222f79fd3f4c8f64b33ef99e2191038e4f14046150dd0,true
feature_944a35514729b7e6dd2255f5,runplan_6a88b88b04b0cd80,housing_glm_53_flash_parasail_tenant_v24,ec7fef1cea66bf14763432a3480c5a8999d40129b297c043899d019a66f05284,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,seed_enforced,true,admission_derived,profile_admission,admission_0253b9e55d99225774e3,6a88b88b04b0cd80a02222f79fd3f4c8f64b33ef99e2191038e4f14046150dd0,true
feature_c5ddf8026cb9ef198d68dc6b,runplan_6a88b88b04b0cd80,housing_glm_53_flash_parasail_tenant_v24,ec7fef1cea66bf14763432a3480c5a8999d40129b297c043899d019a66f05284,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,state_restorable,false,admission_derived,profile_admission,admission_0253b9e55d99225774e3,6a88b88b04b0cd80a02222f79fd3f4c8f64b33ef99e2191038e4f14046150dd0,true
feature_b8bc53d037c6dfede0d94447,runplan_6a88b88b04b0cd80,housing_glm_53_flash_parasail_tenant_v24,ec7fef1cea66bf14763432a3480c5a8999d40129b297c043899d019a66f05284,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,tool_calls_observed,false,admission_derived,profile_admission,admission_0253b9e55d99225774e3,6a88b88b04b0cd80a02222f79fd3f4c8f64b33ef99e2191038e4f14046150dd0,true
