fact_id,run_id,profile_id,profile_sha256,provider,requested_model,model_revision,harness_id,feature_name,feature_value,evidence_class,source_kind,source_id,source_sha256,reportable
feature_ee2793ca25b679b355307648,runplan_91221aff6d4724a6,housing_deepseek_v4_flash_parasail_tenant_v24,d4ad086e12e1c446954f3822daca15a9b240815a6af5fe465777d77df9b53f1b,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_17ea5bc8299ffe226602,91221aff6d4724a6ad8d5fb3c8f1014552ba6042ecda8c83a1bda9cf2f0bc674,true
feature_cb0bf53996f7ca3de1a36256,runplan_91221aff6d4724a6,housing_deepseek_v4_flash_parasail_tenant_v24,d4ad086e12e1c446954f3822daca15a9b240815a6af5fe465777d77df9b53f1b,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_17ea5bc8299ffe226602,91221aff6d4724a6ad8d5fb3c8f1014552ba6042ecda8c83a1bda9cf2f0bc674,true
feature_2d54e33271b150c5c58a4ca3,runplan_91221aff6d4724a6,housing_deepseek_v4_flash_parasail_tenant_v24,d4ad086e12e1c446954f3822daca15a9b240815a6af5fe465777d77df9b53f1b,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_17ea5bc8299ffe226602,91221aff6d4724a6ad8d5fb3c8f1014552ba6042ecda8c83a1bda9cf2f0bc674,true
feature_571bdb73ba54e651b83859ad,runplan_91221aff6d4724a6,housing_deepseek_v4_flash_parasail_tenant_v24,d4ad086e12e1c446954f3822daca15a9b240815a6af5fe465777d77df9b53f1b,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,provider_calls_observed,true,admission_derived,profile_admission,admission_17ea5bc8299ffe226602,91221aff6d4724a6ad8d5fb3c8f1014552ba6042ecda8c83a1bda9cf2f0bc674,true
feature_dd73730f92a91fea7bb1943e,runplan_91221aff6d4724a6,housing_deepseek_v4_flash_parasail_tenant_v24,d4ad086e12e1c446954f3822daca15a9b240815a6af5fe465777d77df9b53f1b,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,seed_enforced,true,admission_derived,profile_admission,admission_17ea5bc8299ffe226602,91221aff6d4724a6ad8d5fb3c8f1014552ba6042ecda8c83a1bda9cf2f0bc674,true
feature_a2031cfcef481ad2ffded6d0,runplan_91221aff6d4724a6,housing_deepseek_v4_flash_parasail_tenant_v24,d4ad086e12e1c446954f3822daca15a9b240815a6af5fe465777d77df9b53f1b,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,state_restorable,false,admission_derived,profile_admission,admission_17ea5bc8299ffe226602,91221aff6d4724a6ad8d5fb3c8f1014552ba6042ecda8c83a1bda9cf2f0bc674,true
feature_d63ebdba9e17658cb1abcbac,runplan_91221aff6d4724a6,housing_deepseek_v4_flash_parasail_tenant_v24,d4ad086e12e1c446954f3822daca15a9b240815a6af5fe465777d77df9b53f1b,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,tool_calls_observed,false,admission_derived,profile_admission,admission_17ea5bc8299ffe226602,91221aff6d4724a6ad8d5fb3c8f1014552ba6042ecda8c83a1bda9cf2f0bc674,true
feature_d0867955010b083371026897,runplan_91221aff6d4724a6,housing_glm_53_flash_parasail_landlord_v24,6265c27e65e13a6f155fd9f080c6f1b1130b74b8abad4416c490fd8e9f43772e,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_c4ad0fa3485fd0989e1e,91221aff6d4724a6ad8d5fb3c8f1014552ba6042ecda8c83a1bda9cf2f0bc674,true
feature_d4ce44497fae8a16f499e386,runplan_91221aff6d4724a6,housing_glm_53_flash_parasail_landlord_v24,6265c27e65e13a6f155fd9f080c6f1b1130b74b8abad4416c490fd8e9f43772e,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_c4ad0fa3485fd0989e1e,91221aff6d4724a6ad8d5fb3c8f1014552ba6042ecda8c83a1bda9cf2f0bc674,true
feature_177ffbc5e0135b5e65d6ea5d,runplan_91221aff6d4724a6,housing_glm_53_flash_parasail_landlord_v24,6265c27e65e13a6f155fd9f080c6f1b1130b74b8abad4416c490fd8e9f43772e,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_c4ad0fa3485fd0989e1e,91221aff6d4724a6ad8d5fb3c8f1014552ba6042ecda8c83a1bda9cf2f0bc674,true
feature_680e4d591d3abb2fa9a56463,runplan_91221aff6d4724a6,housing_glm_53_flash_parasail_landlord_v24,6265c27e65e13a6f155fd9f080c6f1b1130b74b8abad4416c490fd8e9f43772e,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,provider_calls_observed,true,admission_derived,profile_admission,admission_c4ad0fa3485fd0989e1e,91221aff6d4724a6ad8d5fb3c8f1014552ba6042ecda8c83a1bda9cf2f0bc674,true
feature_90598045076392dc2995d120,runplan_91221aff6d4724a6,housing_glm_53_flash_parasail_landlord_v24,6265c27e65e13a6f155fd9f080c6f1b1130b74b8abad4416c490fd8e9f43772e,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,seed_enforced,true,admission_derived,profile_admission,admission_c4ad0fa3485fd0989e1e,91221aff6d4724a6ad8d5fb3c8f1014552ba6042ecda8c83a1bda9cf2f0bc674,true
feature_f52e6e62e6705e2a5f5da1c8,runplan_91221aff6d4724a6,housing_glm_53_flash_parasail_landlord_v24,6265c27e65e13a6f155fd9f080c6f1b1130b74b8abad4416c490fd8e9f43772e,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,state_restorable,false,admission_derived,profile_admission,admission_c4ad0fa3485fd0989e1e,91221aff6d4724a6ad8d5fb3c8f1014552ba6042ecda8c83a1bda9cf2f0bc674,true
feature_9f6c232e7d7604401989f18e,runplan_91221aff6d4724a6,housing_glm_53_flash_parasail_landlord_v24,6265c27e65e13a6f155fd9f080c6f1b1130b74b8abad4416c490fd8e9f43772e,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,tool_calls_observed,false,admission_derived,profile_admission,admission_c4ad0fa3485fd0989e1e,91221aff6d4724a6ad8d5fb3c8f1014552ba6042ecda8c83a1bda9cf2f0bc674,true
