fact_id,run_id,profile_id,profile_sha256,provider,requested_model,model_revision,harness_id,feature_name,feature_value,evidence_class,source_kind,source_id,source_sha256,reportable
feature_e8825c732d2ac011b5384ae9,runplan_9c48704f95ef71e2,housing_deepseek_v4_flash_parasail_landlord_v24,28458cd949775b10e4e48dec96e7f5ad9c4596785bea2964e2c1404929b8d284,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_5daddfbfe53c32738b8a,9c48704f95ef71e29d9c306b68c433905f3fb0a92f9f9e8d6d4bd5d6f8ef90d5,true
feature_a19c3a066a2ec6bb62718c40,runplan_9c48704f95ef71e2,housing_deepseek_v4_flash_parasail_landlord_v24,28458cd949775b10e4e48dec96e7f5ad9c4596785bea2964e2c1404929b8d284,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_5daddfbfe53c32738b8a,9c48704f95ef71e29d9c306b68c433905f3fb0a92f9f9e8d6d4bd5d6f8ef90d5,true
feature_bb39cd7f3e0fd895b43d0453,runplan_9c48704f95ef71e2,housing_deepseek_v4_flash_parasail_landlord_v24,28458cd949775b10e4e48dec96e7f5ad9c4596785bea2964e2c1404929b8d284,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_5daddfbfe53c32738b8a,9c48704f95ef71e29d9c306b68c433905f3fb0a92f9f9e8d6d4bd5d6f8ef90d5,true
feature_8158bf6e4730651d2b664ba0,runplan_9c48704f95ef71e2,housing_deepseek_v4_flash_parasail_landlord_v24,28458cd949775b10e4e48dec96e7f5ad9c4596785bea2964e2c1404929b8d284,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,provider_calls_observed,true,admission_derived,profile_admission,admission_5daddfbfe53c32738b8a,9c48704f95ef71e29d9c306b68c433905f3fb0a92f9f9e8d6d4bd5d6f8ef90d5,true
feature_7e2273452dccff51b407ab96,runplan_9c48704f95ef71e2,housing_deepseek_v4_flash_parasail_landlord_v24,28458cd949775b10e4e48dec96e7f5ad9c4596785bea2964e2c1404929b8d284,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,seed_enforced,true,admission_derived,profile_admission,admission_5daddfbfe53c32738b8a,9c48704f95ef71e29d9c306b68c433905f3fb0a92f9f9e8d6d4bd5d6f8ef90d5,true
feature_2816071ab31d8cb394e32861,runplan_9c48704f95ef71e2,housing_deepseek_v4_flash_parasail_landlord_v24,28458cd949775b10e4e48dec96e7f5ad9c4596785bea2964e2c1404929b8d284,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,state_restorable,false,admission_derived,profile_admission,admission_5daddfbfe53c32738b8a,9c48704f95ef71e29d9c306b68c433905f3fb0a92f9f9e8d6d4bd5d6f8ef90d5,true
feature_8cf1a98c7f0f86fcdf6557f0,runplan_9c48704f95ef71e2,housing_deepseek_v4_flash_parasail_landlord_v24,28458cd949775b10e4e48dec96e7f5ad9c4596785bea2964e2c1404929b8d284,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,tool_calls_observed,false,admission_derived,profile_admission,admission_5daddfbfe53c32738b8a,9c48704f95ef71e29d9c306b68c433905f3fb0a92f9f9e8d6d4bd5d6f8ef90d5,true
feature_ee2793ca25b679b355307648,runplan_9c48704f95ef71e2,housing_deepseek_v4_flash_parasail_tenant_v24,d4ad086e12e1c446954f3822daca15a9b240815a6af5fe465777d77df9b53f1b,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_17ea5bc8299ffe226602,9c48704f95ef71e29d9c306b68c433905f3fb0a92f9f9e8d6d4bd5d6f8ef90d5,true
feature_cb0bf53996f7ca3de1a36256,runplan_9c48704f95ef71e2,housing_deepseek_v4_flash_parasail_tenant_v24,d4ad086e12e1c446954f3822daca15a9b240815a6af5fe465777d77df9b53f1b,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_17ea5bc8299ffe226602,9c48704f95ef71e29d9c306b68c433905f3fb0a92f9f9e8d6d4bd5d6f8ef90d5,true
feature_2d54e33271b150c5c58a4ca3,runplan_9c48704f95ef71e2,housing_deepseek_v4_flash_parasail_tenant_v24,d4ad086e12e1c446954f3822daca15a9b240815a6af5fe465777d77df9b53f1b,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_17ea5bc8299ffe226602,9c48704f95ef71e29d9c306b68c433905f3fb0a92f9f9e8d6d4bd5d6f8ef90d5,true
feature_571bdb73ba54e651b83859ad,runplan_9c48704f95ef71e2,housing_deepseek_v4_flash_parasail_tenant_v24,d4ad086e12e1c446954f3822daca15a9b240815a6af5fe465777d77df9b53f1b,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,provider_calls_observed,true,admission_derived,profile_admission,admission_17ea5bc8299ffe226602,9c48704f95ef71e29d9c306b68c433905f3fb0a92f9f9e8d6d4bd5d6f8ef90d5,true
feature_dd73730f92a91fea7bb1943e,runplan_9c48704f95ef71e2,housing_deepseek_v4_flash_parasail_tenant_v24,d4ad086e12e1c446954f3822daca15a9b240815a6af5fe465777d77df9b53f1b,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,seed_enforced,true,admission_derived,profile_admission,admission_17ea5bc8299ffe226602,9c48704f95ef71e29d9c306b68c433905f3fb0a92f9f9e8d6d4bd5d6f8ef90d5,true
feature_a2031cfcef481ad2ffded6d0,runplan_9c48704f95ef71e2,housing_deepseek_v4_flash_parasail_tenant_v24,d4ad086e12e1c446954f3822daca15a9b240815a6af5fe465777d77df9b53f1b,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,state_restorable,false,admission_derived,profile_admission,admission_17ea5bc8299ffe226602,9c48704f95ef71e29d9c306b68c433905f3fb0a92f9f9e8d6d4bd5d6f8ef90d5,true
feature_d63ebdba9e17658cb1abcbac,runplan_9c48704f95ef71e2,housing_deepseek_v4_flash_parasail_tenant_v24,d4ad086e12e1c446954f3822daca15a9b240815a6af5fe465777d77df9b53f1b,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,tool_calls_observed,false,admission_derived,profile_admission,admission_17ea5bc8299ffe226602,9c48704f95ef71e29d9c306b68c433905f3fb0a92f9f9e8d6d4bd5d6f8ef90d5,true
