fact_id,run_id,profile_id,profile_sha256,provider,requested_model,model_revision,harness_id,feature_name,feature_value,evidence_class,source_kind,source_id,source_sha256,reportable
feature_ca75404d5f1e61b17c894b24,runplan_668033750157196d,housing_deepseek_v4_flash_parasail_landlord_v26,2da6bfd4ec11209100356d8934f5713634ceb72535ffef84d9545cef8e87128e,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_a146bd27130c861fa618,668033750157196df9b06dfe0231e45df780a3325d83e8e18eb3b6c62c6a976c,true
feature_1fab2480e5d1c3cb0690910a,runplan_668033750157196d,housing_deepseek_v4_flash_parasail_landlord_v26,2da6bfd4ec11209100356d8934f5713634ceb72535ffef84d9545cef8e87128e,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_a146bd27130c861fa618,668033750157196df9b06dfe0231e45df780a3325d83e8e18eb3b6c62c6a976c,true
feature_30fd2982e59baac4482bd569,runplan_668033750157196d,housing_deepseek_v4_flash_parasail_landlord_v26,2da6bfd4ec11209100356d8934f5713634ceb72535ffef84d9545cef8e87128e,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_a146bd27130c861fa618,668033750157196df9b06dfe0231e45df780a3325d83e8e18eb3b6c62c6a976c,true
feature_417184200cf0e86335f5d1bf,runplan_668033750157196d,housing_deepseek_v4_flash_parasail_landlord_v26,2da6bfd4ec11209100356d8934f5713634ceb72535ffef84d9545cef8e87128e,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,provider_calls_observed,true,admission_derived,profile_admission,admission_a146bd27130c861fa618,668033750157196df9b06dfe0231e45df780a3325d83e8e18eb3b6c62c6a976c,true
feature_b0f61ea98f13a6aad97ae026,runplan_668033750157196d,housing_deepseek_v4_flash_parasail_landlord_v26,2da6bfd4ec11209100356d8934f5713634ceb72535ffef84d9545cef8e87128e,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,seed_enforced,true,admission_derived,profile_admission,admission_a146bd27130c861fa618,668033750157196df9b06dfe0231e45df780a3325d83e8e18eb3b6c62c6a976c,true
feature_fc52dba3a85637077d0d444e,runplan_668033750157196d,housing_deepseek_v4_flash_parasail_landlord_v26,2da6bfd4ec11209100356d8934f5713634ceb72535ffef84d9545cef8e87128e,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,state_restorable,false,admission_derived,profile_admission,admission_a146bd27130c861fa618,668033750157196df9b06dfe0231e45df780a3325d83e8e18eb3b6c62c6a976c,true
feature_3146c2f1b624027913b9ddb2,runplan_668033750157196d,housing_deepseek_v4_flash_parasail_landlord_v26,2da6bfd4ec11209100356d8934f5713634ceb72535ffef84d9545cef8e87128e,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,tool_calls_observed,false,admission_derived,profile_admission,admission_a146bd27130c861fa618,668033750157196df9b06dfe0231e45df780a3325d83e8e18eb3b6c62c6a976c,true
feature_d185509d92969a9e16598e60,runplan_668033750157196d,housing_deepseek_v4_flash_parasail_tenant_v26,f59552be2d1283236b991c75f894f5e0f86e76501bc18ddb4d31b37f2a9894fc,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_0e9c7160191febdbe666,668033750157196df9b06dfe0231e45df780a3325d83e8e18eb3b6c62c6a976c,true
feature_e86870b245706c32c9849000,runplan_668033750157196d,housing_deepseek_v4_flash_parasail_tenant_v26,f59552be2d1283236b991c75f894f5e0f86e76501bc18ddb4d31b37f2a9894fc,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_0e9c7160191febdbe666,668033750157196df9b06dfe0231e45df780a3325d83e8e18eb3b6c62c6a976c,true
feature_a6abf80e59e346598416cec9,runplan_668033750157196d,housing_deepseek_v4_flash_parasail_tenant_v26,f59552be2d1283236b991c75f894f5e0f86e76501bc18ddb4d31b37f2a9894fc,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_0e9c7160191febdbe666,668033750157196df9b06dfe0231e45df780a3325d83e8e18eb3b6c62c6a976c,true
