fact_id,run_id,profile_id,profile_sha256,provider,requested_model,model_revision,harness_id,feature_name,feature_value,evidence_class,source_kind,source_id,source_sha256,reportable
feature_ca75404d5f1e61b17c894b24,runplan_ddfd0ff85d087e32,housing_deepseek_v4_flash_parasail_landlord_v26,2da6bfd4ec11209100356d8934f5713634ceb72535ffef84d9545cef8e87128e,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_a146bd27130c861fa618,ddfd0ff85d087e321ec8b4fa98707ffc154acdbbe4d5bb291e4d043da2d470b0,true
feature_1fab2480e5d1c3cb0690910a,runplan_ddfd0ff85d087e32,housing_deepseek_v4_flash_parasail_landlord_v26,2da6bfd4ec11209100356d8934f5713634ceb72535ffef84d9545cef8e87128e,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_a146bd27130c861fa618,ddfd0ff85d087e321ec8b4fa98707ffc154acdbbe4d5bb291e4d043da2d470b0,true
feature_30fd2982e59baac4482bd569,runplan_ddfd0ff85d087e32,housing_deepseek_v4_flash_parasail_landlord_v26,2da6bfd4ec11209100356d8934f5713634ceb72535ffef84d9545cef8e87128e,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_a146bd27130c861fa618,ddfd0ff85d087e321ec8b4fa98707ffc154acdbbe4d5bb291e4d043da2d470b0,true
feature_417184200cf0e86335f5d1bf,runplan_ddfd0ff85d087e32,housing_deepseek_v4_flash_parasail_landlord_v26,2da6bfd4ec11209100356d8934f5713634ceb72535ffef84d9545cef8e87128e,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,provider_calls_observed,true,admission_derived,profile_admission,admission_a146bd27130c861fa618,ddfd0ff85d087e321ec8b4fa98707ffc154acdbbe4d5bb291e4d043da2d470b0,true
feature_b0f61ea98f13a6aad97ae026,runplan_ddfd0ff85d087e32,housing_deepseek_v4_flash_parasail_landlord_v26,2da6bfd4ec11209100356d8934f5713634ceb72535ffef84d9545cef8e87128e,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,seed_enforced,true,admission_derived,profile_admission,admission_a146bd27130c861fa618,ddfd0ff85d087e321ec8b4fa98707ffc154acdbbe4d5bb291e4d043da2d470b0,true
feature_fc52dba3a85637077d0d444e,runplan_ddfd0ff85d087e32,housing_deepseek_v4_flash_parasail_landlord_v26,2da6bfd4ec11209100356d8934f5713634ceb72535ffef84d9545cef8e87128e,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,state_restorable,false,admission_derived,profile_admission,admission_a146bd27130c861fa618,ddfd0ff85d087e321ec8b4fa98707ffc154acdbbe4d5bb291e4d043da2d470b0,true
feature_3146c2f1b624027913b9ddb2,runplan_ddfd0ff85d087e32,housing_deepseek_v4_flash_parasail_landlord_v26,2da6bfd4ec11209100356d8934f5713634ceb72535ffef84d9545cef8e87128e,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,tool_calls_observed,false,admission_derived,profile_admission,admission_a146bd27130c861fa618,ddfd0ff85d087e321ec8b4fa98707ffc154acdbbe4d5bb291e4d043da2d470b0,true
feature_6b1215bd59b374baf2b84758,runplan_ddfd0ff85d087e32,housing_glm_53_flash_parasail_tenant_v26,327bd0073c1f2aec2a3c6f55e2d93938abab6dc961beea8cb408afc4e1a33b70,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_33bd94b86df093d4bfd6,ddfd0ff85d087e321ec8b4fa98707ffc154acdbbe4d5bb291e4d043da2d470b0,true
feature_29b2e177f4fd0389f40ab90f,runplan_ddfd0ff85d087e32,housing_glm_53_flash_parasail_tenant_v26,327bd0073c1f2aec2a3c6f55e2d93938abab6dc961beea8cb408afc4e1a33b70,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_33bd94b86df093d4bfd6,ddfd0ff85d087e321ec8b4fa98707ffc154acdbbe4d5bb291e4d043da2d470b0,true
feature_a42a69c028df202c8d62cd81,runplan_ddfd0ff85d087e32,housing_glm_53_flash_parasail_tenant_v26,327bd0073c1f2aec2a3c6f55e2d93938abab6dc961beea8cb408afc4e1a33b70,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_33bd94b86df093d4bfd6,ddfd0ff85d087e321ec8b4fa98707ffc154acdbbe4d5bb291e4d043da2d470b0,true
feature_30ad386001784600f4abf760,runplan_ddfd0ff85d087e32,housing_glm_53_flash_parasail_tenant_v26,327bd0073c1f2aec2a3c6f55e2d93938abab6dc961beea8cb408afc4e1a33b70,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,provider_calls_observed,true,admission_derived,profile_admission,admission_33bd94b86df093d4bfd6,ddfd0ff85d087e321ec8b4fa98707ffc154acdbbe4d5bb291e4d043da2d470b0,true
feature_50c4a1e26e5daf4cee2c9b46,runplan_ddfd0ff85d087e32,housing_glm_53_flash_parasail_tenant_v26,327bd0073c1f2aec2a3c6f55e2d93938abab6dc961beea8cb408afc4e1a33b70,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,seed_enforced,true,admission_derived,profile_admission,admission_33bd94b86df093d4bfd6,ddfd0ff85d087e321ec8b4fa98707ffc154acdbbe4d5bb291e4d043da2d470b0,true
feature_85a00971f34f17d4f07b6a5d,runplan_ddfd0ff85d087e32,housing_glm_53_flash_parasail_tenant_v26,327bd0073c1f2aec2a3c6f55e2d93938abab6dc961beea8cb408afc4e1a33b70,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,state_restorable,false,admission_derived,profile_admission,admission_33bd94b86df093d4bfd6,ddfd0ff85d087e321ec8b4fa98707ffc154acdbbe4d5bb291e4d043da2d470b0,true
feature_862fbea3ac6cfc4c01f305db,runplan_ddfd0ff85d087e32,housing_glm_53_flash_parasail_tenant_v26,327bd0073c1f2aec2a3c6f55e2d93938abab6dc961beea8cb408afc4e1a33b70,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,tool_calls_observed,false,admission_derived,profile_admission,admission_33bd94b86df093d4bfd6,ddfd0ff85d087e321ec8b4fa98707ffc154acdbbe4d5bb291e4d043da2d470b0,true
