call_id,run_id,task_id,call_index,seat_id,profile_id,harness_phase,domain_phase_id,provider,requested_model,resolved_model,status,occurred_at,prompt_tokens,cached_tokens,completion_tokens,latency_seconds,exception_type,total_cost_usd,telemetry_complete
provider_call_c1eaa79feb85c629eed9,runplan_36020fb3e645f00e,cell_02a4dd993dd81626a2b0,0,customer,refund_v21_customer_scripted_refund-v21-scripted,execution,customer_message,scripted,refund-v21-scripted,2.1.0,succeeded,2026-09-12T17:29:07.576084Z,0,0,0,0.000391,,0.0,true
provider_call_4fc770f88bbcb3e22b91,runplan_36020fb3e645f00e,cell_02a4dd993dd81626a2b0,1,intake,refund_v21_intake_scripted_refund-v21-scripted,execution,intake_request,scripted,refund-v21-scripted,2.1.0,succeeded,2026-09-12T17:29:07.579645Z,0,0,0,0.000354,,0.0,true
provider_call_b76323ce9ab0a800c798,runplan_36020fb3e645f00e,cell_02a4dd993dd81626a2b0,2,customer,refund_v21_customer_scripted_refund-v21-scripted,execution,customer_facts,scripted,refund-v21-scripted,2.1.0,succeeded,2026-09-12T17:29:07.583152Z,0,0,0,0.000404,,0.0,true
provider_call_72f9b67418711f12560b,runplan_36020fb3e645f00e,cell_02a4dd993dd81626a2b0,3,policy,refund_v21_policy_scripted_refund-v21-scripted,execution,policy_response,scripted,refund-v21-scripted,2.1.0,succeeded,2026-09-12T17:29:07.586684Z,0,0,0,0.000345,,0.0,true
provider_call_684f1900adaeec298fa3,runplan_36020fb3e645f00e,cell_02a4dd993dd81626a2b0,4,customer,refund_v21_customer_scripted_refund-v21-scripted,execution,customer_facts,scripted,refund-v21-scripted,2.1.0,succeeded,2026-09-12T17:29:07.590383Z,0,0,0,0.000334,,0.0,true
provider_call_370f271fca47df1f410c,runplan_36020fb3e645f00e,cell_02a4dd993dd81626a2b0,5,policy,refund_v21_policy_scripted_refund-v21-scripted,execution,policy_response,scripted,refund-v21-scripted,2.1.0,succeeded,2026-09-12T17:29:07.593956Z,0,0,0,0.00033,,0.0,true
provider_call_4b22bd6beefd365c4104,runplan_36020fb3e645f00e,cell_02a4dd993dd81626a2b0,6,customer,refund_v21_customer_scripted_refund-v21-scripted,execution,customer_confirmation,scripted,refund-v21-scripted,2.1.0,succeeded,2026-09-12T17:29:07.597702Z,0,0,0,0.000368,,0.0,true
provider_call_23439a321e71c0b01619,runplan_36020fb3e645f00e,cell_02a4dd993dd81626a2b0,7,payments,refund_v21_payments_scripted_refund-v21-scripted-payments,execution,payments_execute,scripted,refund-v21-scripted-payments,2.1.0,succeeded,2026-09-12T17:29:07.602165Z,0,0,0,0.000398,,0.0,true
provider_call_979b3ddbefc4c2bbab1a,runplan_36020fb3e645f00e,cell_039fea10e1ebab27293b,0,customer,refund_v21_customer_scripted_refund-v21-scripted,execution,customer_message,scripted,refund-v21-scripted,2.1.0,succeeded,2026-09-12T17:29:07.732035Z,0,0,0,0.000436,,0.0,true
provider_call_c63cce84f8512f2f1032,runplan_36020fb3e645f00e,cell_039fea10e1ebab27293b,1,intake,refund_v21_intake_scripted_refund-v21-scripted,execution,intake_request,scripted,refund-v21-scripted,2.1.0,succeeded,2026-09-12T17:29:07.735853Z,0,0,0,0.000351,,0.0,true
