fact_id,run_id,profile_id,profile_sha256,provider,requested_model,model_revision,harness_id,feature_name,feature_value,evidence_class,source_kind,source_id,source_sha256,reportable
feature_4469fac3f8463bbb11e588d8,runplan_36020fb3e645f00e,refund_v21_customer_scripted_refund-v21-scripted,e51e5e6132a15ed9991312d012c38ef38c482aeab23fa557dfc79678019c4fdc,scripted,refund-v21-scripted,2.1.0,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_401da2bafb3468a33b7a,36020fb3e645f00e01c0d3c76b26552e70d6c5dbb901902d6299055bcdcba04f,true
feature_d4a2611daeef387e7cb241ea,runplan_36020fb3e645f00e,refund_v21_customer_scripted_refund-v21-scripted,e51e5e6132a15ed9991312d012c38ef38c482aeab23fa557dfc79678019c4fdc,scripted,refund-v21-scripted,2.1.0,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_401da2bafb3468a33b7a,36020fb3e645f00e01c0d3c76b26552e70d6c5dbb901902d6299055bcdcba04f,true
feature_d5de6b6f620e36f03ba4ba39,runplan_36020fb3e645f00e,refund_v21_customer_scripted_refund-v21-scripted,e51e5e6132a15ed9991312d012c38ef38c482aeab23fa557dfc79678019c4fdc,scripted,refund-v21-scripted,2.1.0,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_401da2bafb3468a33b7a,36020fb3e645f00e01c0d3c76b26552e70d6c5dbb901902d6299055bcdcba04f,true
feature_f60e3494ae73d7d2bba017ad,runplan_36020fb3e645f00e,refund_v21_customer_scripted_refund-v21-scripted,e51e5e6132a15ed9991312d012c38ef38c482aeab23fa557dfc79678019c4fdc,scripted,refund-v21-scripted,2.1.0,minimal_chat,provider_calls_observed,true,admission_derived,profile_admission,admission_401da2bafb3468a33b7a,36020fb3e645f00e01c0d3c76b26552e70d6c5dbb901902d6299055bcdcba04f,true
feature_8c714ea136eace7ac4cb11f1,runplan_36020fb3e645f00e,refund_v21_customer_scripted_refund-v21-scripted,e51e5e6132a15ed9991312d012c38ef38c482aeab23fa557dfc79678019c4fdc,scripted,refund-v21-scripted,2.1.0,minimal_chat,seed_enforced,false,admission_derived,profile_admission,admission_401da2bafb3468a33b7a,36020fb3e645f00e01c0d3c76b26552e70d6c5dbb901902d6299055bcdcba04f,true
feature_4d69902527b694747ed8319a,runplan_36020fb3e645f00e,refund_v21_customer_scripted_refund-v21-scripted,e51e5e6132a15ed9991312d012c38ef38c482aeab23fa557dfc79678019c4fdc,scripted,refund-v21-scripted,2.1.0,minimal_chat,state_restorable,false,admission_derived,profile_admission,admission_401da2bafb3468a33b7a,36020fb3e645f00e01c0d3c76b26552e70d6c5dbb901902d6299055bcdcba04f,true
feature_ffb5f8d9a4b4cd97178befba,runplan_36020fb3e645f00e,refund_v21_customer_scripted_refund-v21-scripted,e51e5e6132a15ed9991312d012c38ef38c482aeab23fa557dfc79678019c4fdc,scripted,refund-v21-scripted,2.1.0,minimal_chat,tool_calls_observed,false,admission_derived,profile_admission,admission_401da2bafb3468a33b7a,36020fb3e645f00e01c0d3c76b26552e70d6c5dbb901902d6299055bcdcba04f,true
feature_ac58fc12a4a58888fd3eaa5b,runplan_36020fb3e645f00e,refund_v21_intake_scripted_refund-v21-scripted,19aa7104700e0052f553b83973c039942422495e5fa6e5bd88a576e46788b6c3,scripted,refund-v21-scripted,2.1.0,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_b6cb4a4d5fdc2f0c189e,36020fb3e645f00e01c0d3c76b26552e70d6c5dbb901902d6299055bcdcba04f,true
feature_7ec8d45c8b41a3de2f381bf5,runplan_36020fb3e645f00e,refund_v21_intake_scripted_refund-v21-scripted,19aa7104700e0052f553b83973c039942422495e5fa6e5bd88a576e46788b6c3,scripted,refund-v21-scripted,2.1.0,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_b6cb4a4d5fdc2f0c189e,36020fb3e645f00e01c0d3c76b26552e70d6c5dbb901902d6299055bcdcba04f,true
feature_7ace177be341266409a60cc5,runplan_36020fb3e645f00e,refund_v21_intake_scripted_refund-v21-scripted,19aa7104700e0052f553b83973c039942422495e5fa6e5bd88a576e46788b6c3,scripted,refund-v21-scripted,2.1.0,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_b6cb4a4d5fdc2f0c189e,36020fb3e645f00e01c0d3c76b26552e70d6c5dbb901902d6299055bcdcba04f,true
