case_id,cell_id,world_seed,scenario,status,inclusion_status,receipt_sha256,policy_compliance,transaction_correctness,coordination,system_utility
refund_v2.1n.boundary_window.000000,cell_593d0e1e30c3281372f4,0,boundary_window,ok,included,648d4c842ff1abc29753653b21da74ffe17b0fa0955fda742831a48197d4e04e,1.0,1.0,1.0,2.0
refund_v2.1n.boundary_window.000001,cell_e2342341186ab86165a6,1,boundary_window,ok,included,41652ae7bc7b8b5bf9fb96401d6a78d9c9c2baf2ece00a61fcaae2b77abfeca4,1.0,1.0,1.0,2.0
refund_v2.1n.boundary_window.000002,cell_d183ed543bff89b5fafc,2,boundary_window,ok,included,a4e65b05ba9e7b4b477cee7ee73a6c8a2c638f9623da76c442f401a6b5982ae5,1.0,1.0,1.0,2.0
refund_v2.1n.boundary_window.000004,cell_47d88ac0926272803539,4,boundary_window,ok,included,1a8ce4ea4fd28cedf796c39e3c7b02d542eec7909daa72507c4acde1edbe41ae,1.0,1.0,1.0,2.0
refund_v2.1n.boundary_window.000005,cell_2bb955b52040840c83d8,5,boundary_window,ok,included,0422ed1781cfc4b6082558b5aee08eaf0ecb219de6cf2e5b0c0ead304267e1b0,1.0,1.0,1.0,2.0
refund_v2.1n.boundary_window.000007,cell_62087346e316aff7184b,7,boundary_window,ok,included,3324618b5846ae1461ced5a059cf579b1268572f4b6b5a517e911c276c2a1aa5,1.0,1.0,1.0,2.0
refund_v2.1n.boundary_window.000008,cell_508d596e0c51fed8312e,8,boundary_window,ok,included,2abcf862b43c1e92a014856b61793e999172406c5999d8110d3e0804316fea80,1.0,1.0,1.0,2.0
refund_v2.1n.boundary_window.000009,cell_0d42b1b0c6f3bc40ec87,9,boundary_window,ok,included,6ce5f1c37c3210976aa28024d40cb859f307d1312b13850560bfa66ed5451ae7,1.0,1.0,1.0,2.0
refund_v2.1n.boundary_window.000010,cell_ad4ebe41eb930f2c99fe,10,boundary_window,ok,included,0374b41e3322b7c2ff01c01bb34a558d034a21509677563d4360e639a4d7f009,1.0,1.0,1.0,2.0
refund_v2.1n.boundary_window.000013,cell_3cface1231193be93b3e,13,boundary_window,ok,included,fd7bb9475295a853530f44a900476346747979816dfc46bdb3399d66c4e04349,1.0,1.0,1.0,2.0
refund_v2.1n.boundary_window.000014,cell_4c1ae721804b6311d21c,14,boundary_window,ok,included,4416d9497e6629e029fd2bf9a9523c20488ed7b54d68c8ae26184db489e2e259,1.0,1.0,1.0,2.0
refund_v2.1n.boundary_window.000015,cell_16055d6601b4daab9934,15,boundary_window,ok,included,d6bf2e2005e08654dd7062a80546d7d0ab3bb389ff0460e6cd9c9f19780b0a90,1.0,1.0,1.0,2.0
refund_v2.1n.boundary_window.000016,cell_7521eb9f80b950b75399,16,boundary_window,ok,included,87679dd3f1d57b3b1fdfe3bd924b077e7fe7a3a99b0b64f48ad5d45d7aa75403,1.0,1.0,1.0,2.0
refund_v2.1n.boundary_window.000017,cell_5523704dbcc04c088d7e,17,boundary_window,ok,included,88c5104374d71e9b82ca3017c9990b1d7c4450cb543b3dbe7a1ebcdddf2c449a,1.0,1.0,1.0,2.0
refund_v2.1n.boundary_window.000019,cell_648b8c685d3cd6e43688,19,boundary_window,ok,included,b661bd86a784490d2d1d97fca9552d1b7cb02c0f685e4d1d0db1e4bd32b97ed6,1.0,1.0,1.0,2.0
refund_v2.1n.boundary_window.000020,cell_1f451254c08ece12c586,20,boundary_window,ok,included,e94ebf63224a404fcf4e8f01e4f160afb100ddfd356a539f0ef3bad3180e5493,1.0,1.0,1.0,2.0
refund_v2.1n.boundary_window.000023,cell_776fd828645901dc3e0b,23,boundary_window,ok,included,46781775769703c9bd81f3369c275a478f7976c8ae5e6256afce0d4097b71430,1.0,1.0,1.0,2.0
refund_v2.1n.boundary_window.000024,cell_aa68a11c9e7d7d3a0549,24,boundary_window,ok,included,22aba3e56c70617996330548803c670edf8c8807f42a0b9706034a757aba308d,1.0,1.0,1.0,2.0
