case_id,cell_id,world_seed,scenario,status,inclusion_status,receipt_sha256,policy_compliance,transaction_correctness,coordination,system_utility
refund_v2.1n.boundary_window.000000,cell_e3ceff4e9e0adc6b733f,0,boundary_window,ok,included,ee8a7abe889ab7031ba0394afc8b812b3ff63967d263cba57b8d73b7960de52e,1.0,1.0,1.0,2.0
refund_v2.1n.boundary_window.000001,cell_be81fd1cfd03ef9069ba,1,boundary_window,ok,included,9ebb0c654fd23c9be7aef0d296fe20cdb684f7d4d989a066930128a71cfe1540,1.0,1.0,1.0,2.0
refund_v2.1n.boundary_window.000002,cell_011124ef932a940c1fd9,2,boundary_window,ok,included,cdfcb255682283061a186987cc2985c9ac385b4cdab4e2ca82e0b869009bca46,1.0,1.0,1.0,2.0
refund_v2.1n.boundary_window.000004,cell_3673f72db9bc5c00decb,4,boundary_window,ok,included,028ae9596d029e7533dd2f32a3d46633f3155e963ae0b2ba8ada0f7825966460,1.0,1.0,1.0,2.0
refund_v2.1n.boundary_window.000005,cell_80cbb1ce03bac9848267,5,boundary_window,ok,included,40725d73173a1c7798a01fc070b606cbc2a8fa620b087fe2c2a0f22322122ee6,1.0,1.0,1.0,2.0
refund_v2.1n.boundary_window.000007,cell_6d7da972d3460d540631,7,boundary_window,ok,included,f214605f3d686caf858ace5fa94b500c860b67dfa556bd8cb259ffd806cb8c47,1.0,1.0,1.0,2.0
refund_v2.1n.boundary_window.000008,cell_89579fdde2a582bb1bde,8,boundary_window,ok,included,edcbd4147332dcd0be9b265e561d821b6cea5c4bba1389e380dc0d4164ba5dfb,1.0,1.0,1.0,2.0
refund_v2.1n.boundary_window.000009,cell_37e755e18d4f68ec803e,9,boundary_window,ok,included,36fe77c52407eae477cbc3cc57746e1dd5f66bff4cf67cffab7f984f90eac7f1,1.0,1.0,1.0,2.0
refund_v2.1n.boundary_window.000010,cell_2a00c786bb9e47567a3e,10,boundary_window,ok,included,868b754b7d07ce3dceb0e269d6862f8c4bd555750da9643c307a8a5b722b3ea3,1.0,1.0,1.0,2.0
refund_v2.1n.boundary_window.000013,cell_5648e711475f64069337,13,boundary_window,ok,included,3ab57955550e12d4041d93f595054dfaf79dde02204f57fac9b257f2b5c9bc1f,1.0,1.0,1.0,2.0
refund_v2.1n.boundary_window.000014,cell_052536370b93beb807d9,14,boundary_window,ok,included,853ddc735e45135f3db35dd1114ddcb8df4668d58fc6c1e62de8ad319a39f189,1.0,1.0,1.0,2.0
refund_v2.1n.boundary_window.000015,cell_ec090178346198f46e16,15,boundary_window,ok,included,3c5657e69a97fe120232aac57b92bfc2cf8b298fd537cad1dfca51ef9d3767f2,1.0,1.0,1.0,2.0
refund_v2.1n.boundary_window.000016,cell_3506fba7967fe83d0483,16,boundary_window,ok,included,854b7bfa6b426ca7c9c58d6b01fa3ef6a0d6a3cf0d43923b709c130490e624be,1.0,1.0,1.0,2.0
refund_v2.1n.boundary_window.000017,cell_aeb9c5ae7e366a5bfcfa,17,boundary_window,ok,included,ee112ee40de3c532ad9d61c13c10f3f854e795e5d24e79b2ee0ba02d466e0873,1.0,1.0,1.0,2.0
refund_v2.1n.boundary_window.000019,cell_cc4bb9d710deb30000c3,19,boundary_window,ok,included,bbddb318fb1018a591793e48d483b23cb9953a04e70d2cfa5bd7f4eb7e0f77a1,1.0,1.0,1.0,2.0
refund_v2.1n.boundary_window.000020,cell_77df08649befc04cd177,20,boundary_window,ok,included,0410660f3c0d1a20898b33ede0717979db357ec5f8b01d32a9996c681f68a5de,1.0,1.0,1.0,2.0
refund_v2.1n.boundary_window.000023,cell_4a192108245664ac2e87,23,boundary_window,ok,included,9054dde181e06705f18c8f18f412f4820b8d88a99b7120f904ce83a821cfb3db,1.0,1.0,1.0,2.0
refund_v2.1n.boundary_window.000024,cell_8f32b52d4b7c92168673,24,boundary_window,ok,included,4e43c868570df13fbb2aa83755cf191f7bf8ae8d1a88cbf59774b302131a0c96,1.0,1.0,1.0,2.0
refund_v2.1n.boundary_window.000027,cell_0884b07f05fa6f9c8722,27,boundary_window,ok,included,60949bd96d532a1301020f285f05742ca7e98791a61d063554f5f0ce0fd76230,1.0,1.0,1.0,2.0
refund_v2.1n.boundary_window.000028,cell_4b9a6a5869f25c176d30,28,boundary_window,ok,included,c6230dec8a64f37517570530f30213666f80d7a67b1bc6ef333ee2f6f6e2b08f,1.0,1.0,1.0,2.0
