call_id,run_id,task_id,call_index,seat_id,profile_id,harness_phase,domain_phase_id,provider,requested_model,resolved_model,status,occurred_at,prompt_tokens,cached_tokens,completion_tokens,latency_seconds,exception_type,total_cost_usd,telemetry_complete
provider_call_0387142195bb3a454575,runplan_523a714111179166,cell_061a6207abe77f4f77db,0,customer,refund_v21_customer_scripted_refund-v21-scripted-customer,execution,customer_message,scripted,refund-v21-scripted-customer,2.1.0,succeeded,2026-09-12T19:20:03.754135Z,0,0,0,0.000409,,0.0,true
provider_call_812041b2cdcc04ada514,runplan_523a714111179166,cell_061a6207abe77f4f77db,1,intake,refund_v21_intake_scripted_refund-v21-scripted-intake,execution,intake_request,scripted,refund-v21-scripted-intake,2.1.0,succeeded,2026-09-12T19:20:03.757809Z,0,0,0,0.000357,,0.0,true
provider_call_f68baa1bab158e05a17f,runplan_523a714111179166,cell_061a6207abe77f4f77db,2,customer,refund_v21_customer_scripted_refund-v21-scripted-customer,execution,customer_facts,scripted,refund-v21-scripted-customer,2.1.0,succeeded,2026-09-12T19:20:03.761089Z,0,0,0,0.000369,,0.0,true
provider_call_4b9dc30df93af5694a25,runplan_523a714111179166,cell_061a6207abe77f4f77db,3,policy,refund_v21_policy_arena_gemini-2.5-flash-lite,execution,policy_response,arena,gemini-2.5-flash-lite,gemini-2.5-flash-lite,succeeded,2026-09-12T19:20:03.764616Z,352,0,89,0.919114,,7.080000000000001e-05,true
provider_call_da04b596da3f7d23024a,runplan_523a714111179166,cell_067efd5bbe6eb0e804a5,0,customer,refund_v21_customer_scripted_refund-v21-scripted-customer,execution,customer_message,scripted,refund-v21-scripted-customer,2.1.0,succeeded,2026-09-12T19:20:04.806525Z,0,0,0,0.000417,,0.0,true
provider_call_364731baf01ba6804471,runplan_523a714111179166,cell_067efd5bbe6eb0e804a5,1,intake,refund_v21_intake_scripted_refund-v21-scripted-intake,execution,intake_request,scripted,refund-v21-scripted-intake,2.1.0,succeeded,2026-09-12T19:20:04.810474Z,0,0,0,0.000348,,0.0,true
provider_call_241409d64285606f40ab,runplan_523a714111179166,cell_067efd5bbe6eb0e804a5,2,customer,refund_v21_customer_scripted_refund-v21-scripted-customer,execution,customer_facts,scripted,refund-v21-scripted-customer,2.1.0,succeeded,2026-09-12T19:20:04.814694Z,0,0,0,0.000344,,0.0,true
provider_call_e3aad0ec8d74884e457e,runplan_523a714111179166,cell_067efd5bbe6eb0e804a5,3,policy,refund_v21_policy_arena_gemini-2.5-flash-lite,execution,policy_response,arena,gemini-2.5-flash-lite,gemini-2.5-flash-lite,succeeded,2026-09-12T19:20:04.819254Z,354,0,72,0.705095,,6.42e-05,true
provider_call_1f19ede90e28938dbfa4,runplan_523a714111179166,cell_07149146833d669f2fd3,0,customer,refund_v21_customer_scripted_refund-v21-scripted-customer,execution,customer_message,scripted,refund-v21-scripted-customer,2.1.0,succeeded,2026-09-12T19:20:05.644975Z,0,0,0,0.000418,,0.0,true
provider_call_e262cf8997471b293f60,runplan_523a714111179166,cell_07149146833d669f2fd3,1,intake,refund_v21_intake_scripted_refund-v21-scripted-intake,execution,intake_request,scripted,refund-v21-scripted-intake,2.1.0,succeeded,2026-09-12T19:20:05.648542Z,0,0,0,0.000347,,0.0,true
