case_id,cell_id,world_seed,scenario,status,inclusion_status,receipt_sha256,policy_compliance,transaction_correctness,coordination,system_utility
refund_v2.1n.boundary_window.000000,cell_9a2bd765ea6f930866f2,0,boundary_window,ok,included,c75154f8a1c4b0ff9d74c08e7e6874c3ec086362c7cad70983706c1af87d4c48,0.0,0.0,0.0,-10.0
refund_v2.1n.boundary_window.000001,cell_910ce24b9f35cba184f1,1,boundary_window,ok,included,fe12f8fbec446647d98d7a4a4fe2c7bdd9c8231ada62f94b64bb063dc35e3545,0.0,0.0,0.0,-10.0
refund_v2.1n.boundary_window.000002,cell_c69c926d7f56d02108a8,2,boundary_window,ok,included,52dee83dc06950637030ca659eb82f0c34afd79e9a5d2ba207bd6b66ab6a86c4,0.0,0.0,0.0,-10.0
refund_v2.1n.boundary_window.000004,cell_21a463951d8a522aba9b,4,boundary_window,ok,included,3bf22b728163848dcc3d414ffbf50b29f23347b6c96ae83cc8b6b35e191170d2,0.0,0.0,0.0,-10.0
refund_v2.1n.boundary_window.000005,cell_74ea0339e53b925feb84,5,boundary_window,ok,included,6019fbdbb302c1fe260f5518120eac534f2a66ab61ce6e671e054f1a34ff47be,0.0,0.0,0.0,-10.0
refund_v2.1n.boundary_window.000007,cell_88586d50ad8a6e2c51fd,7,boundary_window,ok,included,ddf74ad588b09680551c8fa3672fc6670ebe3c774b21640a56237d739685fbf6,0.0,0.0,0.0,-10.0
refund_v2.1n.boundary_window.000008,cell_d513e2c1e53937abf89a,8,boundary_window,ok,included,2a0cca0ffdecd614cf544a26289b76fb9eadd9b2ae7c1a682f0474b2b53b25a6,0.0,0.0,0.0,-10.0
refund_v2.1n.boundary_window.000009,cell_bcb81a4808cec77b2242,9,boundary_window,ok,included,15b5f8e24f99d77cb1c57c08f2f9285ce500b178e15a4db432405ddd16f93bbd,0.0,0.0,0.0,-10.0
refund_v2.1n.boundary_window.000010,cell_94e50a8facc187cd3266,10,boundary_window,ok,included,4aed4613e1081458ac2a6942ec20d694c2f43fdf17ed6dde6ffb023f2535e14f,0.0,0.0,0.0,-10.0
refund_v2.1n.boundary_window.000013,cell_2fc55636e0d7ca96eafb,13,boundary_window,ok,included,5ae682459ce599132d0fee0efde7949472ab8cd32f4a1867dc27eb1990636c5e,0.0,0.0,0.0,-10.0
refund_v2.1n.boundary_window.000014,cell_276953bc123fb74dba17,14,boundary_window,ok,included,b0c207d34a50d6358ce8ed5e44e8915f67fad6405881db9712ba6742e761322e,0.0,0.0,0.0,-10.0
refund_v2.1n.boundary_window.000015,cell_594475dd803c82654db2,15,boundary_window,ok,included,26b109e8661225ae36d52687f9be40fc34ae4ed5f634a1f0cd5e151675e0add3,0.0,0.0,0.0,-10.0
