case_id,cell_id,world_seed,scenario,status,inclusion_status,receipt_sha256,policy_compliance,transaction_correctness,coordination,system_utility
refund_v2.1n.boundary_window.000000,cell_ef3e6293eca21d988eba,0,boundary_window,ok,included,589c0ae2ad1f9e36d2f3298c261bc57bff3a599953e2819a421b3d093d7401c2,1.0,1.0,1.0,2.0
refund_v2.1n.boundary_window.000001,cell_c684f74cbf2e5394039b,1,boundary_window,ok,included,29b4520341feb7c628863b1128a9c7e0d5509da9f4a13544ab5731ab6c88baaf,1.0,1.0,1.0,2.0
refund_v2.1n.boundary_window.000002,cell_cd6618c394554ccf9c16,2,boundary_window,ok,included,b574ee3e1f0fddac1a99c70a2669f411d690cb39a7bf84545637e518ab251c6b,1.0,1.0,1.0,2.0
refund_v2.1n.boundary_window.000004,cell_8468a3dc91f5d57eafb0,4,boundary_window,ok,included,119ed02cd68f627dd9b5eaec673b60e37d93775936a617d3cca6a8f632a781a4,1.0,1.0,1.0,2.0
refund_v2.1n.boundary_window.000005,cell_5f07fc7c03fb89b49fba,5,boundary_window,ok,included,08ea49fa732bd957ee10516a13e5c06516cc2cf2fbfe16e9e4d75bd3dbe94dcc,1.0,1.0,1.0,2.0
refund_v2.1n.boundary_window.000007,cell_e66813f989ac3ca46327,7,boundary_window,ok,included,34e83423747b353d956adf001a5ae409401053599aac835e1c483c53c2d46af6,1.0,1.0,1.0,2.0
refund_v2.1n.boundary_window.000008,cell_c3f6e981b786d05fa582,8,boundary_window,ok,included,4aa4e83ec830898898f743016b989539f4f6c6b02538f138947c01ff0096b805,1.0,1.0,1.0,2.0
refund_v2.1n.boundary_window.000009,cell_675f424dc39bbc49f3a4,9,boundary_window,ok,included,fb792f1b18752e5e844070e1e984e464b99d1c5ebd2c4fbbcaaa436bba1b0308,1.0,1.0,1.0,2.0
refund_v2.1n.boundary_window.000010,cell_2ffae6829fe5b5ef9d76,10,boundary_window,ok,included,063c001fa53f7d702f0a079624963b69167538c783f76bfb6808fefb44f86918,1.0,1.0,1.0,2.0
refund_v2.1n.boundary_window.000013,cell_7eebbbb769494f0aab56,13,boundary_window,ok,included,ba17d01690c9234da936db3b4391cbfd33f2a345dda2db9f87bb7889fdee82c9,1.0,1.0,1.0,2.0
refund_v2.1n.boundary_window.000014,cell_c911889e4ca9c0844006,14,boundary_window,ok,included,462c82e9840a968bdc78a4471fd15235720b76ca85a1a2daa7eb15db08644d54,1.0,1.0,1.0,2.0
refund_v2.1n.boundary_window.000015,cell_7c1c7ffe3500dcc42fde,15,boundary_window,ok,included,88c506bbffd8e7aee003ef20bee61626d19017d20fc6f551c60142c1233f6a98,1.0,1.0,1.0,2.0
refund_v2.1n.boundary_window.000016,cell_736024207f85432d1d37,16,boundary_window,ok,included,da003256ea499cd7aa28be3a38f9d9f684a1d78839290dc29f8b3415084a6fc0,1.0,1.0,1.0,2.0
refund_v2.1n.boundary_window.000017,cell_2b582632a3d21a7f3953,17,boundary_window,ok,included,17335017db496b14793a913b5b807293de83a2ece6854c144177a57a0c39b572,1.0,1.0,1.0,2.0
refund_v2.1n.boundary_window.000019,cell_74be16720d58bd760277,19,boundary_window,ok,included,9cc96225be3850c3dcc33651b806682badb5d351b31fcd0bf082371ed1cc4a1e,1.0,1.0,1.0,2.0
refund_v2.1n.boundary_window.000020,cell_75aea83e7eca5a833a7c,20,boundary_window,ok,included,38edd04860e88417c868dfc15d2e2b070c5ee00817f921782cc3fa67aa5c7978,1.0,1.0,1.0,2.0
refund_v2.1n.boundary_window.000023,cell_9964bf7d43e01b87b179,23,boundary_window,ok,included,cb5bf1195210c5466bb89ea02ed13088c933c2a7a7e2573adca2314a69828199,1.0,1.0,1.0,2.0
refund_v2.1n.boundary_window.000024,cell_9864146aa5e2cc37a569,24,boundary_window,ok,included,589b4afb8a22d67810e650f0ed7f9c90b6c05a3da1616cec9c3ec5d5ca76e274,1.0,1.0,1.0,2.0
refund_v2.1n.boundary_window.000027,cell_b52ab5f7a7acc345eaeb,27,boundary_window,ok,included,649ccf99973c907842596497e9f805974e1e9901221c69b7543728f56e3539c7,1.0,1.0,1.0,2.0
refund_v2.1n.boundary_window.000028,cell_17e7dab5eef93ad23628,28,boundary_window,ok,included,9070df32ad4a30c635f12f7c9bfdc7211ec2c99d4bfa92053b3374eeb549ff26,1.0,1.0,1.0,2.0
refund_v2.1n.conflicting_claim.000000,cell_1ca878bb9348603dcc4a,0,conflicting_claim,ok,included,571de0df5a08080942b0eb0b09e268bc4f6b37f26eb42bfa3713d61871f6bacc,1.0,1.0,1.0,-2.0
refund_v2.1n.conflicting_claim.000001,cell_a80a63c88455ce7231e3,1,conflicting_claim,ok,included,43556e87def84d62ebf0f42f26bfec1a6635049671a55109b323c9f98f541d3d,1.0,1.0,1.0,-2.0
