call_id,run_id,task_id,call_index,seat_id,profile_id,harness_phase,domain_phase_id,provider,requested_model,resolved_model,status,occurred_at,prompt_tokens,cached_tokens,completion_tokens,latency_seconds,exception_type,total_cost_usd,telemetry_complete
provider_call_c6a39af64979b8063b5e,runplan_6072f923b9fdd305,cell_00cb7b7883d94b4537bf,0,customer,refund_v21_customer_scripted_refund-v21-scripted-customer,execution,customer_message,scripted,refund-v21-scripted-customer,2.1.0,succeeded,2026-09-12T17:36:49.177161Z,0,0,0,0.000426,,0.0,true
provider_call_50a09f5418bbf5033c50,runplan_6072f923b9fdd305,cell_00cb7b7883d94b4537bf,1,intake,refund_v21_intake_scripted_refund-v21-scripted-intake,execution,intake_request,scripted,refund-v21-scripted-intake,2.1.0,succeeded,2026-09-12T17:36:49.180880Z,0,0,0,0.000362,,0.0,true
provider_call_4a8b23ed1d371aa05709,runplan_6072f923b9fdd305,cell_00cb7b7883d94b4537bf,2,customer,refund_v21_customer_scripted_refund-v21-scripted-customer,execution,customer_facts,scripted,refund-v21-scripted-customer,2.1.0,succeeded,2026-09-12T17:36:49.184165Z,0,0,0,0.000352,,0.0,true
provider_call_3c57522123899ae601cb,runplan_6072f923b9fdd305,cell_00cb7b7883d94b4537bf,3,policy,refund_v21_policy_arena_grok-4.3,execution,policy_response,arena,grok-4.3,grok-4.3,succeeded,2026-09-12T17:36:49.187559Z,502,192,28,5.414058,,0.0014509000000000002,true
provider_call_8fe6c60dd27a366850a4,runplan_6072f923b9fdd305,cell_00cb7b7883d94b4537bf,4,customer,refund_v21_customer_scripted_refund-v21-scripted-customer,execution,customer_facts,scripted,refund-v21-scripted-customer,2.1.0,succeeded,2026-09-12T17:36:54.610131Z,0,0,0,0.000703,,0.0,true
provider_call_5efe0ccd497c33250aad,runplan_6072f923b9fdd305,cell_00cb7b7883d94b4537bf,5,policy,refund_v21_policy_arena_grok-4.3,execution,policy_response,arena,grok-4.3,grok-4.3,succeeded,2026-09-12T17:36:54.622497Z,507,192,40,4.368903,,0.00155965,true
provider_call_c7c532dca0d41d8f59c7,runplan_6072f923b9fdd305,cell_00cb7b7883d94b4537bf,6,customer,refund_v21_customer_scripted_refund-v21-scripted-customer,execution,customer_confirmation,scripted,refund-v21-scripted-customer,2.1.0,succeeded,2026-09-12T17:36:59.003808Z,0,0,0,0.00111,,0.0,true
provider_call_08389ce177310c8b1f01,runplan_6072f923b9fdd305,cell_00cb7b7883d94b4537bf,7,payments,refund_v21_payments_scripted_refund-v21-scripted-payments,execution,payments_execute,scripted,refund-v21-scripted-payments,2.1.0,succeeded,2026-09-12T17:36:59.013802Z,0,0,0,0.000686,,0.0,true
provider_call_065bdcf7d2aa3942ddc1,runplan_6072f923b9fdd305,cell_016a19e67d7714d193ab,0,customer,refund_v21_customer_scripted_refund-v21-scripted-customer,execution,customer_message,scripted,refund-v21-scripted-customer,2.1.0,succeeded,2026-09-12T17:36:59.160584Z,0,0,0,0.000378,,0.0,true
provider_call_4a05741b043a0c16c2cb,runplan_6072f923b9fdd305,cell_016a19e67d7714d193ab,1,intake,refund_v21_intake_scripted_refund-v21-scripted-intake,execution,intake_request,scripted,refund-v21-scripted-intake,2.1.0,succeeded,2026-09-12T17:36:59.164609Z,0,0,0,0.000346,,0.0,true
