case_id,cell_id,world_seed,scenario,status,inclusion_status,receipt_sha256,policy_compliance,transaction_correctness,coordination,system_utility
refund_v2.1n.boundary_window.000000,cell_4fd9604b7fb13d49dad6,0,boundary_window,ok,included,605434f7caa35964f8431d54e1720681854fb304ccb175d653931c56cedef644,1.0,1.0,1.0,2.0
refund_v2.1n.boundary_window.000001,cell_7dccbabf7c933680a14e,1,boundary_window,ok,included,20612c2000ae94a3e25ce8976dc44e904ec28d2488d6fad421b7f05d281648fb,1.0,1.0,1.0,2.0
refund_v2.1n.boundary_window.000002,cell_0c9ad4ae3626c4e3030f,2,boundary_window,ok,included,cbb88fb0104ac1279de6d7d47b4755e55e3b20aa1f33f247ebb7855df82a4c19,1.0,1.0,1.0,2.0
refund_v2.1n.boundary_window.000004,cell_d729dc41161b43c61f4b,4,boundary_window,ok,included,d74c4c643e420f29342ee767bd23899e2812df82282333867c82c94417fce186,1.0,1.0,1.0,2.0
refund_v2.1n.boundary_window.000005,cell_6e6aba1ab0447780d3ec,5,boundary_window,ok,included,a1ec69ed9e896a1e95a023bb210fe6c9b096fdcaa0c6ad7d66bcd49a476408ce,1.0,1.0,1.0,2.0
refund_v2.1n.boundary_window.000007,cell_a2023f291f2770baeba8,7,boundary_window,ok,included,55043001d36b8b73c1a53188d22f7d59b4791f9398d1dca60547a31d08173345,1.0,1.0,1.0,2.0
refund_v2.1n.boundary_window.000008,cell_e24a877773cc80f60341,8,boundary_window,ok,included,c6f6bb4f007ed4f8aa1aba925554f6111067c78203f74384bfff583910384205,1.0,1.0,1.0,2.0
refund_v2.1n.boundary_window.000009,cell_51492043e2ce27204b4e,9,boundary_window,ok,included,37710b06b1a92869f9c21488f8ff3dd9265d8301513dcd54a5373face3a198e3,1.0,1.0,1.0,2.0
refund_v2.1n.boundary_window.000010,cell_88ff02f1d67a5b1f7515,10,boundary_window,ok,included,d6fe4c696be6a46803620131b8d7af8f8d4fd62c2ae6cd1aca705940671823d4,1.0,1.0,1.0,2.0
refund_v2.1n.boundary_window.000013,cell_f4051f1daabeac8782b0,13,boundary_window,ok,included,efe984e3ea820a4465f6a6fcb8873c84541b2155f0e0f3fd16d5f2b56b88ed2a,1.0,1.0,1.0,2.0
refund_v2.1n.boundary_window.000014,cell_3fa9cadd25bb3c8813c8,14,boundary_window,ok,included,c4d0473228c7c7c6ef645a5a9ccb5285c155a49ee4bc85dc1cfa8fbe0b649b82,1.0,1.0,1.0,2.0
refund_v2.1n.boundary_window.000015,cell_6eaedbdbdb3b0e705c38,15,boundary_window,ok,included,ea622c155e81119d21fe0b3783dbd53983a60728a11016636daf8f45d48c22f2,1.0,1.0,1.0,2.0
refund_v2.1n.boundary_window.000016,cell_4b3786e55f7d3a088240,16,boundary_window,ok,included,a6a549f7722a34bf849d009123162d67c8c2c1bfaf21279990a883b92a75f955,1.0,1.0,1.0,2.0
refund_v2.1n.boundary_window.000017,cell_c11d7d8f364171f12c98,17,boundary_window,ok,included,de1af333f1835b8dff46ebdbc5f9f34812c079196b72ebce8e1874e022cc55a6,1.0,1.0,1.0,2.0
refund_v2.1n.boundary_window.000019,cell_d0133bcd503b5c47b5ad,19,boundary_window,ok,included,3a5d600758ade221a485a7ee1aa83680f04baeef529633ac0d84239a0f274dd2,1.0,1.0,1.0,2.0
refund_v2.1n.boundary_window.000020,cell_22fbd535eb60f76d07c5,20,boundary_window,ok,included,f26bb1fd22dc1ee14e8f46fc0dac5737be6fbad73bf957ffab0cd7337e94b39d,1.0,1.0,1.0,2.0
refund_v2.1n.boundary_window.000023,cell_7af76a88951a2ccbdd49,23,boundary_window,ok,included,a561b08a869342f1a50e1bdafe12f3070d119147c29f9a5228e6d8dfcb363e83,1.0,1.0,1.0,2.0
refund_v2.1n.boundary_window.000024,cell_91e0975ae75047e00df6,24,boundary_window,ok,included,fc340d9fe059bb4c66c231e1f9adc06d512a894f8dd51a8de60088e128c7367f,1.0,1.0,1.0,2.0
refund_v2.1n.boundary_window.000027,cell_8f0cc9579a20d18807d5,27,boundary_window,ok,included,e1119a5f508014d25aebff85ea5a2b8699737062e502ba09366cb79eb7d8b37d,1.0,1.0,1.0,2.0
refund_v2.1n.boundary_window.000028,cell_66542fd8625bb5f89891,28,boundary_window,ok,included,bb174ba447318b225301890c18ed13b87e280a377e9ab5c799d8ce8d64eb8aca,1.0,1.0,1.0,2.0
refund_v2.1n.conflicting_claim.000000,cell_f5e239b05a50ebea1428,0,conflicting_claim,ok,included,ccab23fd6278b930cef6bfe4f0e40908226860d3b27a3ada25c7f6d2c0d82011,1.0,1.0,1.0,-2.0
refund_v2.1n.conflicting_claim.000001,cell_f38b748e10c999c456b9,1,conflicting_claim,ok,included,a64d18b1a0f71edef63fbccbd3744bc8cc7f4ce66e5a4f9e1339ea104ef31468,0.0,1.0,1.0,-10.0
refund_v2.1n.conflicting_claim.000002,cell_b9587939f32e2b3bd6d6,2,conflicting_claim,ok,included,459679d584fdf51ca82e26b7cb8a04190f1a98f515422ff1fb5ced90026111b8,1.0,1.0,1.0,-2.0
refund_v2.1n.conflicting_claim.000004,cell_b55ba1210add96cb4397,4,conflicting_claim,ok,included,9425420cb6b5a11ce85a06e69db2a0a02ddc8eade3dd822ddc3a937db2c180e4,0.0,1.0,1.0,-10.0
refund_v2.1n.conflicting_claim.000005,cell_6c19abac77eb3937fa99,5,conflicting_claim,ok,included,ea1fa85f4822f5251cd60d05cb102cc8b41dc419fd2f5f46bf8604ba850e842a,0.0,1.0,1.0,-10.0
refund_v2.1n.conflicting_claim.000007,cell_54d55f0be273becf288b,7,conflicting_claim,ok,included,a82bcd2b9e0fcc821f4151e9d3ab00a9295ff2e92295dca8752eb0ecd0198db9,0.0,1.0,1.0,-10.0
refund_v2.1n.conflicting_claim.000008,cell_6c668d2c1faef5bd55f1,8,conflicting_claim,ok,included,dc9c257742f77403f2036fda9b28a3c7b2cf9439dde619cd1c020caa9813fd74,0.0,1.0,1.0,-10.0
refund_v2.1n.conflicting_claim.000009,cell_2c0e93ed769301b2136d,9,conflicting_claim,ok,included,68d936515267ea12e5512d9a95c0e69e59fa841ef836bbe835218fce676afffd,0.0,1.0,1.0,-10.0
refund_v2.1n.conflicting_claim.000010,cell_d927acc0c870effc215f,10,conflicting_claim,ok,included,fcbc46c436482db39fad39d99455b669712d1fb38f2c1c3d0140bd6a58c08438,0.0,1.0,0.0,-10.0
refund_v2.1n.conflicting_claim.000013,cell_aaa9d54194c94d19b74b,13,conflicting_claim,ok,included,ec0a898f4640a98a858b01db150c936ad744d69117b4c4634e7994b094bbbc36,0.0,1.0,1.0,-10.0
refund_v2.1n.conflicting_claim.000014,cell_8a608e201b6a5caf8a88,14,conflicting_claim,ok,included,b956e8d5e0cb8d4173ad61b178649d83f29507ca270c6c00ba7b0acb09c14168,0.0,1.0,1.0,-10.0
refund_v2.1n.conflicting_claim.000015,cell_ee894adad5cf8a5eea0d,15,conflicting_claim,ok,included,dc8d86a6e94198ab1efd6133c6462ce79c38534e40bbf07d259db7987974d192,0.0,1.0,1.0,-10.0
refund_v2.1n.conflicting_claim.000016,cell_18f05991922d76a6d7d9,16,conflicting_claim,ok,included,fe932588bd4018afd6506f5084f110606c326e752cb35b39bfaa5bc96c4ecc37,0.0,1.0,1.0,-10.0
refund_v2.1n.conflicting_claim.000017,cell_89ffe38f72de3c4335ad,17,conflicting_claim,ok,included,ca3f9ba01b03ab9112007b9b30c660f4e2f6ee9f65659e4a80e51f09dd216c8b,0.0,1.0,0.0,-10.0
refund_v2.1n.conflicting_claim.000019,cell_77d3eb143259d9dde1a0,19,conflicting_claim,ok,included,6b4578fa35e8b6cf421841467dbc28e6bb1dda6b965e5964ac70acd67c487251,0.0,1.0,1.0,-10.0
refund_v2.1n.conflicting_claim.000020,cell_05e368c83722557b6e95,20,conflicting_claim,ok,included,ecf29259fda9786819c1946b034bb9303a0028b4a91ff5d52641e97f18cab1db,0.0,1.0,1.0,-10.0
refund_v2.1n.conflicting_claim.000023,cell_f281298671bae689b621,23,conflicting_claim,ok,included,e342e81822e351788e404cce900c0fd6b7aa2f9b488c0e00b64db7bb9e203f8c,0.0,1.0,1.0,-10.0
refund_v2.1n.conflicting_claim.000024,cell_8baf1d429bd1de968ba1,24,conflicting_claim,ok,included,c48e088fc70cfaad906d9c557ba858bc2b05f601ca08480106507810b8f94184,0.0,1.0,0.0,-10.0
refund_v2.1n.conflicting_claim.000027,cell_4b61bc5943248ece92e5,27,conflicting_claim,ok,included,1709c8e817bbab45f2c19c5ede16c844e546e9a48aa9413e9807887ed70a69d3,0.0,1.0,1.0,-10.0
refund_v2.1n.conflicting_claim.000028,cell_e849cd7a0ef6cdcc4866,28,conflicting_claim,ok,included,4b0bc1bac310e456dab2f792764e825777d743014ef6f6dc04fdb60ab5f8c5b4,0.0,1.0,1.0,-10.0
refund_v2.1n.full_refund.000000,cell_987f8c720ad73817561b,0,full_refund,ok,included,5090720ec875e4586dbf0d50d1473facd6b1b236fbaebfa410c9e6e801265933,1.0,1.0,1.0,2.0
refund_v2.1n.full_refund.000001,cell_5ba24d2279a6552b277d,1,full_refund,ok,included,74907b9dfe2cae63254f0ec2f2cb65bd43c6c32fe73fab4e95f40ffdb67c5a53,1.0,1.0,1.0,2.0
refund_v2.1n.full_refund.000002,cell_b69a4fc74d2dd2e5aade,2,full_refund,ok,included,f5d33f29de73cdb1ec33084e13085db48523d5c1ee02f7775efc685859465bed,1.0,1.0,1.0,2.0
refund_v2.1n.full_refund.000004,cell_455edff60c62af96bfcd,4,full_refund,ok,included,23b45b02792ffc788f48a15cb5367f15a5cadca81ced3d8c9b27794fb3f449a0,1.0,1.0,1.0,2.0
refund_v2.1n.full_refund.000005,cell_016a19e67d7714d193ab,5,full_refund,ok,included,0e2e4bc8957711a644d9f4fdd61145726348ba46f27b3db447242c147a3961fc,1.0,1.0,1.0,2.0
refund_v2.1n.full_refund.000007,cell_ba363de6e0149d90741b,7,full_refund,ok,included,09414d3d805a18cc005057dd9a2429f82cab7821874b897f4d39fd402e5a19fe,1.0,1.0,1.0,2.0
refund_v2.1n.full_refund.000008,cell_d62774a3feab79dc3715,8,full_refund,ok,included,e0090ce543dc8315d73e5253349d5bb33427ce55e6c6748cdf6fac5059702008,1.0,1.0,1.0,2.0
refund_v2.1n.full_refund.000009,cell_30f737979835303d231c,9,full_refund,ok,included,0379c97b15fdcd08283590234050326d851d30710fe34b7255232730f21893a0,1.0,1.0,1.0,2.0
refund_v2.1n.full_refund.000010,cell_20711fe8c001cfb96526,10,full_refund,ok,included,6c4f097b2ad2797454d9c783a32e82e9960bc884772cfff03595bb22e70aec0e,1.0,1.0,1.0,2.0
refund_v2.1n.full_refund.000013,cell_4cd1601e40e43197a001,13,full_refund,ok,included,ea86b47e284c35e19f8d52717a1d09c1545be259cf95e0ddbf13edf3280f14bf,1.0,1.0,1.0,2.0
refund_v2.1n.full_refund.000014,cell_4c344bc59b52aa47f9f3,14,full_refund,ok,included,6f0210419c189146e6fb320412a3c3994ade9c23d11bc5e93e7a8376b6aee767,1.0,1.0,1.0,2.0
refund_v2.1n.full_refund.000015,cell_b3f3b7cf788439834563,15,full_refund,ok,included,3fab78b6340028b9186d85f061219232f69df98e17d699679cdf5c27eb98a57d,1.0,1.0,1.0,2.0
